# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -                1     314 18065666 18065330 18065666 18065327 37323857    -     3.2e-32  119.4   2.4  -
SUPER_14             -          TR                   -                1     314 14511041 14511369 14511041 14511372 35333890    +     3.6e-30  112.7   3.0  -
SUPER_14             -          TR                   -                1     165 14502996 14503160 14502996 14503163 35333890    +     1.5e-10   48.3   4.0  -
SUPER_2              -          TR                   -                1     122 27261966 27261815 27261966 27261795 52462928    -        0.37   17.4   2.8  -
SUPER_6              -          TR                   -                1     119 30446210 30446090 30446210 30446090 39460580    -        0.48   17.1   2.6  -
SUPER_3              -          TR                   -                1     122 44322473 44322625 44322473 44322665 51314912    +        0.72   16.5   0.4  -
SUPER_11             -          TR                   -                1     155 31950427 31950240 31950427 31950232 37118712    -        0.75   16.5   0.9  -
SUPER_3              -          TR                   -               68     132 38713150 38713074 38713170 38713055 51314912    -         0.9   16.2   1.2  -
SUPER_1              -          TR                   -                2     102 12743813 12743906 12743812 12743924 61162022    +         1.4   15.5   2.9  -
SUPER_7              -          TR                   -                1     114 24949865 24949760 24949865 24949749 37469348    -           2   15.1   2.9  -
SUPER_11             -          TR                   -                1     121 16314171 16314040 16314171 16314001 37118712    -         2.2   14.9   1.6  -
SUPER_3              -          TR                   -               69     132 31470861 31470933 31470840 31470942 51314912    +         2.4   14.8   2.8  -
SUPER_6              -          TR                   -                1      68 16447633 16447702 16447633 16447711 39460580    +         2.8   14.6   0.9  -
SUPER_15             -          TR                   -                1      82   333982   333896   333982   333876 35250018    -         3.1   14.4   1.2  -
SUPER_7              -          TR                   -                1     102  3408230  3408324  3408230  3408344 37469348    +         3.4   14.3   1.2  -
SUPER_9              -          TR                   -                1      52 12148556 12148605 12148556 12148624 37293873    +         4.1   14.0   2.8  -
SUPER_2              -          TR                   -                1     102 15620785 15620691 15620785 15620680 52462928    -         4.1   14.0   2.5  -
SUPER_3              -          TR                   -                1     102  2650639  2650733  2650639  2650753 51314912    +         4.5   13.9   4.7  -
SUPER_16             -          TR                   -                2      80  4076032  4075954  4076033  4075933 33827150    -         4.6   13.9   5.7  -
SUPER_2              -          TR                   -                1     110 46372769 46372673 46372769 46372649 52462928    -         4.7   13.8   1.5  -
SUPER_1              -          TR                   -                1     100 16155421 16155329 16155421 16155308 61162022    -         4.8   13.8   0.6  -
SUPER_3              -          TR                   -                1     109  8438008  8438103  8438008  8438112 51314912    +         4.8   13.8   3.1  -
SUPER_7              -          TR                   -                2      58 10004768 10004714 10004769 10004702 37469348    -         5.1   13.7   2.2  -
SUPER_8              -          TR                   -                1     102 26173323 26173417 26173323 26173434 37323857    +         5.2   13.7   2.4  -
SUPER_10             -          TR                   -                1     102 16700631 16700537 16700631 16700517 37181262    -         5.3   13.7   2.7  -
SUPER_10             -          TR                   -                1      83  3528906  3528996  3528906  3529028 37181262    +         5.5   13.6   0.0  -
SUPER_9              -          TR                   -                1      80 29066757 29066663 29066757 29066643 37293873    -         6.2   13.5   0.9  -
SUPER_6              -          TR                   -               37     131 21762382 21762496 21762364 21762514 39460580    +         6.3   13.4   8.6  -
SUPER_15             -          TR                   -                1     102 30010247 30010153 30010247 30010133 35250018    -         6.5   13.4   5.1  -
SUPER_12             -          TR                   -                1     102 35633091 35632997 35633091 35632986 36811286    -         6.6   13.4   2.1  -
SUPER_11             -          TR                   -                1     102  5363737  5363643  5363737  5363624 37118712    -         6.8   13.3   4.9  -
SUPER_9              -          TR                   -                2      97 15448420 15448508 15448419 15448524 37293873    +           7   13.3   3.3  -
SUPER_9              -          TR                   -              180     241 25302105 25302180 25302085 25302200 37293873    +           7   13.3   3.5  -
SUPER_8              -          TR                   -                1     102 30972051 30972145 30972051 30972156 37323857    +         7.2   13.2   2.2  -
SUPER_3              -          TR                   -                2     101  3074637  3074729  3074636  3074749 51314912    +         7.2   13.2   4.0  -
