# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_10             -          TR                   -               73     209 17350737 17350603 17350762 17350579 22390371    -     0.00058   25.7   0.4  -
SUPER_6              -          TR                   -              104     179 14838638 14838549 14838659 14838543 27309342    -       0.031   20.0   0.6  -
SUPER_1              -          TR                   -              102     156 12855792 12855716 12855830 12855700 48267995    -        0.29   16.8   1.3  -
SUPER_6              -          TR                   -              103     180 14839376 14839467 14839356 14839473 27309342    +        0.38   16.4   0.3  -
SUPER_3              -          TR                   -               22     124 25230806 25230903 25230785 25230924 44123496    +        0.58   15.8   3.3  -
SUPER_1              -          TR                   -               24     166 32703435 32703282 32703448 32703281 48267995    -         1.4   14.6   4.3  -
SUPER_1              -          TR                   -               26     122  1895953  1896080  1895935  1896103 48267995    +         1.7   14.3   1.7  -
SUPER_2              -          TR                   -               69     139 43531521 43531597 43531500 43531617 45760151    +         1.7   14.3   0.5  -
SUPER_3              -          TR                   -               38     166 31088687 31088822 31088667 31088824 44123496    +         2.1   14.0   3.4  -
SUPER_9              -          TR                   -               51     125 12923716 12923794 12923682 12923813 23825504    +         2.4   13.8   1.1  -
SUPER_5              -          TR                   -              106     188  7002372  7002290  7002392  7002285 22922769    -         2.6   13.7   0.9  -
SUPER_2              -          TR                   -              104     161 17888932 17888995 17888911 17888997 45760151    +         2.9   13.6   2.8  -
SUPER_1              -          TR                   -              171     246 43725688 43725594 43725690 43725574 48267995    -         2.9   13.5   3.8  -
SUPER_6              -          TR                   -               93     142  9133479  9133431  9133504  9133412 27309342    -         3.2   13.4   0.9  -
SUPER_3              -          TR                   -               37     125 28996125 28996033 28996154 28996013 44123496    -         3.3   13.3   1.9  -
SUPER_3              -          TR                   -               95     165 13600135 13600232 13600117 13600234 44123496    +         3.4   13.3   6.6  -
SUPER_6              -          TR                   -              105     162  1577767  1577698  1577787  1577697 27309342    -         3.6   13.2   4.7  -
SUPER_4              -          TR                   -               46     129 17166245 17166346 17166221 17166367 28971754    +         3.9   13.1   0.3  -
SUPER_1              -          TR                   -               70     140 41082576 41082505 41082596 41082496 48267995    -         4.2   13.0   2.4  -
SUPER_11             -          TR                   -               75     137 11070861 11070783 11070882 11070762 14538625    -         4.4   12.9   0.0  -
SUPER_2              -          TR                   -              144     186 35556113 35556068 35556133 35556058 45760151    -         4.5   12.9   3.8  -
SUPER_6              -          TR                   -              172     225 17678876 17678960 17678872 17678995 27309342    +         4.8   12.8   1.5  -
SUPER_3              -          TR                   -               49     124 28294581 28294660 28294549 28294684 44123496    +         4.8   12.8   3.0  -
SUPER_6              -          TR                   -               35     124 20890215 20890308 20890194 20890329 27309342    +         5.6   12.6   5.7  -
SUPER_4              -          TR                   -               68     131 27508630 27508566 27508659 27508547 28971754    -         6.9   12.3   0.2  -
SUPER_1              -          TR                   -              109     177 45560255 45560337 45560230 45560346 48267995    +         7.2   12.2   0.5  -
SUPER_2              -          TR                   -              105     141  1874558  1874522  1874579  1874502 45760151    -         7.4   12.2   3.7  -
SUPER_8              -          TR                   -               58     131 10225890 10225806 10225909 10225786 23928282    -         7.6   12.2   0.6  -
SUPER_8              -          TR                   -              110     180 16063607 16063540 16063628 16063531 23928282    -         7.7   12.1   0.2  -
SUPER_10             -          TR                   -               24     141 16085208 16085321 16085195 16085341 22390371    +         7.8   12.1   3.2  -
SUPER_7              -          TR                   -              183     263   905957   905876   905970   905856 25314645    -           9   11.9   1.1  -
SUPER_3              -          TR                   -              107     171 37501826 37501769 37501847 37501769 44123496    -         9.5   11.9   0.2  -
SUPER_1              -          TR                   -                2     131 14020350 14020523 14020349 14020544 48267995    +         9.6   11.8   1.7  -
SUPER_1              -          TR                   -                2     131 14025666 14025493 14025667 14025472 48267995    -         9.6   11.8   1.7  -
SUPER_3              -          TR                   -               70     132  4584889  4584948  4584868  4584968 44123496    +         9.8   11.8   1.5  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Hyocomium_armoricum/assembly/curated/cbHyoArmo16.1/cbHyoArmo16.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Hyocomium_armoricum.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Hyocomium_armoricum/assembly/curated/cbHyoArmo16.1/cbHyoArmo16.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:14:18 2025
# [ok]
