# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -              198     314 25359003 25358881 25359005 25358879 42720153    -     7.6e-10   44.8   3.6  -
SUPER_4              -          TR                   -                1     154 25359205 25359050 25359205 25359045 42720153    -     9.8e-07   34.6   3.0  -
SUPER_6              -          TR                   -              201     314   923863   923984   923858   923987 39023408    +     1.3e-06   34.2   4.7  -
SUPER_6              -          TR                   -                1     128  1357173  1357295  1357173  1357317 39023408    +     4.4e-05   29.2   2.3  -
SUPER_6              -          TR                   -              198     315 17667520 17667639 17667518 17667643 39023408    +     6.1e-05   28.7   3.4  -
SUPER_6              -          TR                   -                1     125   923665   923782   923665   923802 39023408    +       0.073   18.6   3.0  -
SUPER_7              -          TR                   -               50     167   552169   552029   552198   552026 30595685    -        0.12   17.9   2.7  -
SUPER_2              -          TR                   -               33     162 13944356 13944494 13944339 13944496 43803895    +        0.27   16.7   4.2  -
SUPER_3              -          TR                   -               24     162 38601296 38601469 38601276 38601471 43437298    +        0.54   15.8   4.6  -
SUPER_5              -          TR                   -               36     164    56435    56296    56451    56294 41517326    -        0.66   15.5   3.7  -
SUPER_5              -          TR                   -              102     165 21898637 21898535 21898696 21898534 41517326    -        0.72   15.4   2.5  -
SUPER_3              -          TR                   -               26     166 14793197 14793371 14793182 14793375 43437298    +        0.73   15.3   4.4  -
SUPER_5              -          TR                   -               24     165 15594190 15594366 15594170 15594367 41517326    +        0.91   15.0   7.0  -
SUPER_7              -          TR                   -               24     162  8934826  8934653  8934840  8934651 30595685    -        0.94   15.0   5.1  -
SUPER_4              -          TR                   -               29     162 29147352 29147519 29147339 29147521 42720153    +        0.96   14.9   5.2  -
SUPER_5              -          TR                   -               33     162 16063397 16063570 16063379 16063572 41517326    +           1   14.9   5.7  -
SUPER_6              -          TR                   -               34     142 24306980 24307117 24306960 24307151 39023408    +         1.3   14.5   5.9  -
SUPER_4              -          TR                   -               76     141 29725238 29725170 29725261 29725152 42720153    -         1.3   14.5   0.0  -
SUPER_3              -          TR                   -               24     138 24808820 24808704 24808836 24808681 43437298    -         1.5   14.4   3.9  -
SUPER_5              -          TR                   -               24     162 38124120 38123947 38124139 38123945 41517326    -         1.5   14.4   6.4  -
SUPER_5              -          TR                   -               37     162 10390033 10389872 10390052 10389870 41517326    -         1.5   14.3   4.4  -
SUPER_3              -          TR                   -               29     141 39885125 39885003 39885143 39884967 43437298    -         1.8   14.1   6.9  -
SUPER_1              -          TR                   -               37     162 46323688 46323528 46323708 46323526 51466111    -         1.9   14.0   5.1  -
SUPER_3              -          TR                   -               24     138 22350512 22350396 22350527 22350373 43437298    -           2   13.9   3.5  -
SUPER_5              -          TR                   -               25     140 35783444 35783560 35783428 35783616 41517326    +         2.1   13.8   6.7  -
SUPER_1              -          TR                   -               56     162 40378689 40378838 40378660 40378840 51466111    +         2.1   13.8   5.6  -
SUPER_2              -          TR                   -               24     139 15811635 15811518 15811652 15811496 43803895    -         2.2   13.7   4.6  -
SUPER_2              -          TR                   -               24     139 15838880 15838763 15838890 15838741 43803895    -         2.3   13.7   4.0  -
SUPER_3              -          TR                   -               41     131 13098078 13098172 13098052 13098192 43437298    +         2.4   13.7   3.3  -
SUPER_2              -          TR                   -               37     161 30971493 30971647 30971477 30971651 43803895    +         2.5   13.6   6.0  -
SUPER_3              -          TR                   -               24     139 22197916 22197799 22197927 22197777 43437298    -         2.5   13.6   3.6  -
SUPER_7              -          TR                   -               24     137 28733349 28733234 28733364 28733210 30595685    -         2.7   13.5   4.4  -
SUPER_1              -          TR                   -               24     138 29526636 29526520 29526650 29526497 51466111    -         2.8   13.4   4.5  -
SUPER_3              -          TR                   -               24     138  5506129  5506013  5506143  5505990 43437298    -         2.8   13.4   4.5  -
SUPER_2              -          TR                   -               24     138 27946881 27946765 27946897 27946742 43803895    -         2.8   13.4   4.6  -
SUPER_1              -          TR                   -               38     162 29160710 29160542 29160727 29160523 51466111    -         2.8   13.4   3.9  -
SUPER_4              -          TR                   -               40     162 37771558 37771723 37771541 37771725 42720153    +         2.8   13.4   4.5  -
SUPER_5              -          TR                   -               24     138  2326815  2326931  2326803  2326954 41517326    +         2.8   13.4   4.3  -
SUPER_2              -          TR                   -               62     134  8192151  8192214  8192120  8192237 43803895    +         2.9   13.4   0.7  -
SUPER_5              -          TR                   -               24     162 19281117 19280944 19281131 19280941 41517326    -           3   13.3   4.6  -
SUPER_4              -          TR                   -               27     138 37522416 37522295 37522433 37522272 42720153    -           3   13.3   5.8  -
SUPER_2              -          TR                   -               24     139 15784390 15784273 15784396 15784251 43803895    -         3.1   13.3   3.4  -
SUPER_4              -          TR                   -               42     161 25951065 25951227 25951045 25951230 42720153    +         3.1   13.3   4.6  -
SUPER_5              -          TR                   -               89     162 24896531 24896426 24896587 24896424 41517326    -         3.2   13.2   1.9  -
SUPER_2              -          TR                   -               25     139 29136252 29136128 29136268 29136097 43803895    -         3.2   13.2   7.1  -
SUPER_5              -          TR                   -               29     138 16491685 16491804 16491668 16491827 41517326    +         3.3   13.2   6.9  -
SUPER_5              -          TR                   -               19     139 36948157 36948278 36948142 36948300 41517326    +         3.3   13.2   4.5  -
SUPER_6              -          TR                   -               24     142  5050015  5050149  5049997  5050183 39023408    +         3.3   13.2   5.5  -
SUPER_4              -          TR                   -               24     141  5164979  5164859  5164998  5164805 42720153    -         3.5   13.1   5.2  -
SUPER_2              -          TR                   -               30     138 31101669 31101551 31101686 31101528 43803895    -         3.5   13.1   6.5  -
SUPER_7              -          TR                   -               24     136 13286956 13287075 13286936 13287100 30595685    +         3.5   13.1   4.6  -
SUPER_2              -          TR                   -               27     138 17134942 17134821 17134959 17134798 43803895    -         3.6   13.1   5.8  -
SUPER_7              -          TR                   -               28     139  8708861  8708982  8708841  8709004 30595685    +         3.6   13.1   6.5  -
SUPER_1              -          TR                   -               28     140 42977108 42976982 42977121 42976941 51466111    -         3.6   13.1   5.4  -
SUPER_4              -          TR                   -               28     138 12642822 12642942 12642805 12642965 42720153    +         3.7   13.0   6.3  -
SUPER_5              -          TR                   -               28     138  5325299  5325179  5325316  5325156 41517326    -         3.7   13.0   6.3  -
SUPER_3              -          TR                   -               27     138 11150201 11150080 11150218 11150057 43437298    -         3.7   13.0   6.4  -
