# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -               79     210 19260924 19261053 19260901 19261074 24666513    +     0.00032   26.5   0.4  -
SUPER_5              -          TR                   -               68     123 17994473 17994523 17994442 17994543 28635958    +         0.3   16.8   0.0  -
SUPER_2              -          TR                   -               68     133 21725017 21724951 21725039 21724931 47458413    -        0.46   16.2   2.6  -
SUPER_4              -          TR                   -              104     157 12798525 12798576 12798504 12798584 31052031    +        0.89   15.2   1.2  -
SUPER_5              -          TR                   -               74     141 14390298 14390192 14390324 14390172 28635958    -         1.9   14.1   1.1  -
SUPER_8              -          TR                   -               68     156  4220661  4220765  4220641  4220778 23929145    +         2.5   13.8   1.7  -
SUPER_3              -          TR                   -               83     131 27314236 27314293 27314200 27314313 45362920    +         2.6   13.7   0.0  -
SUPER_1              -          TR                   -               72     140 25309823 25309764 25309847 25309743 52767674    -         2.8   13.6   2.6  -
SUPER_1              -          TR                   -               82     141 24839591 24839654 24839571 24839674 52767674    +         3.2   13.4   2.6  -
SUPER_7              -          TR                   -               20     163  9852930  9853080  9852918  9853091 24666513    +         3.2   13.4   8.6  -
SUPER_8              -          TR                   -              106     180 23919362 23919503 23919346 23919517 23929145    +         3.6   13.3   0.0  -
SUPER_8              -          TR                   -               49     126 21113224 21113294 21113202 21113314 23929145    +         3.6   13.2   5.5  -
SUPER_2              -          TR                   -                4     101 13577042 13577129 13577042 13577150 47458413    +           5   12.8   2.9  -
SUPER_1              -          TR                   -               28     124  2680715  2680572  2680733  2680552 52767674    -         5.7   12.6   0.0  -
SUPER_10             -          TR                   -               70     141  9112423  9112516  9112402  9112536 23546504    +         6.3   12.5   0.7  -
SUPER_2              -          TR                   -               67     122 32358699 32358638 32358721 32358618 47458413    -         6.5   12.4   0.7  -
SUPER_3              -          TR                   -                2     130 42338834 42338718 42338835 42338698 45362920    -         7.5   12.2   4.6  -
SUPER_5              -          TR                   -               68     124 17994523 17994473 17994543 17994453 28635958    -         7.5   12.2   0.0  -
SUPER_2              -          TR                   -               74     141 20110523 20110587 20110501 20110607 47458413    +         7.6   12.2   0.3  -
SUPER_5              -          TR                   -               11     102 13147029 13146934 13147031 13146914 28635958    -         8.2   12.1   3.6  -
SUPER_8              -          TR                   -               69     141  4808502  4808571  4808481  4808591 23929145    +         8.7   12.0   0.0  -
SUPER_9              -          TR                   -               99     156  7296160  7296220  7296133  7296226 23766979    +           9   12.0   0.8  -
SUPER_4              -          TR                   -               31     124 12187733 12187629 12187746 12187609 31052031    -         9.1   11.9   0.7  -
SUPER_2              -          TR                   -               93     162 25664981 25664890 25664994 25664888 47458413    -         9.5   11.9   1.9  -
SUPER_2              -          TR                   -              105     156  7015436  7015352  7015458  7015348 47458413    -         9.7   11.8   0.0  -
SUPER_3              -          TR                   -               27     123 16277611 16277711 16277591 16277734 45362920    +         9.8   11.8   2.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Neckera_pumila/assembly/curated/cbNecPumi1.1/cbNecPumi1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Neckera_pumila.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Neckera_pumila/assembly/curated/cbNecPumi1.1/cbNecPumi1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:23:13 2025
# [ok]
