# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     315 423252462 423252149 423252462 423252147 425227207    -     4.4e-05   32.8   0.7  -
SUPER_5              -          TR                   -                1     315 199000805 199001119 199000805 199001121 363605009    +       0.001   28.3   4.3  -
SUPER_5              -          TR                   -                1     314 198973667 198973977 198973667 198973979 363605009    +      0.0027   26.9   4.3  -
SUPER_2              -          TR                   -                1     314 423720153 423719803 423720153 423719799 425227207    -       0.004   26.4   3.8  -
SUPER_8              -          TR                   -               21     128  35006745  35006875  35006730  35006896 328560688    +        0.44   19.7   0.4  -
SUPER_6              -          TR                   -               32     141  89141462  89141589  89141442  89141604 362866187    +         0.5   19.5   2.2  -
SUPER_5              -          TR                   -               24     122 155661138 155661031 155661151 155661011 363605009    -         0.5   19.5   3.2  -
SUPER_2              -          TR                   -              107     235   5536480   5536602   5536460   5536622 425227207    +        0.51   19.5   1.1  -
SUPER_9              -          TR                   -                1     253   9178241   9177986   9178241   9177961 314361184    -        0.73   19.0   0.9  -
SUPER_7              -          TR                   -               22     125 164151016 164150910 164151034 164150894 348213005    -        0.92   18.6   2.9  -
SUPER_7              -          TR                   -               29     122 321350214 321350095 321350230 321350070 348213005    -         1.6   17.8   1.2  -
SUPER_1              -          TR                   -                1      91 190542789 190542879 190542789 190542898 433563799    +         1.8   17.7   1.0  -
SUPER_3              -          TR                   -               26     123 393367897 393367811 393367907 393367784 414110115    -         2.3   17.3   5.8  -
SUPER_4              -          TR                   -               24     134  47123568  47123461  47123580  47123454 412898671    -         2.7   17.1   5.8  -
SUPER_3              -          TR                   -               29     123 393898992 393898912 393899002 393898885 414110115    -         3.8   16.6   5.4  -
SUPER_3              -          TR                   -               29     123 393997019 393996939 393997029 393996912 414110115    -         3.8   16.6   5.4  -
SUPER_1              -          TR                   -                1      96 421756421 421756332 421756421 421756326 433563799    -         3.9   16.6   0.5  -
SUPER_3              -          TR                   -               29     123 393269707 393269628 393269717 393269601 414110115    -         4.3   16.4   5.6  -
SUPER_2              -          TR                   -               17     120 271441000 271441109 271440983 271441134 425227207    +         4.3   16.4   3.3  -
SUPER_1              -          TR                   -               26     122  24108228  24108120  24108245  24108100 433563799    -         5.2   16.2   3.3  -
SUPER_3              -          TR                   -               30     123 393476824 393476744 393476834 393476717 414110115    -         6.7   15.8   6.3  -
SUPER_3              -          TR                   -               50     130 116309505 116309426 116309525 116309406 414110115    -         7.1   15.7   2.4  -
SUPER_1              -          TR                   -               44     122  24100958  24100871  24100977  24100851 433563799    -         7.4   15.6   0.6  -
SUPER_1              -          TR                   -              103     192  63777509  63777407  63777545  63777394 433563799    -         8.8   15.4   2.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Carlina_vulgaris/assembly/curated/daCarVulg1.1/daCarVulg1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Carlina_vulgaris.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Carlina_vulgaris/assembly/curated/daCarVulg1.1/daCarVulg1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:16:29 2025
# [ok]
