# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_12             -          TR                   -              102     314  2158290  2158070  2158341  2158068 13819490    -     2.5e-15   62.9   9.4  -
SUPER_4              -          TR                   -               24     130 19111953 19111825 19111968 19111805 20024081    -         0.4   16.3   4.3  -
SUPER_7              -          TR                   -              103     158 10207055 10206994 10207080 10206990 17989937    -        0.74   15.4   1.2  -
SUPER_19             -          TR                   -               21     133  2623572  2623727  2623554  2623747 10628025    +        0.83   15.3   1.1  -
SUPER_4              -          TR                   -               70     123 18105304 18105243 18105326 18105221 20024081    -         1.2   14.8   3.4  -
SUPER_16             -          TR                   -               67     156  9982437  9982354  9982460  9982334 12337341    -         1.4   14.5   4.3  -
SUPER_4              -          TR                   -              103     157 11378717 11378781 11378697 11378789 20024081    +         1.8   14.1   2.4  -
SUPER_4              -          TR                   -               67     138 18643539 18643403 18643560 18643392 20024081    -         1.9   14.1   2.5  -
SUPER_18             -          TR                   -               68     130  6587646  6587717  6587615  6587764 10693366    +         2.3   13.8   7.3  -
SUPER_4              -          TR                   -              103     162 11400202 11400271 11400182 11400273 20024081    +         2.5   13.7   3.2  -
SUPER_5              -          TR                   -               30     124 18419136 18419269 18419119 18419271 19835635    +         2.6   13.6   0.8  -
SUPER_2              -          TR                   -               65     130 18119670 18119733 18119649 18119753 22310707    +         2.6   13.6   0.0  -
SUPER_5              -          TR                   -               68     127 15424623 15424678 15424589 15424698 19835635    +         2.9   13.5   0.0  -
SUPER_4              -          TR                   -                1     123  4723754  4723914  4723754  4723934 20024081    +         3.1   13.4   1.7  -
SUPER_7              -          TR                   -               67     130   885555   885493   885574   885473 17989937    -         3.5   13.2   1.2  -
SUPER_3              -          TR                   -               60     124   289177   289256   289154   289276 20491449    +         3.5   13.2   5.0  -
SUPER_4              -          TR                   -               78     129 19010600 19010549 19010631 19010527 20024081    -         3.7   13.1   0.0  -
SUPER_18             -          TR                   -              106     142  9196915  9196877  9196938  9196852 10693366    -           4   13.0   1.2  -
SUPER_1              -          TR                   -              114     176   225421   225474   225401   225493 26264280    +         4.8   12.8   0.0  -
SUPER_4              -          TR                   -               24     133  6833327  6833467  6833316  6833486 20024081    +         5.2   12.6   7.1  -
SUPER_10             -          TR                   -              103     161  3756146  3756211  3756126  3756218 16863948    +         5.4   12.6   1.9  -
SUPER_4              -          TR                   -              104     158  7810538  7810605  7810517  7810610 20024081    +         5.5   12.6   0.0  -
SUPER_1              -          TR                   -               26     129 23270909 23271058 23270897 23271077 26264280    +         5.6   12.5   0.0  -
SUPER_14             -          TR                   -              104     162   601790   601848   601759   601851 13278925    +         6.9   12.2   6.3  -
SUPER_15             -          TR                   -               72     124  3364286  3364334  3364265  3364355 12599066    +         7.8   12.1   0.3  -
SUPER_1              -          TR                   -              103     148  4894862  4894817  4894882  4894804 26264280    -         7.9   12.1   2.8  -
SUPER_11             -          TR                   -               24     123  3010545  3010456  3010565  3010436 16252216    -         7.9   12.1   1.2  -
SUPER_12             -          TR                   -              107     162 10406719 10406760 10406699 10406763 13819490    +           8   12.0   2.0  -
SUPER_1              -          TR                   -              103     141 19533824 19533786 19533853 19533766 26264280    -         8.3   12.0   2.8  -
SUPER_12             -          TR                   -              102     156  2707991  2708069  2707971  2708089 13819490    +         8.6   11.9   0.9  -
SUPER_1              -          TR                   -              104     180 19053361 19053451 19053328 19053471 26264280    +         9.4   11.8   0.1  -
SUPER_8              -          TR                   -               67     141 10355039 10355194 10355018 10355214 17146125    +         9.5   11.8   1.7  -
SUPER_15             -          TR                   -              103     158  6333715  6333662  6333733  6333661 12599066    -         9.6   11.8   1.5  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/monocots/Juncus_squarrosus/assembly/curated/lpJunSqua1.1/lpJunSqua1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Juncus_squarrosus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/monocots/Juncus_squarrosus/assembly/curated/lpJunSqua1.1/lpJunSqua1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:19:12 2025
# [ok]
