# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     315 16221828 16222142 16221827 16222147 55658598    +     1.9e-39  142.8   3.3  -
SUPER_14             -          TR                   -               21     167 19541273 19541435 19541262 19541461 28331175    +        0.11   18.8   8.9  -
SUPER_10             -          TR                   -               25     131 24888055 24888165 24888040 24888185 31430341    +        0.16   18.3   6.9  -
SUPER_7              -          TR                   -               77     141 23985391 23985450 23985371 23985470 33257343    +        0.23   17.8   0.0  -
SUPER_10             -          TR                   -               24     125 25289808 25289909 25289795 25289929 31430341    +        0.29   17.4   0.9  -
SUPER_2              -          TR                   -               21     167 34894065 34894236 34894045 34894238 44110253    +         0.3   17.4   1.8  -
SUPER_5              -          TR                   -               41     146 30107362 30107227 30107382 30107211 34930558    -        0.36   17.1   0.0  -
SUPER_3              -          TR                   -               24     130 23528104 23527959 23528124 23527938 43069259    -        0.36   17.1   2.2  -
SUPER_11             -          TR                   -                1      84 27512418 27512327 27512418 27512307 30360007    -        0.39   17.0   4.6  -
SUPER_4              -          TR                   -               51     132 11767117 11767206 11767104 11767230 38467353    +        0.51   16.6   1.5  -
SUPER_11             -          TR                   -              183     317  4750783  4750885  4750770  4750886 30360007    +        0.55   16.5   0.3  -
SUPER_8              -          TR                   -               27     164 19346886 19346695 19346889 19346691 33173876    -        0.58   16.4   0.6  -
SUPER_3              -          TR                   -                2      80 22044340 22044425 22044339 22044445 43069259    +        0.62   16.4   4.1  -
SUPER_1              -          TR                   -                1      87  4742443  4742349  4742443  4742329 55658598    -        0.63   16.3   4.7  -
SUPER_1              -          TR                   -               14     162  2923190  2923007  2923194  2923002 55658598    -         1.3   15.3   1.6  -
SUPER_8              -          TR                   -                1      92 15939873 15939971 15939873 15939993 33173876    +         1.4   15.2   5.4  -
SUPER_2              -          TR                   -                1      76 27966584 27966502 27966584 27966474 44110253    -         1.4   15.2   4.6  -
SUPER_12             -          TR                   -                1      79 20088517 20088433 20088517 20088411 30171930    -         1.4   15.2   1.3  -
SUPER_6              -          TR                   -                1      80 29359158 29359244 29359158 29359264 34343624    +         1.4   15.2   3.4  -
SUPER_7              -          TR                   -               15     195 27577698 27577925 27577692 27577929 33257343    +         1.6   15.0   3.4  -
SUPER_13             -          TR                   -                1      88 16966803 16966709 16966803 16966690 29473562    -         1.6   15.0   4.2  -
SUPER_2              -          TR                   -                1     107 14416652 14416764 14416652 14416788 44110253    +         1.7   14.9   0.3  -
SUPER_2              -          TR                   -                1      92 38022631 38022535 38022631 38022515 44110253    -         1.9   14.7   5.4  -
SUPER_2              -          TR                   -                1      84 34933015 34933109 34933015 34933129 44110253    +           2   14.7   4.1  -
SUPER_11             -          TR                   -                1      84 22796108 22796197 22796108 22796217 30360007    +           2   14.7   2.1  -
SUPER_5              -          TR                   -               18     130  7343386  7343483  7343380  7343505 34930558    +         2.1   14.7   0.0  -
SUPER_11             -          TR                   -                1      84 22718365 22718454 22718365 22718474 30360007    +         2.1   14.6   1.5  -
SUPER_2              -          TR                   -               58     141 13019761 13019863 13019744 13019895 44110253    +         2.2   14.6   2.7  -
SUPER_4              -          TR                   -               70     166  8298177  8298316  8298158  8298317 38467353    +         2.4   14.4   0.1  -
SUPER_3              -          TR                   -                1      84  6108135  6108225  6108135  6108245 43069259    +         2.5   14.4   3.4  -
SUPER_11             -          TR                   -               26     165 17488485 17488279 17488500 17488277 30360007    -         2.7   14.3   0.6  -
SUPER_12             -          TR                   -               48     164 10252386 10252237 10252405 10252234 30171930    -         2.8   14.2   2.2  -
