# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                2     313  43445387  43445702  43445386  43445706  65073441    +     1.7e-37  137.7   7.8  -
SUPER_3              -          TR                   -               20     130  39030486  39030389  39030501  39030364  75689238    -        0.21   19.3   1.3  -
SUPER_1              -          TR                   -               30     123  38924607  38924698  38924588  38924729 100421371    +        0.34   18.6   2.4  -
SUPER_12             -          TR                   -               68     139  14546014  14545941  14546034  14545920  60965883    -        0.39   18.4   2.8  -
SUPER_4              -          TR                   -               69     139  23350705  23350777  23350684  23350799  70294856    +         0.4   18.4   6.3  -
SUPER_6              -          TR                   -               24     131  27582252  27582370  27582239  27582391  65073441    +        0.56   17.9   1.5  -
SUPER_8              -          TR                   -               20     130  19588523  19588432  19588535  19588400  63517387    -        0.63   17.7   0.9  -
SUPER_10             -          TR                   -                2     102  42561745  42561621  42561746  42561603  62494563    -        0.64   17.7   0.6  -
SUPER_9              -          TR                   -                2     102  16845422  16845297  16845423  16845285  63259039    -        0.72   17.6   1.1  -
SUPER_17             -          TR                   -                2     103  27424029  27424122  27424028  27424144  53489722    +         1.4   16.6   2.9  -
SUPER_10             -          TR                   -                1     102    876336    876462    876336    876480  62494563    +         1.9   16.2   0.2  -
SUPER_1              -          TR                   -                2     102  24340212  24340305  24340211  24340325 100421371    +         1.9   16.2   0.1  -
SUPER_22             -          TR                   -                2     102  31534357  31534481  31534356  31534494  41393256    +           2   16.1   0.1  -
SUPER_14             -          TR                   -                2     101  38545435  38545305  38545436  38545284  58053754    -         2.6   15.7   0.4  -
SUPER_2              -          TR                   -              110     166  78472591  78472540  78472601  78472535  78494207    -         2.8   15.6   0.1  -
SUPER_2              -          TR                   -               24     130  56098254  56098350  56098240  56098372  78494207    +         2.8   15.6   2.6  -
SUPER_21             -          TR                   -               18     153  43492736  43492859  43492727  43492878  44626639    +         3.1   15.5   1.5  -
SUPER_5              -          TR                   -               29     138  64377898  64378062  64377878  64378082  67636892    +         3.1   15.5   0.2  -
SUPER_6              -          TR                   -               68     142   3603766   3603695   3603793   3603675  65073441    -         3.3   15.4   0.5  -
SUPER_16             -          TR                   -               25     138  41825838  41825962  41825818  41825985  54173994    +         3.9   15.1   2.2  -
SUPER_9              -          TR                   -                2     102  29789482  29789357  29789483  29789341  63259039    -         4.8   14.9   0.6  -
SUPER_14             -          TR                   -               21     133    561146    561034    561154    561015  58053754    -         4.8   14.9   3.0  -
SUPER_16             -          TR                   -                2     102  34912993  34912869  34912994  34912853  54173994    -         4.8   14.8   0.6  -
SUPER_15             -          TR                   -               59     189  42181747  42181602  42181776  42181592  56317212    -         5.3   14.7   6.3  -
SUPER_10             -          TR                   -                2     102  18949283  18949407  18949282  18949427  62494563    +         5.8   14.6   1.2  -
SUPER_10             -          TR                   -                2     102    456690    456566    456691    456548  62494563    -         5.9   14.6   0.7  -
SUPER_6              -          TR                   -                2     101  43807223  43807100  43807224  43807088  65073441    -           6   14.5   0.3  -
SUPER_13             -          TR                   -               31     137  23342073  23341969  23342093  23341949  59267583    -         6.2   14.5   3.4  -
SUPER_11             -          TR                   -                2     102  10685419  10685543  10685418  10685552  61408564    +         6.3   14.5   1.2  -
SUPER_6              -          TR                   -                2     102  48519343  48519466  48519342  48519478  65073441    +         6.4   14.4   0.6  -
SUPER_4              -          TR                   -                2     102  59057727  59057603  59057728  59057589  70294856    -         6.4   14.4   0.5  -
SUPER_12             -          TR                   -                2     102  45992444  45992320  45992445  45992300  60965883    -         6.7   14.4   0.1  -
SUPER_17             -          TR                   -                5     122  52171217  52171098  52171219  52171075  53489722    -         6.9   14.3   1.0  -
SUPER_1              -          TR                   -                2      99  86641388  86641509  86641387  86641524 100421371    +         7.3   14.3   0.2  -
SUPER_3              -          TR                   -                2     102  71765021  71764897  71765022  71764883  75689238    -         7.7   14.2   0.5  -
SUPER_15             -          TR                   -              108     166     15741     15794     15722     15799  56317212    +         8.6   14.0   0.3  -
SUPER_15             -          TR                   -              108     166     18861     18914     18842     18919  56317212    +         8.6   14.0   0.3  -
SUPER_2              -          TR                   -               21     162  15432110  15432297  15432097  15432318  78494207    +         8.6   14.0   2.3  -
SUPER_1              -          TR                   -                2     102  94621338  94621463  94621337  94621483 100421371    +         8.7   14.0   1.3  -
SUPER_15             -          TR                   -               68     126  51635074  51635136  51635054  51635158  56317212    +         8.9   14.0   5.3  -
SUPER_10             -          TR                   -               54     123  44933171  44933223  44933139  44933253  62494563    +           9   14.0   5.4  -
SUPER_3              -          TR                   -                2      97  71765622  71765503  71765623  71765486  75689238    -         9.1   13.9   0.9  -
SUPER_2              -          TR                   -               68     136  54219574  54219649  54219531  54219665  78494207    +         9.1   13.9   0.6  -
SUPER_22             -          TR                   -                2     118  22966686  22966560  22966687  22966559  41393256    -         9.2   13.9   1.2  -
SUPER_20             -          TR                   -               25     130   8451041   8451135   8451028   8451155  45303176    +         9.3   13.9   0.7  -
SUPER_17             -          TR                   -              170     227  49775813  49775755  49775814  49775742  53489722    -         9.5   13.9   2.0  -
SUPER_16             -          TR                   -               67     127   3688491   3688424   3688508   3688404  54173994    -         9.6   13.9   2.5  -
SUPER_6              -          TR                   -                2     102  42039161  42039285  42039160  42039299  65073441    +         9.7   13.8   0.5  -
SUPER_8              -          TR                   -                2     102  49785410  49785286  49785411  49785271  63517387    -         9.8   13.8   0.8  -
SUPER_21             -          TR                   -                2     102  43957412  43957536  43957411  43957554  44626639    +         9.9   13.8   1.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Ligustrum_vulgare/assembly/curated/daLigVulg1.1/daLigVulg1.1.primary.fa.gz
