# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                1     316  41616891  41617217  41616891  41617220  86429157    +     1.5e-33  124.2   6.3  -
SUPER_3              -          TR                   -              146     316  53894744  53894908  53894724  53894909 100822244    +     2.6e-12   54.5   7.8  -
SUPER_3              -          TR                   -                6     130  53889335  53889454  53889330  53889474 100822244    +     0.00054   27.2   3.3  -
SUPER_7              -          TR                   -               71     140   3479035   3479110   3479012   3479129  73582434    +       0.079   20.1   1.5  -
SUPER_2              -          TR                   -                1      84   2392198   2392278   2392198   2392298 101270675    +        0.26   18.4   1.0  -
SUPER_6              -          TR                   -                1      79  33138354  33138271  33138354  33138250  82135984    -        0.57   17.3   1.4  -
SUPER_5              -          TR                   -                1      67  73078181  73078245  73078181  73078273  86429157    +         0.6   17.2   0.7  -
SUPER_4              -          TR                   -               25     124  78516595  78516694  78516575  78516714  90039709    +        0.84   16.7   4.2  -
SUPER_3              -          TR                   -              176     248  72263803  72263907  72263792  72263926 100822244    +           1   16.5   2.3  -
SUPER_9              -          TR                   -                1     119  10725248  10725130  10725248  10725111  58762873    -         1.2   16.2   4.8  -
SUPER_7              -          TR                   -                3     102  59566381  59566290  59566383  59566279  73582434    -         1.8   15.7   1.1  -
SUPER_4              -          TR                   -                1      66  60312927  60312864  60312927  60312836  90039709    -         1.9   15.6   0.5  -
SUPER_6              -          TR                   -                1      56  55992258  55992311  55992258  55992334  82135984    +         2.3   15.3   0.6  -
SUPER_2              -          TR                   -               78     141  28093469  28093403  28093491  28093383 101270675    -         2.4   15.3   2.0  -
SUPER_6              -          TR                   -                1      80  40565049  40565130  40565049  40565151  82135984    +         2.6   15.1   0.6  -
SUPER_6              -          TR                   -                1      79  33138545  33138462  33138545  33138442  82135984    -         2.7   15.1   1.5  -
SUPER_4              -          TR                   -                1      91  10674961  10674879  10674961  10674848  90039709    -         2.7   15.1   3.3  -
SUPER_10             -          TR                   -                1      80  33114080  33114161  33114080  33114180  52656002    +         2.7   15.1   1.1  -
SUPER_3              -          TR                   -                1      84  18762658  18762578  18762658  18762558 100822244    -         2.8   15.0   1.3  -
SUPER_8              -          TR                   -                1      68  44407971  44408042  44407971  44408073  63312025    +         2.8   15.0   0.8  -
SUPER_6              -          TR                   -                1      66  39438059  39437996  39438059  39437968  82135984    -         2.9   15.0   0.5  -
SUPER_9              -          TR                   -                1      98  16429952  16430042  16429952  16430058  58762873    +           3   15.0   0.9  -
SUPER_4              -          TR                   -                1      68  60312712  60312641  60312712  60312621  90039709    -           3   14.9   1.1  -
SUPER_6              -          TR                   -                1      66  79766461  79766398  79766461  79766362  82135984    -         3.5   14.7   0.7  -
SUPER_8              -          TR                   -                1      59  61562913  61562969  61562913  61562996  63312025    +         3.5   14.7   0.5  -
SUPER_11             -          TR                   -                1      57  32512625  32512679  32512625  32512705  47993484    +         3.6   14.7   0.4  -
SUPER_7              -          TR                   -                1      98  42455795  42455884  42455795  42455901  73582434    +         3.7   14.6   0.2  -
SUPER_5              -          TR                   -                1      68   6665878   6665807   6665878   6665779  86429157    -         3.7   14.6   0.2  -
SUPER_1              -          TR                   -                1      84  27338125  27338205  27338125  27338226 102044551    +         3.9   14.6   0.5  -
HAP1_SCAFFOLD_199    -          TR                   -                1      57     62076     62022     62076     61995    119567    -         4.2   14.5   1.3  -
SUPER_7              -          TR                   -                1      91  69681560  69681473  69681560  69681453  73582434    -         4.2   14.4   2.2  -
SUPER_4              -          TR                   -                1      65  25304337  25304275  25304337  25304237  90039709    -         4.4   14.4   0.8  -
SUPER_2              -          TR                   -              172     293  25819734  25819629  25819750  25819615 101270675    -         4.4   14.4   1.1  -
SUPER_1              -          TR                   -                1      58  90208112  90208167  90208112  90208194 102044551    +         4.4   14.4   0.4  -
SUPER_8              -          TR                   -                1      58  44407754  44407809  44407754  44407836  63312025    +         4.4   14.4   0.4  -
SUPER_1              -          TR                   -                1      58  10256003  10256058  10256003  10256086 102044551    +         4.6   14.3   0.5  -
SUPER_1              -          TR                   -                1      58  90208329  90208384  90208329  90208412 102044551    +         4.6   14.3   0.5  -
SUPER_2              -          TR                   -                1      58  92801090  92801035  92801090  92801007 101270675    -         4.6   14.3   0.5  -
SUPER_6              -          TR                   -                1      66  64658666  64658603  64658666  64658564  82135984    -         4.6   14.3   0.5  -
SUPER_9              -          TR                   -                1      56  21208032  21207979  21208032  21207958  58762873    -         4.6   14.3   0.6  -
SUPER_7              -          TR                   -                1      66  42455578  42455641  42455578  42455669  73582434    +         4.6   14.3   0.0  -
SUPER_4              -          TR                   -                1      66  79428469  79428406  79428469  79428369  90039709    -         4.8   14.3   0.5  -
SUPER_3              -          TR                   -              180     248  63048228  63048123  63048236  63048103 100822244    -         4.9   14.2   1.6  -
SUPER_2              -          TR                   -                1      58  24021675  24021730  24021675  24021757 101270675    +           5   14.2   0.6  -
SUPER_7              -          TR                   -                1      57  59566166  59566112  59566166  59566086  73582434    -         5.2   14.1   0.3  -
HAP1_SCAFFOLD_1814   -          TR                   -                1      56       907       960       907       982     18190    +         5.2   14.1   0.2  -
SUPER_1              -          TR                   -                1      64  22553993  22554054  22553993  22554084 102044551    +         5.7   14.0   0.1  -
SUPER_8              -          TR                   -                2      66  48052253  48052315  48052252  48052354  63312025    +         5.8   14.0   1.0  -
SUPER_9              -          TR                   -               11      93  15254860  15254952  15254858  15254977  58762873    +         5.8   14.0   2.1  -
SUPER_1              -          TR                   -                1      80  93358427  93358343  93358427  93358323 102044551    -         5.9   14.0   2.2  -
SUPER_1              -          TR                   -                1      65  30295315  30295253  30295315  30295215 102044551    -           6   14.0   0.8  -
SUPER_5              -          TR                   -               23     124  75618364  75618263  75618382  75618242  86429157    -         6.1   13.9   0.5  -
SUPER_9              -          TR                   -                1      63  38247902  38247962  38247902  38247976  58762873    +         6.2   13.9   1.7  -
SUPER_6              -          TR                   -                1      56  39438276  39438223  39438276  39438198  82135984    -         6.4   13.9   0.2  -
SUPER_9              -          TR                   -                1      76  47979847  47979769  47979847  47979748  58762873    -         6.5   13.8   0.7  -
SUPER_4              -          TR                   -                1      60  34653673  34653616  34653673  34653590  90039709    -         6.6   13.8   0.5  -
SUPER_2              -          TR                   -              183     262  75077815  75077912  75077807  75077932 101270675    +         6.6   13.8   0.2  -
SUPER_3              -          TR                   -                1      80  40235689  40235773  40235689  40235793 100822244    +         6.9   13.7   1.7  -
SUPER_9              -          TR                   -               24     141  39718540  39718419  39718560  39718402  58762873    -           7   13.7   3.0  -
SUPER_4              -          TR                   -                1      79  63846807  63846727  63846807  63846707  90039709    -         7.1   13.7   1.8  -
SUPER_5              -          TR                   -                1      64  84885828  84885889  84885828  84885919  86429157    +         7.1   13.7   0.3  -
SUPER_5              -          TR                   -                1      58   5401076   5401021   5401076   5400993  86429157    -         7.2   13.7   0.5  -
SUPER_3              -          TR                   -                1      84  19750757  19750677  19750757  19750653 100822244    -         7.2   13.7   0.6  -
SUPER_5              -          TR                   -                1      69  79651367  79651310  79651367  79651289  86429157    -         7.2   13.7   4.5  -
SUPER_2              -          TR                   -                1      82  48455131  48455216  48455131  48455236 101270675    +         7.4   13.6   1.1  -
SUPER_2              -          TR                   -                1      59  28847558  28847502  28847558  28847475 101270675    -         7.6   13.6   0.4  -
SUPER_7              -          TR                   -                1      63  17321961  17322021  17321961  17322052  73582434    +         7.6   13.6   0.4  -
SUPER_1              -          TR                   -                1      81  10255797  10255870  10255797  10255890 102044551    +         7.9   13.5   0.9  -
