# target name        accession  query name           accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
all_tr_seqs          -          SUPER_1_6            -              107     203  21452608  21452705  21452588  21452724       340    +        0.36   15.1   0.9  -
all_tr_seqs          -          SUPER_1_6            -               12      59  32008410  32008457  32008398  32008477       340    +        0.96   13.7   1.7  -
all_tr_seqs          -          SUPER_1_6            -               11      66  87685210  87685155  87685219  87685135       340    -         1.5   13.1   2.7  -
all_tr_seqs          -          SUPER_1_6            -                9      58  28031071  28031120  28031063  28031140       340    +         2.3   12.5   0.9  -
all_tr_seqs          -          SUPER_1_6            -               10      68  82656683  82656624  82656703  82656602       340    -         2.3   12.5   7.3  -
all_tr_seqs          -          SUPER_1_6            -                8      63  78967107  78967162  78967100  78967183       340    +         2.8   12.2   5.7  -
all_tr_seqs          -          SUPER_1_6            -               11     103  33874574  33874485  33874586  33874464       340    -         2.9   12.1   7.3  -
all_tr_seqs          -          SUPER_1_6            -               12     140 103474637 103474779 103474626 103474800       340    +         3.3   11.9   1.8  -
all_tr_seqs          -          SUPER_1_6            -              113     173 119386010 119385942 119386020 119385931       340    -         3.9   11.7   1.5  -
all_tr_seqs          -          SUPER_1_6            -               11      71  93284003  93284063  93283991  93284107       340    +         4.4   11.5   6.9  -
all_tr_seqs          -          SUPER_1_6            -               11     109  85738894  85738796  85738903  85738776       340    -         4.6   11.5   1.3  -
all_tr_seqs          -          SUPER_1_6            -               11      56  26930265  26930220  26930276  26930204       340    -         4.8   11.4   0.6  -
all_tr_seqs          -          SUPER_1_6            -                9      55  62564101  62564147  62564093  62564156       340    +         4.9   11.4   0.2  -
all_tr_seqs          -          SUPER_1_6            -               32     114  66413715  66413650  66413729  66413638       340    -           5   11.3   0.1  -
all_tr_seqs          -          SUPER_1_6            -               11      66  80730300  80730245  80730312  80730226       340    -         5.4   11.2   2.5  -
all_tr_seqs          -          SUPER_1_6            -               12      98  92892826  92892738  92892836  92892718       340    -         5.5   11.2   1.8  -
