# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                2     316 38061750 38061390 38061751 38061389 67590992    -     1.3e-29  110.6   3.6  -
SUPER_5              -          TR                   -                2      97 26574309 26574417 26574308 26574438 67590992    +       0.014   21.9   5.5  -
SUPER_8              -          TR                   -                2      92 30021594 30021712 30021593 30021736 62507907    +       0.034   20.6   3.6  -
SUPER_8              -          TR                   -                2      97 28847985 28848092 28847984 28848108 62507907    +       0.039   20.4   3.6  -
SUPER_8              -          TR                   -                2      96 22990141 22990019 22990142 22989997 62507907    -        0.04   20.4   2.0  -
SUPER_4              -          TR                   -                2      99 13804072 13804196 13804071 13804216 68497555    +       0.047   20.1   2.5  -
SUPER_8              -          TR                   -                2      94 30025931 30026051 30025930 30026074 62507907    +       0.064   19.7   2.6  -
SUPER_8              -          TR                   -                2      92 30021334 30021452 30021333 30021474 62507907    +       0.076   19.5   3.5  -
SUPER_8              -          TR                   -                2     129 38475876 38475739 38475877 38475718 62507907    -       0.081   19.4   2.2  -
SUPER_4              -          TR                   -                2     100 20563038 20562918 20563039 20562896 68497555    -       0.083   19.3   1.6  -
SUPER_1              -          TR                   -                2      83 69024499 69024402 69024500 69024386 71797083    -       0.097   19.1   2.4  -
SUPER_3              -          TR                   -                2      84 58113808 58113918 58113807 58113941 69528761    +       0.097   19.1   2.5  -
SUPER_5              -          TR                   -                2      84 26574554 26574660 26574553 26574680 67590992    +       0.097   19.1   2.8  -
SUPER_6              -          TR                   -                2     102 10079990 10079868 10079991 10079848 66099332    -       0.099   19.1   4.7  -
SUPER_1              -          TR                   -                2      84 59573285 59573394 59573284 59573414 71797083    +         0.1   19.0   2.4  -
SUPER_7              -          TR                   -                2     101 40242366 40242487 40242365 40242508 62344512    +         0.1   19.0   4.5  -
SUPER_6              -          TR                   -                2      84 16748054 16747944 16748055 16747923 66099332    -        0.11   19.0   2.3  -
SUPER_3              -          TR                   -                2      99 15478495 15478376 15478496 15478353 69528761    -        0.11   19.0   2.8  -
SUPER_6              -          TR                   -                2     116 59623822 59623652 59623823 59623639 66099332    -        0.12   18.8   3.9  -
SUPER_5              -          TR                   -                2      84   427311   427205   427312   427172 67590992    -        0.12   18.8   4.4  -
SUPER_6              -          TR                   -                2      96 24079154 24079038 24079155 24079015 66099332    -        0.12   18.8   1.8  -
SUPER_1              -          TR                   -                2      84 25214731 25214622 25214732 25214601 71797083    -        0.13   18.7   1.6  -
SUPER_5              -          TR                   -                2     115  8098757  8098604  8098758  8098603 67590992    -        0.13   18.7   3.3  -
SUPER_7              -          TR                   -                1      85  8889728  8889637  8889728  8889617 62344512    -        0.13   18.6   2.7  -
SUPER_2              -          TR                   -                2      85  8808273  8808384  8808272  8808404 71300066    +        0.14   18.6   2.1  -
SUPER_5              -          TR                   -                2      98 22559680 22559804 22559679 22559824 67590992    +        0.14   18.6   1.7  -
SUPER_7              -          TR                   -                2      88 31073086 31072972 31073087 31072950 62344512    -        0.14   18.6   3.8  -
SUPER_5              -          TR                   -                2      84 22555471 22555362 22555472 22555342 67590992    -        0.14   18.6   3.2  -
SUPER_2              -          TR                   -                2      84  8808533  8808642  8808532  8808662 71300066    +        0.15   18.5   2.1  -
SUPER_4              -          TR                   -                2      83 48758887 48758778 48758888 48758758 68497555    -        0.15   18.5   3.7  -
