# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                2     313 67073521 67073878 67073520 67073880 72478092    +     2.9e-10   48.1   0.2  -
SUPER_4              -          TR                   -              103     312 61284529 61284293 61284558 61284290 65788526    -     0.00032   28.2   1.6  -
SUPER_8              -          TR                   -              149     191 33645235 33645277 33645215 33645300 63069764    +        0.26   18.7   1.8  -
SUPER_1              -          TR                   -              105     166 39800630 39800692 39800610 39800696 73715386    +        0.35   18.3   0.7  -
SUPER_11             -          TR                   -              103     168 35622699 35622633 35622719 35622622 57674505    -        0.55   17.6   0.0  -
SUPER_1              -          TR                   -              105     165 33587106 33587167 33587086 33587170 73715386    +         1.7   16.0   0.7  -
SUPER_12             -          TR                   -               36     139 42965453 42965360 42965473 42965340 57425473    -         1.9   15.9   4.9  -
SUPER_15             -          TR                   -              105     165 25675969 25676030 25675948 25676033 55046141    +         1.9   15.9   1.8  -
SUPER_10             -          TR                   -              105     165 52620006 52620067 52619984 52620069 61274525    +           2   15.8   1.0  -
SUPER_14             -          TR                   -              105     165 10941031 10941092 10941011 10941095 55598651    +         2.2   15.6   0.3  -
SUPER_15             -          TR                   -              148     196 32293713 32293665 32293734 32293664 55046141    -         2.2   15.6   1.8  -
SUPER_7              -          TR                   -              105     166 42412903 42412965 42412884 42412969 63205660    +         2.2   15.6   0.8  -
SUPER_11             -          TR                   -              147     188 25000407 25000369 25000427 25000353 57674505    -         2.2   15.6   0.0  -
SUPER_9              -          TR                   -              105     165 39257126 39257187 39257107 39257190 62979943    +         2.7   15.4   0.1  -
SUPER_15             -          TR                   -              106     164  1989835  1989776  1989857  1989772 55046141    -         2.9   15.3   1.6  -
SUPER_7              -          TR                   -              145     196 57279235 57279286 57279215 57279287 63205660    +         2.9   15.3   3.0  -
SUPER_2              -          TR                   -              149     196 36767555 36767602 36767535 36767603 72478092    +           3   15.2   1.6  -
SUPER_14             -          TR                   -              105     165 30364282 30364221 30364302 30364218 55598651    -         3.1   15.2   0.1  -
SUPER_10             -          TR                   -              148     195 31380349 31380396 31380328 31380416 61274525    +         3.2   15.1   3.1  -
SUPER_14             -          TR                   -              104     166  9400608  9400671  9400587  9400672 55598651    +         3.2   15.1   0.4  -
SUPER_10             -          TR                   -              105     166 57083574 57083512 57083594 57083492 61274525    -         3.3   15.1   1.1  -
SUPER_16             -          TR                   -                1      94 49210931 49211023 49210931 49211044 54081873    +         3.3   15.1   0.0  -
SUPER_11             -          TR                   -              105     166  9464786  9464724  9464807  9464723 57674505    -         3.4   15.0   0.6  -
SUPER_3              -          TR                   -               60     196 22590721 22590608 22590741 22590587 69516159    -         3.4   15.0   3.2  -
SUPER_1              -          TR                   -              104     165 33127405 33127467 33127385 33127470 73715386    +         3.4   15.0   0.6  -
SUPER_9              -          TR                   -              105     166 22814894 22814956 22814874 22814960 62979943    +         3.6   15.0   0.9  -
