# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -               78     124 68949364 68949324 68949437 68949317 68949439    -       0.098   18.9   2.7  -
SUPER_2              -          TR                   -              101     168 53398352 53398281 53398375 53398277 82066495    -         0.1   18.8   1.4  -
SUPER_4              -          TR                   -               79     236 19380074 19380256 19380052 19380276 68949439    +        0.19   18.0   0.4  -
SUPER_1              -          TR                   -               67     125  8659685  8659623  8659714  8659603 93017614    -        0.59   16.3   2.2  -
SUPER_3              -          TR                   -               22     141  5696023  5695902  5696033  5695882 72514192    -         1.1   15.5   4.5  -
SUPER_2              -          TR                   -               68     159 46633642 46633548 46633685 46633533 82066495    -         1.5   15.0   0.0  -
SUPER_7              -          TR                   -               23     130  6541938  6542047  6541926  6542067 49410631    +         1.6   14.9   1.7  -
SUPER_4              -          TR                   -               68     159 35774527 35774621 35774484 35774636 68949439    +         1.8   14.8   0.1  -
SUPER_7              -          TR                   -               68     159 39737418 39737324 39737461 39737309 49410631    -         1.8   14.8   0.1  -
SUPER_5              -          TR                   -               68     141  7675845  7675926  7675825  7675958 59923114    +         1.8   14.7   2.4  -
SUPER_1              -          TR                   -               20     134 85934339 85934215 85934348 85934195 93017614    -           2   14.6   5.4  -
SUPER_3              -          TR                   -               23     124 59787749 59787885 59787738 59787938 72514192    +         2.1   14.5   0.3  -
SUPER_3              -          TR                   -               68     131 33729506 33729428 33729526 33729408 72514192    -         2.1   14.5   0.0  -
SUPER_5              -          TR                   -              107     172 19021967 19021898 19021991 19021889 59923114    -         2.2   14.5   1.5  -
SUPER_1              -          TR                   -              142     191 51933906 51933851 51933926 51933843 93017614    -         2.3   14.4   0.6  -
SUPER_5              -          TR                   -               34     166  1190730  1190531  1190748  1190530 59923114    -         2.7   14.2   1.5  -
SUPER_4              -          TR                   -               92     156 52849753 52849818 52849743 52849823 68949439    +         3.9   13.7   1.5  -
SUPER_3              -          TR                   -               80     138 25753077 25753129 25753057 25753148 72514192    +         4.6   13.4   0.1  -
SUPER_5              -          TR                   -              108     165 13817895 13817957 13817875 13817958 59923114    +         4.7   13.4   2.4  -
SUPER_5              -          TR                   -              225     313 16990523 16990609 16990498 16990610 59923114    +         4.7   13.4   0.5  -
SUPER_3              -          TR                   -               68     128 45583418 45583324 45583438 45583304 72514192    -         4.9   13.3   0.0  -
SUPER_1              -          TR                   -               25     124 58748572 58748664 58748555 58748684 93017614    +         5.7   13.1   2.8  -
SUPER_3              -          TR                   -               68     130  1906837  1906913  1906817  1906933 72514192    +         5.7   13.1   0.6  -
SUPER_1              -          TR                   -               63     141 72882046 72882137 72882024 72882155 93017614    +         6.1   13.0   0.2  -
SUPER_4              -          TR                   -               24     157 13129464 13129603 13129452 13129605 68949439    +         6.2   13.0   1.9  -
SUPER_2              -          TR                   -               59     122 14041670 14041600 14041693 14041580 82066495    -         6.2   13.0   0.2  -
SUPER_3              -          TR                   -               77     134 38553869 38553818 38553871 38553799 72514192    -         6.4   13.0   0.0  -
SUPER_6              -          TR                   -              150     206  4331596  4331536  4331640  4331515 51849431    -         6.4   12.9   1.9  -
SUPER_2              -          TR                   -               84     141 24544109 24544165 24544090 24544185 82066495    +         6.5   12.9   1.2  -
SUPER_4              -          TR                   -               90     141 36386483 36386536 36386473 36386556 68949439    +         6.5   12.9   2.0  -
SUPER_6              -          TR                   -               52     134 19118945 19118847 19118966 19118828 51849431    -         6.8   12.9   0.1  -
SUPER_5              -          TR                   -               72     157 31930484 31930390 31930508 31930387 59923114    -         7.7   12.7   1.4  -
SUPER_2              -          TR                   -               70     128 81081767 81081700 81081787 81081678 82066495    -         8.3   12.6   1.8  -
SUPER_5              -          TR                   -                3     127 15863757 15863660 15863758 15863640 59923114    -         8.4   12.6   2.9  -
SUPER_5              -          TR                   -               67     141 13577350 13577440 13577321 13577460 59923114    +         8.4   12.6   1.1  -
SUPER_3              -          TR                   -               69     133 50000382 50000456 50000361 50000479 72514192    +         8.7   12.5   0.0  -
SUPER_7              -          TR                   -               82     140 44328929 44328986 44328908 44329005 49410631    +           9   12.5   0.5  -
SUPER_1              -          TR                   -               64     139 34975081 34975003 34975102 34974981 93017614    -         9.4   12.4   1.6  -
SUPER_1              -          TR                   -              105     180  1730170  1730068  1730189  1730062 93017614    -         9.6   12.4   1.8  -
SUPER_4              -          TR                   -               97     141 24096603 24096554 24096617 24096540 68949439    -         9.6   12.4   1.7  -
SUPER_1              -          TR                   -               67     129 90269937 90269997 90269912 90270018 93017614    +         9.8   12.3   0.9  -
