# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                2     312  7210161  7209840  7210162  7209837 37981074    -       5e-25   95.0   1.0  -
SUPER_6              -          TR                   -               95     310 22857834 22857616 22857885 22857613 28566898    -     2.4e-19   76.3   2.0  -
SUPER_9              -          TR                   -               65     141  3242669  3242591  3242689  3242574 27104884    -        0.77   15.6   2.2  -
SUPER_2              -          TR                   -               59     136 16965882 16965984 16965860 16966004 37981074    +        0.87   15.4   1.3  -
SUPER_1              -          TR                   -               56     134 20509630 20509527 20509658 20509507 39375550    -           1   15.2   1.1  -
SUPER_7              -          TR                   -               25     129  1031619  1031479  1031631  1031459 27829053    -         1.1   15.1   1.5  -
SUPER_5              -          TR                   -               59     136 13532334 13532232 13532364 13532212 28805439    -         1.2   15.0   2.0  -
SUPER_8              -          TR                   -               67     163 15213179 15213054 15213202 15213052 27457064    -         1.5   14.7   5.0  -
SUPER_13             -          TR                   -               48     134 12713284 12713396 12713262 12713417 22971973    +         2.5   14.0   2.1  -
SUPER_1              -          TR                   -               38     131 20403900 20403781 20403920 20403761 39375550    -         2.7   13.8   2.3  -
SUPER_3              -          TR                   -              106     141  3307268  3307303  3307232  3307323 31595231    +           3   13.7   0.0  -
SUPER_1              -          TR                   -               58     141 25651043 25651151 25651021 25651169 39375550    +         3.5   13.4   2.5  -
SUPER_2              -          TR                   -               42     134 17503315 17503198 17503339 17503177 37981074    -         3.9   13.3   4.6  -
SUPER_6              -          TR                   -               32     135 15314609 15314481 15314632 15314461 28566898    -         3.9   13.3   6.0  -
SUPER_11             -          TR                   -               49     135 11401965 11402076 11401941 11402096 24540604    +           4   13.3   4.6  -
SUPER_13             -          TR                   -               42     134  6024898  6025015  6024877  6025035 22971973    +         4.5   13.1   2.3  -
SUPER_1              -          TR                   -              107     141  3331348  3331314  3331368  3331294 39375550    -         4.5   13.1   0.5  -
