# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_4              -          TR                   -                2     316 24910769 24910452 24910770 24910451 36517634    -     6.5e-40  143.8   3.3  -
SUPER_4              -          TR                   -                2     316 24900372 24900076 24900373 24900075 36517634    -     1.6e-16   67.0   4.8  -
SUPER_1              -          TR                   -                2      65  7874022  7874083  7874021  7874103 48387611    +        0.19   17.5   2.0  -
SUPER_1              -          TR                   -                2      61  7886303  7886360  7886302  7886374 48387611    +         0.2   17.4   2.2  -
SUPER_5              -          TR                   -                1      61 25897431 25897373 25897431 25897354 31880159    -         0.3   16.9   3.3  -
SUPER_1              -          TR                   -               52     130 28697850 28697781 28697874 28697758 48387611    -        0.32   16.8   1.5  -
SUPER_3              -          TR                   -               20     277 11986550 11986839 11986542 11986850 36967377    +        0.41   16.4   2.2  -
SUPER_7              -          TR                   -                2     114  6061195  6061303  6061194  6061305 28714157    +        0.43   16.4   4.3  -
SUPER_5              -          TR                   -               34     162 24876803 24877012 24876782 24877016 31880159    +        0.53   16.1   2.0  -
SUPER_1              -          TR                   -               67     130 13765820 13765702 13765864 13765682 48387611    -        0.63   15.8   7.2  -
SUPER_4              -          TR                   -               30     128 31126356 31126446 31126337 31126466 36517634    +        0.68   15.7   4.1  -
SUPER_9              -          TR                   -                1      62 12614098 12614037 12614098 12614014 23480793    -        0.72   15.6   4.2  -
SUPER_3              -          TR                   -               54     134 31996834 31996926 31996807 31996955 36967377    +        0.75   15.6   0.7  -
SUPER_7              -          TR                   -                2      78 22092252 22092170 22092253 22092155 28714157    -        0.85   15.4   1.6  -
SUPER_1              -          TR                   -                1      92 12663952 12663863 12663952 12663842 48387611    -        0.98   15.2   2.2  -
SUPER_9              -          TR                   -                1     102  9374056  9374165  9374056  9374183 23480793    +           1   15.2   1.9  -
SUPER_7              -          TR                   -               23     166 19461805 19461952 19461794 19461953 28714157    +           1   15.2   3.5  -
SUPER_3              -          TR                   -                2      86 27315091 27315181 27315090 27315245 36967377    +           1   15.1   0.1  -
SUPER_10             -          TR                   -               24     277 21096307 21096021 21096319 21096009 23222813    -         1.1   15.0   1.1  -
SUPER_2              -          TR                   -               44     163  6649289  6649408  6649284  6649412 47857745    +         1.2   14.9   0.9  -
SUPER_3              -          TR                   -                1      79 19845328 19845412 19845328 19845432 36967377    +         1.4   14.7   4.8  -
SUPER_3              -          TR                   -               29     161 19325660 19325842 19325640 19325845 36967377    +         1.4   14.6   0.4  -
SUPER_7              -          TR                   -                1      80 15907053 15906967 15907053 15906947 28714157    -         1.8   14.4   3.1  -
SUPER_3              -          TR                   -                1      76 15402153 15402067 15402153 15402047 36967377    -           2   14.2   1.8  -
SUPER_3              -          TR                   -                2      51  3937840  3937887  3937839  3937910 36967377    +         2.3   14.0   0.6  -
SUPER_1              -          TR                   -                1      80 36324627 36324541 36324627 36324520 48387611    -         2.5   13.9   2.7  -
HAP1_SCAFFOLD_315    -          TR                   -                1      77     6494     6576     6494     6596    18378    +         2.6   13.8   3.2  -
SUPER_8              -          TR                   -                1      77 16583999 16583917 16583999 16583897 23850529    -         2.6   13.8   3.2  -
SUPER_7              -          TR                   -               91     169  5028932  5029022  5028911  5029023 28714157    +         2.7   13.8   0.3  -
SUPER_1              -          TR                   -                1      79 24493818 24493902 24493818 24493924 48387611    +         2.7   13.7   2.5  -
SUPER_4              -          TR                   -                1      59 12638458 12638400 12638458 12638375 36517634    -         2.9   13.7   4.0  -
SUPER_3              -          TR                   -                1      79 18311574 18311490 18311574 18311468 36967377    -         2.9   13.6   2.8  -
SUPER_6              -          TR                   -               16     192 18127700 18127510 18127709 18127501 30567121    -           3   13.6   1.9  -
SUPER_5              -          TR                   -              189     312 27235753 27235880 27235733 27235884 31880159    +         3.1   13.5   2.4  -
SUPER_5              -          TR                   -                1      82 11608238 11608326 11608238 11608348 31880159    +         3.2   13.5   3.2  -
SUPER_3              -          TR                   -               18     131  8393082  8392963  8393096  8392939 36967377    -         3.2   13.5   1.7  -
SUPER_7              -          TR                   -                1      79 24555732 24555816 24555732 24555836 28714157    +         3.2   13.5   3.8  -
SUPER_11             -          TR                   -              178     276  5470483  5470393  5470489  5470383 20708503    -         3.2   13.5   1.0  -
SUPER_4              -          TR                   -                2     102 21709056 21708948 21709057 21708928 36517634    -         3.2   13.5   3.2  -
SUPER_5              -          TR                   -               60     132 25995822 25995747 25995850 25995727 31880159    -         3.3   13.5   2.9  -
SUPER_7              -          TR                   -                1     120 17970731 17970891 17970731 17970911 28714157    +         3.7   13.3   2.8  -
SUPER_8              -          TR                   -                1      83 20505717 20505629 20505717 20505608 23850529    -         3.7   13.3   3.3  -
SUPER_1              -          TR                   -               18     157 48345587 48345785 48345581 48345787 48387611    +         3.7   13.3   1.5  -
SUPER_3              -          TR                   -                2      84 27295531 27295619 27295530 27295637 36967377    +         3.7   13.3   0.4  -
SUPER_10             -          TR                   -                1      84    16001    16091    16001    16111 23222813    +         3.8   13.3   2.1  -
SUPER_7              -          TR                   -                1      79 24582284 24582368 24582284 24582388 28714157    +         4.1   13.2   3.0  -
SUPER_3              -          TR                   -               16     162 27029276 27029130 27029283 27029116 36967377    -         4.2   13.1   1.3  -
SUPER_1              -          TR                   -              108     163  7782196  7782127  7782216  7782122 48387611    -         4.2   13.1   3.8  -
SUPER_1              -          TR                   -                1      81 36324024 36323938 36324024 36323918 48387611    -         4.3   13.1   1.7  -
SUPER_1              -          TR                   -               36     130 10933986 10933902 10934013 10933882 48387611    -         4.3   13.1   2.6  -
SUPER_1              -          TR                   -              141     194 21891511 21891440 21891531 21891434 48387611    -         4.4   13.1   2.3  -
SUPER_1              -          TR                   -               22     130  4280758  4280659  4280771  4280639 48387611    -         4.7   13.0   5.3  -
SUPER_10             -          TR                   -               90     137  6036134  6036089  6036155  6036071 23222813    -         4.8   13.0   0.4  -
SUPER_8              -          TR                   -                1      80 11414157 11414243 11414157 11414263 23850529    +         4.9   12.9   2.9  -
SUPER_1              -          TR                   -                2      82 12675380 12675291 12675381 12675273 48387611    -         4.9   12.9   2.0  -
SUPER_9              -          TR                   -                1      92  1314319  1314403  1314319  1314424 23480793    +         5.4   12.8   4.9  -
SUPER_7              -          TR                   -               72     138 28466144 28466210 28466125 28466232 28714157    +         5.4   12.8   0.1  -
SUPER_4              -          TR                   -                2      81   763989   764074   763988   764086 36517634    +         5.5   12.7   1.6  -
SUPER_8_unloc_1      -          TR                   -               67     165    10988    10880    11010    10878    83507    -         5.6   12.7  10.0  -
SUPER_8_unloc_1      -          TR                   -               67     165    78922    78814    78944    78812    83507    -         5.6   12.7  10.0  -
SUPER_3              -          TR                   -                1      66  5095228  5095163  5095228  5095142 36967377    -         5.8   12.7   3.5  -
SUPER_3              -          TR                   -                1      79 15851688 15851772 15851688 15851794 36967377    +         5.8   12.7   0.9  -
