# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     312  81241618  81241955  81241618  81241960 103416663    +     1.5e-34  127.4   1.3  -
SUPER_1              -          TR                   -               68     165  29199547  29199647  29199527  29199655 123191830    +       0.012   22.7   0.6  -
SUPER_7              -          TR                   -               24     152  70725286  70725116  70725306  70725101  80988955    -       0.078   20.0   4.4  -
SUPER_2              -          TR                   -               23     155   7941173   7941354   7941154   7941368 112338950    +        0.15   19.1   2.5  -
SUPER_5              -          TR                   -                2     113  98224123  98224013  98224124  98223997 102213791    -        0.16   19.0   4.4  -
SUPER_1              -          TR                   -               46     141   6821839   6821929   6821817   6821949 123191830    +        0.43   17.6   4.8  -
SUPER_4              -          TR                   -                2     122   6470296   6470179   6470297   6470155 102863307    -        0.44   17.5   4.5  -
SUPER_3              -          TR                   -               25     144  79716477  79716584  79716456  79716605 103416663    +        0.69   16.9   3.7  -
SUPER_3              -          TR                   -                1     129  41056537  41056385  41056537  41056372 103416663    -         0.7   16.9   2.0  -
SUPER_6              -          TR                   -               40     141  98813301  98813191  98813329  98813171 100061189    -        0.72   16.8   6.0  -
SUPER_8              -          TR                   -                2     146   4988698   4988851   4988697   4988867  75464887    +        0.83   16.6   1.4  -
SUPER_5              -          TR                   -                2     122  33181077  33180960  33181078  33180940 102213791    -        0.93   16.5   3.0  -
SUPER_3              -          TR                   -               68     130  13779777  13779717  13779809  13779697 103416663    -        0.94   16.4   3.3  -
SUPER_5              -          TR                   -               12     141  94670993  94671111  94670986  94671131 102213791    +        0.96   16.4   7.8  -
SUPER_8              -          TR                   -               20     154  34153820  34153646  34153838  34153632  75464887    -         1.1   16.3   2.7  -
SUPER_6              -          TR                   -                2     122   9730788   9730905   9730787   9730925 100061189    +         1.2   16.1   1.7  -
SUPER_1              -          TR                   -               35     131  26872172  26872088  26872186  26872068 123191830    -         1.2   16.1   4.8  -
SUPER_1              -          TR                   -               24     122  85702117  85702215  85702098  85702236 123191830    +         1.2   16.1   7.3  -
SUPER_1              -          TR                   -                5     151  45223567  45223728  45223564  45223740 123191830    +         1.3   16.0   4.3  -
SUPER_7              -          TR                   -               21     128   9041965   9042068   9041945   9042089  80988955    +         1.3   16.0   0.0  -
SUPER_4              -          TR                   -               19     141  96067185  96067352  96067169  96067372 102863307    +         1.4   15.9   3.4  -
SUPER_4              -          TR                   -                2     124  16201966  16202084  16201965  16202104 102863307    +         1.4   15.9   5.3  -
