# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          TR                   -                1     317 19411059 19410743 19411059 19410743 41998817    -     8.3e-39  142.2   1.4  -
SUPER_12             -          TR                   -                1     316 18271242 18270927 18271242 18270926 38675526    -     1.2e-37  138.4   2.0  -
SUPER_11             -          TR                   -                1     316 18786455 18786141 18786455 18786140 39359655    -     9.4e-37  135.5   2.2  -
SUPER_10             -          TR                   -                1     316 22306763 22307079 22306763 22307080 41914362    +     2.3e-36  134.2   1.2  -
SUPER_30             -          TR                   -                2     316    29351    29668    29350    29674 33017454    +     1.2e-31  118.7   4.9  -
SUPER_35             -          TR                   -                2     316 29900110 29900427 29900109 29900433 29981652    +     2.2e-30  114.6   4.6  -
SUPER_37             -          TR                   -                2     316 29697785 29697457 29697786 29697451 29729403    -     1.4e-28  108.7   5.3  -
SUPER_8              -          TR                   -                1     287 19584884 19584599 19584884 19584593 42670798    -     1.9e-28  108.2   1.2  -
SUPER_31             -          TR                   -                2     316 32543051 32542734 32543052 32542730 32552661    -     1.2e-27  105.5   7.5  -
SUPER_19             -          TR                   -               68     314 11264948 11264695 11264968 11264692 35573808    -       1e-23   92.7   4.2  -
SUPER_31             -          TR                   -               51     310  8293880  8294149  8293860  8294157 32552661    +     1.5e-23   92.1   2.4  -
SUPER_3              -          TR                   -               74     315 20501859 20502106 20501839 20502108 47242996    +     5.8e-23   90.2   3.3  -
SUPER_16             -          TR                   -              110     310 24919557 24919352 24919577 24919346 36878152    -     3.2e-21   84.5   3.2  -
SUPER_22             -          TR                   -              136     280 20488908 20488761 20488925 20488756 35290342    -     1.9e-11   52.4   5.3  -
SUPER_5              -          TR                   -              117     227 33344513 33344628 33344458 33344641 44725570    +     5.6e-11   50.9   0.7  -
SUPER_14             -          TR                   -               28     130 29758812 29758710 29758832 29758690 37298162    -       0.014   23.3   3.7  -
SUPER_2              -          TR                   -               61     128 31153848 31153766 31153889 31153745 47522041    -        0.15   19.9   2.6  -
SUPER_22             -          TR                   -               68     179 20489032 20488926 20489057 20488922 35290342    -        0.37   18.6   1.3  -
SUPER_9              -          TR                   -               69     181 41336121 41335998 41336142 41335977 41998817    -        0.41   18.5   6.6  -
SUPER_8              -          TR                   -               67     133 20294165 20294094 20294192 20294073 42670798    -        0.59   18.0   3.1  -
SUPER_8              -          TR                   -               31     130 33041395 33041498 33041375 33041517 42670798    +         0.7   17.7   3.9  -
HAP1_SCAFFOLD_137    -          TR                   -                2     141    14755    14893    14754    14910    95881    +         2.4   16.0   1.8  -
SUPER_8              -          TR                   -               67     132 20305132 20305065 20305157 20305044 42670798    -         2.5   15.9   2.8  -
SUPER_17             -          TR                   -               67     126 20685967 20685885 20685992 20685864 36372288    -         2.8   15.7   0.3  -
SUPER_22             -          TR                   -               31     141 28322639 28322482 28322659 28322462 35290342    -         2.9   15.7   5.0  -
SUPER_1              -          TR                   -               25     130 10057007 10057114 10056996 10057143 51231252    +         2.9   15.7   0.0  -
SUPER_42             -          TR                   -               63     130  6387711  6387774  6387678  6387794 26445589    +           3   15.7   3.1  -
SUPER_36             -          TR                   -              175     313 20095795 20095659 20095797 20095656 29885019    -         3.6   15.4   9.9  -
SUPER_41             -          TR                   -              103     162 13562683 13562740 13562658 13562742 27486533    +         3.7   15.4   0.1  -
SUPER_10             -          TR                   -               67     139 13848250 13848149 13848286 13848131 41914362    -         3.8   15.3   1.4  -
SUPER_13             -          TR                   -                2     140 30383940 30383798 30383941 30383778 37676153    -         4.2   15.2   2.8  -
SUPER_10             -          TR                   -               67     125 36334819 36334750 36334857 36334729 41914362    -         4.4   15.1   1.3  -
SUPER_10             -          TR                   -               24     121 29140330 29140242 29140343 29140218 41914362    -         4.4   15.1   2.3  -
SUPER_41             -          TR                   -               23     141 14006295 14006437 14006283 14006457 27486533    +         4.6   15.1   2.6  -
SUPER_12             -          TR                   -               67     125  5278089  5278162  5278043  5278182 38675526    +         4.6   15.0   2.2  -
SUPER_4              -          TR                   -               24     137  4668558  4668420  4668573  4668400 45479209    -         4.8   15.0   3.8  -
SUPER_11             -          TR                   -              176     237 33201916 33201979 33201906 33201999 39359655    +         5.5   14.8   4.1  -
SUPER_3              -          TR                   -              106     193  6752760  6752658  6752793  6752648 47242996    -         5.7   14.7   9.4  -
SUPER_25             -          TR                   -               27     130 21385297 21385188 21385311 21385168 34916539    -         6.2   14.6   3.4  -
