# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -               97     213 107097064 107096953 107097084 107096867 114479975    -      0.0049   24.3   0.7  -
SUPER_2              -          TR                   -                2     122  26882792  26882644  26882793  26882624 145557645    -        0.26   18.7   0.0  -
SUPER_5              -          TR                   -               26     161  69557919  69557794  69557931  69557783 114479975    -        0.47   17.8   2.9  -
SUPER_2              -          TR                   -               37     130  96814056  96813966  96814075  96813947 145557645    -        0.51   17.7   0.0  -
SUPER_7              -          TR                   -              103     166  36898078  36897995  36898105  36897991 104830573    -        0.87   16.9   3.4  -
SUPER_8              -          TR                   -               75     129  80029360  80029404  80029339  80029415  98704021    +         1.1   16.6   1.3  -
SUPER_2              -          TR                   -               36     130  28674962  28675053  28674945  28675072 145557645    +         1.3   16.4   0.0  -
SUPER_4              -          TR                   -               33     129 110711259 110711170 110711280 110711150 118538448    -         1.6   16.1   0.0  -
SUPER_7              -          TR                   -               68     131  57003860  57003914  57003840  57003932 104830573    +         1.9   15.8   0.6  -
SUPER_6              -          TR                   -                7     128  84302901  84302773  84302901  84302749 113875678    -         2.1   15.7   0.2  -
SUPER_2              -          TR                   -              108     165 125538809 125538874 125538789 125538876 145557645    +         2.8   15.3   3.0  -
SUPER_7              -          TR                   -               67     131 101373734 101373672 101373755 101373659 104830573    -         3.3   15.0   1.6  -
SUPER_5              -          TR                   -               35     141  42704924  42704820  42704944  42704800 114479975    -         3.5   15.0   2.0  -
SUPER_3              -          TR                   -               37     130 133213853 133213763 133213869 133213751 143076303    -         3.5   15.0   0.1  -
SUPER_3              -          TR                   -               37     130 133215397 133215307 133215413 133215295 143076303    -         3.5   15.0   0.1  -
SUPER_7              -          TR                   -               37     130  92488808  92488718  92488824  92488706 104830573    -         3.5   15.0   0.1  -
SUPER_7              -          TR                   -               74     122  80376796  80376852  80376794  80376869 104830573    +         4.5   14.6   0.8  -
SUPER_3              -          TR                   -              103     141  89625862  89625901  89625842  89625921 143076303    +         4.8   14.5   0.0  -
SUPER_6              -          TR                   -              106     166  90034104  90034175  90034084  90034178 113875678    +         5.7   14.3   1.4  -
SUPER_7              -          TR                   -               68     136  65199595  65199649  65199555  65199669 104830573    +         6.7   14.0   1.0  -
SUPER_2              -          TR                   -              105     165  99513424  99513478  99513402  99513502 145557645    +         7.5   13.9   1.0  -
SUPER_1              -          TR                   -               91     168 165508600 165508526 165508609 165508525 192926253    -         8.3   13.7   0.1  -
SUPER_2              -          TR                   -               98     133   7891186   7891219   7891170   7891243 145557645    +         8.3   13.7   0.0  -
SUPER_4              -          TR                   -               68     142 106933401 106933499 106933372 106933517 118538448    +         8.9   13.6   1.4  -
SUPER_1              -          TR                   -               68     128 187670854 187670779 187670893 187670759 192926253    -         9.1   13.6   2.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Herbertus_hutchinsiae/assembly/curated/cjHerHutc3.1/cjHerHutc3.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Herbertus_hutchinsiae.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Herbertus_hutchinsiae/assembly/curated/cjHerHutc3.1/cjHerHutc3.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:19:16 2025
# [ok]
