# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SCAFFOLD_5           -          TR                   -                2     312 25466231 25466564 25466230 25466566 35310072    +     2.2e-31  115.7   0.5  -
SCAFFOLD_4           -          TR                   -                2     316  1591915  1591578  1591916  1591577 37595545    -     3.7e-28  105.1   1.0  -
SCAFFOLD_1           -          TR                   -                4      90  4930650  4930565  4930652  4930543 73508085    -       0.058   19.1   1.0  -
SCAFFOLD_3           -          TR                   -                4     117 31017053 31017160 31017050 31017180 68035595    +       0.078   18.7   0.9  -
SCAFFOLD_3           -          TR                   -                4     120 31014673 31014840 31014670 31014840 68035595    +        0.14   17.9   2.5  -
SCAFFOLD_5           -          TR                   -                1     122 24827534 24827409 24827534 24827384 35310072    -        0.28   16.9   1.3  -
SCAFFOLD_1           -          TR                   -                1     120 27525334 27525469 27525334 27525469 73508085    +        0.46   16.2   4.2  -
SCAFFOLD_4           -          TR                   -               29     129 37190938 37191037 37190932 37191058 37595545    +        0.63   15.8   0.0  -
SCAFFOLD_1           -          TR                   -                1     121 40709407 40709288 40709407 40709265 73508085    -        0.67   15.7   0.2  -
SCAFFOLD_4           -          TR                   -                2      86 22729868 22729954 22729867 22729975 37595545    +         0.7   15.6   1.8  -
SCAFFOLD_1           -          TR                   -               68     130 34153555 34153620 34153527 34153640 73508085    +        0.78   15.4   2.2  -
SCAFFOLD_1           -          TR                   -                1      97 73060473 73060569 73060473 73060589 73508085    +        0.95   15.2   2.6  -
SCAFFOLD_3           -          TR                   -                1      92 47649046 47649136 47649046 47649172 68035595    +         1.5   14.5   1.6  -
SCAFFOLD_2           -          TR                   -                1      93 23094592 23094683 23094592 23094703 68316915    +         1.7   14.3   2.6  -
SCAFFOLD_2           -          TR                   -               73     135 37694612 37694687 37694593 37694745 68316915    +         1.7   14.3   3.3  -
SCAFFOLD_1           -          TR                   -                1      99 55226620 55226523 55226620 55226503 73508085    -         1.8   14.3   2.6  -
H_23                 -          TR                   -                1      94    28966    29057    28966    29069    85987    +         1.9   14.2   2.2  -
SCAFFOLD_4           -          TR                   -                2      85 22747189 22747275 22747188 22747296 37595545    +           2   14.1   2.7  -
SCAFFOLD_1           -          TR                   -                4      90  4934153  4934068  4934155  4934057 73508085    -         2.1   14.0   1.3  -
SCAFFOLD_2           -          TR                   -                1      92 36115401 36115311 36115401 36115295 68316915    -         2.4   13.9   1.9  -
SCAFFOLD_5           -          TR                   -                2      95 30540398 30540490 30540397 30540516 35310072    +         2.4   13.8   5.0  -
SCAFFOLD_5           -          TR                   -                1     102 31408738 31408838 31408738 31408858 35310072    +         2.5   13.8   3.7  -
SCAFFOLD_2           -          TR                   -                1      92 21332420 21332510 21332420 21332515 68316915    +         2.5   13.8   2.0  -
SCAFFOLD_2           -          TR                   -                1      93 32169721 32169812 32169721 32169832 68316915    +         2.5   13.8   1.9  -
SCAFFOLD_3           -          TR                   -                1      91 22044290 22044379 22044290 22044393 68035595    +         2.6   13.7   1.9  -
SCAFFOLD_2           -          TR                   -                1      92 38920298 38920208 38920298 38920189 68316915    -         2.9   13.6   1.9  -
SCAFFOLD_2           -          TR                   -                1      92 21332188 21332278 21332188 21332292 68316915    +         2.9   13.6   2.0  -
SCAFFOLD_1           -          TR                   -                1     114 42028069 42027951 42028069 42027950 73508085    -           3   13.5   2.5  -
SCAFFOLD_1           -          TR                   -                1     114 42067717 42067599 42067717 42067598 73508085    -           3   13.5   2.5  -
SCAFFOLD_5           -          TR                   -                1      96  4023448  4023542  4023448  4023559 35310072    +           3   13.5   1.4  -
SCAFFOLD_6           -          TR                   -                1      99 31007412 31007321 31007412 31007301 34227391    -           3   13.5   1.8  -
SCAFFOLD_1           -          TR                   -                1     102  5014614  5014514  5014614  5014495 73508085    -         3.1   13.5   1.3  -
SCAFFOLD_1           -          TR                   -                1      96 70626190 70626284 70626190 70626301 73508085    +         3.3   13.4   1.9  -
SCAFFOLD_3           -          TR                   -                1      93 40028190 40028281 40028190 40028302 68035595    +         3.3   13.4   1.3  -
SCAFFOLD_5           -          TR                   -                1      92 28670622 28670712 28670622 28670732 35310072    +         3.4   13.3   2.0  -
SCAFFOLD_1           -          TR                   -                1     101 44610378 44610280 44610378 44610265 73508085    -         3.4   13.3   1.7  -
SCAFFOLD_2           -          TR                   -                1      97  7121453  7121358  7121453  7121338 68316915    -         3.5   13.3   2.3  -
