# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_12             -          TR                   -               94     141 16091359 16091412 16091339 16091437 22250497    +        0.13   18.3   0.0  -
SUPER_11             -          TR                   -               96     141 23237965 23238016 23237954 23238042 23535130    +        0.14   18.2   0.2  -
SUPER_2              -          TR                   -               96     141 21527107 21527056 21527117 21527033 40345755    -        0.15   18.1   0.2  -
SUPER_10             -          TR                   -               96     142 15456499 15456553 15456488 15456579 25226092    +        0.19   17.8   0.9  -
SUPER_8              -          TR                   -               97     141  5001348  5001298  5001361  5001272 26970338    -         0.2   17.7   0.0  -
SUPER_9              -          TR                   -              103     142 20972853 20972813 20972873 20972790 26465899    -        0.32   17.0   1.6  -
SUPER_1              -          TR                   -              104     141  7208231  7208268  7208211  7208294 65181171    +        0.35   16.9   0.4  -
SUPER_1              -          TR                   -               93     141  7370138  7370192  7370130  7370221 65181171    +        0.47   16.5   0.8  -
SUPER_6              -          TR                   -              102     141  3904717  3904762  3904693  3904787 31736312    +        0.49   16.5   0.7  -
SUPER_3              -          TR                   -              104     142 37569435 37569395 37569454 37569369 38440945    -        0.61   16.1   1.5  -
SUPER_2              -          TR                   -               57     166 37288292 37288388 37288269 37288394 40345755    +        0.84   15.7   1.4  -
SUPER_7              -          TR                   -               96     141 20035938 20035887 20035948 20035858 29108360    -        0.86   15.6   1.2  -
SUPER_7              -          TR                   -               96     141 23235792 23235741 23235802 23235712 29108360    -        0.86   15.6   1.2  -
SUPER_6              -          TR                   -               24     141 17626379 17626237 17626394 17626212 31736312    -        0.91   15.6   6.6  -
SUPER_6              -          TR                   -               95     142 28366682 28366632 28366696 28366606 31736312    -        0.97   15.5   1.9  -
SUPER_9              -          TR                   -               74     157  2888072  2888146  2888050  2888166 26465899    +         1.2   15.2   0.0  -
SUPER_13             -          TR                   -              103     141 11225741 11225779 11225721 11225799 20083110    +         1.2   15.2   0.3  -
SUPER_4              -          TR                   -              104     141 19544553 19544516 19544574 19544490 32354469    -         1.5   14.8   0.1  -
SUPER_9              -          TR                   -               24     141 21807113 21807205 21807093 21807225 26465899    +         1.6   14.8   4.5  -
SUPER_10             -          TR                   -               68     140 17981125 17981048 17981145 17981028 25226092    -         1.6   14.8   2.5  -
SUPER_1              -          TR                   -               92     141 10047846 10047901 10047826 10047921 65181171    +         1.6   14.7   0.2  -
SUPER_12             -          TR                   -              133     180 14549369 14549319 14549389 14549310 22250497    -         1.7   14.7   1.7  -
SUPER_10             -          TR                   -               71     130  2700933  2700983  2700910  2701002 25226092    +         1.7   14.7   0.0  -
SUPER_7              -          TR                   -               73     130  8061919  8061982  8061897  8062002 29108360    +         1.7   14.7   2.1  -
SUPER_11             -          TR                   -               37     134 12881889 12881767 12881909 12881747 23535130    -         1.8   14.6   2.8  -
SUPER_12             -          TR                   -              102     141 10410585 10410540 10410607 10410517 22250497    -         2.2   14.3   0.4  -
SUPER_11             -          TR                   -              101     141 20175724 20175770 20175706 20175799 23535130    +         2.3   14.2   0.3  -
SUPER_5              -          TR                   -              103     142  2690673  2690632  2690693  2690606 32267280    -         2.6   14.1   0.4  -
SUPER_12             -          TR                   -              102     141 18183708 18183663 18183726 18183634 22250497    -         2.6   14.1   0.5  -
SUPER_7              -          TR                   -               71     130  7501094  7501159  7501074  7501179 29108360    +         2.7   14.0   0.9  -
SUPER_8              -          TR                   -               97     141  2517535  2517485  2517546  2517465 26970338    -         3.1   13.8   0.7  -
SUPER_7              -          TR                   -               98     141 26685697 26685654 26685714 26685634 29108360    -         3.3   13.7   0.3  -
SUPER_5              -          TR                   -              103     141 24221556 24221518 24221576 24221498 32267280    -         3.5   13.6   0.6  -
SUPER_8              -          TR                   -               68     141  9642890  9642823  9642915  9642793 26970338    -           4   13.5   1.2  -
SUPER_8              -          TR                   -               71     130  5612785  5612835  5612762  5612854 26970338    +           4   13.5   0.0  -
SUPER_9              -          TR                   -               75     160 25197504 25197593 25197488 25197597 26465899    +         4.1   13.4   2.7  -
SUPER_10             -          TR                   -               68     139 15612918 15612995 15612898 15613009 25226092    +         4.2   13.4   1.2  -
SUPER_5              -          TR                   -               69     165 21798701 21798881 21798680 21798883 32267280    +         4.4   13.3   1.3  -
SUPER_9              -          TR                   -               71     130 17529633 17529583 17529656 17529564 26465899    -         4.4   13.3   0.0  -
SUPER_5              -          TR                   -               71     141  1148133  1148202  1148110  1148222 32267280    +         4.9   13.2   2.0  -
SUPER_10             -          TR                   -               58     124 15169194 15169133 15169210 15169113 25226092    -           5   13.1   1.5  -
SUPER_2              -          TR                   -               72     130 23630294 23630343 23630270 23630363 40345755    +         5.1   13.1   0.0  -
SUPER_12             -          TR                   -               75     153  7830108  7830026  7830128  7830016 22250497    -         5.2   13.1   2.1  -
SUPER_12             -          TR                   -               71     130  9223943  9223893  9223966  9223873 22250497    -         5.2   13.1   0.0  -
SUPER_12             -          TR                   -               71     130 18439535 18439485 18439558 18439465 22250497    -         5.2   13.1   0.0  -
SUPER_7              -          TR                   -               71     130 24714885 24714935 24714862 24714955 29108360    +         5.2   13.1   0.0  -
SUPER_6              -          TR                   -               79     130  8790091  8790034  8790116  8790014 31736312    -         5.2   13.1   1.6  -
SUPER_5              -          TR                   -               71     130  1830651  1830701  1830628  1830720 32267280    +         5.2   13.1   0.0  -
SUPER_10             -          TR                   -               71     130  6605051  6605001  6605074  6604982 25226092    -         5.3   13.1   0.0  -
SUPER_12             -          TR                   -               71     130  9224508  9224558  9224485  9224577 22250497    +         5.3   13.1   0.0  -
SUPER_3              -          TR                   -              110     157 18186973 18187020 18186949 18187022 38440945    +         5.4   13.0   1.0  -
SUPER_4              -          TR                   -               95     141  6578899  6578951  6578890  6578980 32354469    +         5.5   13.0   2.3  -
SUPER_1              -          TR                   -                3     162 43437918 43437700 43437920 43437699 65181171    -         5.5   13.0   2.6  -
SUPER_9              -          TR                   -               94     141   509180   509127   509188   509107 26465899    -         5.5   13.0   0.2  -
SUPER_5              -          TR                   -               83     130  3167305  3167352  3167283  3167372 32267280    +         5.7   13.0   0.8  -
SUPER_12             -          TR                   -               74     132 10540526 10540477 10540551 10540459 22250497    -         5.9   12.9   0.0  -
SUPER_12             -          TR                   -              106     141   638866   638831   638886   638802 22250497    -         6.3   12.8   0.8  -
SUPER_11             -          TR                   -               68     141 21282252 21282318 21282232 21282338 23535130    +         6.5   12.8   1.7  -
SUPER_13             -          TR                   -               81     131  4357191  4357141  4357211  4357121 20083110    -         6.6   12.8   0.2  -
SUPER_11             -          TR                   -              103     142  1922939  1922979  1922912  1923002 23535130    +         6.8   12.7   0.6  -
SUPER_10             -          TR                   -              102     142 23934120 23934072 23934139 23934046 25226092    -           7   12.7   0.6  -
SUPER_2              -          TR                   -               41     124 37295842 37295751 37295871 37295737 40345755    -           7   12.7   2.3  -
SUPER_2              -          TR                   -               68     124 37288364 37288308 37288384 37288288 40345755    -         7.1   12.7   0.6  -
SUPER_8              -          TR                   -               89     164 14613998 14613883 14614023 14613878 26970338    -         7.4   12.6   2.6  -
H_17                 -          TR                   -              103     142    79093    79052    79113    79023    95028    -         7.6   12.5   0.2  -
SUPER_2              -          TR                   -              103     142  9282803  9282844  9282783  9282873 40345755    +         7.6   12.5   0.2  -
SUPER_1              -          TR                   -                9     130 36165512 36165393 36165515 36165372 65181171    -         7.9   12.5   5.2  -
SUPER_5              -          TR                   -               72     130 12776537 12776586 12776513 12776606 32267280    +         8.3   12.4   0.0  -
