# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                2     312 23837817 23838134 23837816 23838148 34442036    +     3.3e-40  145.8  10.2  -
SUPER_8              -          TR                   -                2     314  9353977  9353651  9353978  9353647 34049272    -     5.5e-39  141.8   6.0  -
SUPER_7              -          TR                   -               80     234 15455412 15455233 15455432 15455220 34119378    -     4.1e-05   30.6   5.8  -
SUPER_17             -          TR                   -                1     118 25001755 25001613 25001755 25001593 28087883    -        0.13   19.1   0.3  -
SUPER_18             -          TR                   -                1     128  3679470  3679299  3679470  3679278 26628866    -         0.2   18.5   0.0  -
SUPER_4              -          TR                   -                1     107 34682143 34682275 34682143 34682298 39520207    +        0.23   18.3   0.0  -
SUPER_1              -          TR                   -                2     131 29381587 29381420 29381588 29381398 53616692    -        0.23   18.3   4.1  -
SUPER_13             -          TR                   -                1      90 21294880 21294975 21294880 21294994 30258494    +        0.27   18.1   0.6  -
SUPER_21             -          TR                   -                1     111   318921   319058   318921   319069 25250400    +         0.3   18.0   0.0  -
SUPER_3              -          TR                   -                1     103 30191979 30192108 30191979 30192125 40181430    +         0.3   17.9   0.0  -
SUPER_8              -          TR                   -                1     103 27346119 27345990 27346119 27345973 34049272    -        0.34   17.8   0.0  -
SUPER_5              -          TR                   -                1     102  5536105  5536231  5536105  5536250 35546826    +        0.38   17.6   0.0  -
SUPER_6              -          TR                   -                1     103  7149252  7149381  7149252  7149397 34442036    +        0.38   17.6   0.0  -
SUPER_9              -          TR                   -                1     100  7450794  7450918  7450794  7450938 33708747    +        0.45   17.4   0.0  -
SUPER_15             -          TR                   -                1     114  3990829  3990969  3990829  3990995 29633608    +        0.45   17.4   0.0  -
SUPER_13             -          TR                   -                1     102 21293683 21293557 21293683 21293537 30258494    -        0.49   17.2   0.0  -
SUPER_17             -          TR                   -                1      98 19074741 19074619 19074741 19074605 28087883    -        0.52   17.2   0.2  -
SUPER_8              -          TR                   -                1     108 29189160 29189026 29189160 29189014 34049272    -        0.53   17.1   0.0  -
SUPER_17             -          TR                   -                1     102 19075112 19074986 19075112 19074967 28087883    -        0.56   17.1   0.0  -
SUPER_6              -          TR                   -                1     103 17985264 17985393 17985264 17985414 34442036    +        0.59   17.0   0.0  -
SUPER_17             -          TR                   -                1     103 17289278 17289149 17289278 17289128 28087883    -        0.69   16.8   0.0  -
SUPER_7              -          TR                   -                1     102 32255720 32255846 32255720 32255865 34119378    +         0.7   16.7   0.0  -
SUPER_5              -          TR                   -                1     103 10562589 10562460 10562589 10562439 35546826    -        0.74   16.7   0.0  -
SUPER_5              -          TR                   -                1     103 10562993 10562864 10562993 10562847 35546826    -        0.75   16.6   0.0  -
SUPER_15             -          TR                   -                2     103  2918616  2918488  2918617  2918471 29633608    -        0.78   16.6   0.0  -
SUPER_17             -          TR                   -                1     116  7863283  7863120  7863283  7863118 28087883    -        0.79   16.6   0.0  -
SUPER_15             -          TR                   -                1     102 26552312 26552186 26552312 26552166 29633608    -        0.79   16.6   0.0  -
SUPER_6              -          TR                   -                1     102 23277716 23277842 23277716 23277862 34442036    +         0.8   16.5   0.0  -
SUPER_3              -          TR                   -                1     102  1528333  1528207  1528333  1528187 40181430    -        0.82   16.5   0.0  -
SUPER_4              -          TR                   -                2     103  4419809  4419681  4419810  4419664 39520207    -        0.83   16.5   0.0  -
SUPER_14             -          TR                   -                1     103 29233461 29233590 29233461 29233610 30174846    +        0.83   16.5   0.0  -
SUPER_3              -          TR                   -                1     107  2567596  2567729  2567596  2567742 40181430    +        0.83   16.5   0.0  -
SUPER_14             -          TR                   -                1     103  7808296  7808425  7808296  7808443 30174846    +        0.84   16.5   0.0  -
SUPER_6              -          TR                   -                1     103 23273912 23274041 23273912 23274070 34442036    +        0.86   16.5   0.0  -
SUPER_3              -          TR                   -                1     102  1528737  1528611  1528737  1528591 40181430    -        0.87   16.4   0.0  -
SUPER_17             -          TR                   -                1     103  9803080  9803209  9803080  9803229 28087883    +        0.87   16.4   0.0  -
SUPER_14             -          TR                   -                1     102  8837722  8837848  8837722  8837871 30174846    +        0.87   16.4   0.0  -
SUPER_14             -          TR                   -                1     102  8877865  8877991  8877865  8878014 30174846    +        0.87   16.4   0.0  -
SUPER_15             -          TR                   -                1     113  3990425  3990564  3990425  3990584 29633608    +         0.9   16.4   0.1  -
SUPER_2              -          TR                   -                1     106 38790033 38790173 38790033 38790193 42956803    +        0.95   16.3   0.0  -
SUPER_1              -          TR                   -               23     131 19372911 19373019 19372894 19373049 53616692    +        0.97   16.3   2.0  -
SUPER_4              -          TR                   -                1     107 18892209 18892076 18892209 18892063 39520207    -        0.97   16.3   0.0  -
SUPER_13             -          TR                   -                1     103 20738999 20739128 20738999 20739145 30258494    +        0.99   16.2   0.0  -
SUPER_13             -          TR                   -                1     102 18044433 18044559 18044433 18044579 30258494    +        0.99   16.2   0.0  -
