# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                2     316  78853230  78852889  78853231  78852888 196641780    -     7.7e-28  106.6   7.1  -
SUPER_7              -          TR                   -                2     170  34371941  34371767  34371942  34371766 176134706    -         0.1   20.9   4.9  -
SUPER_7              -          TR                   -                2     170  34499840  34500011  34499839  34500012 176134706    +        0.11   20.8   5.4  -
SUPER_7              -          TR                   -                2     170  34515094  34515265  34515093  34515266 176134706    +        0.11   20.8   5.4  -
SUPER_7              -          TR                   -                2     170  34471247  34471421  34471246  34471422 176134706    +        0.18   20.1   5.5  -
SUPER_5              -          TR                   -                2      87  20385015  20384902  20385016  20384881 181593437    -        0.63   18.3   3.2  -
SUPER_4              -          TR                   -               59     141 146438028 146437943 146438054 146437915 186260408    -        0.91   17.8   0.4  -
SUPER_8              -          TR                   -                2     102   2028929   2029057   2028928   2029074 171581147    +         1.1   17.6   2.6  -
SUPER_7              -          TR                   -               26     139 155628087 155628211 155628070 155628227 176134706    +         1.9   16.7   7.5  -
SUPER_4              -          TR                   -               68     142 164574150 164574220 164574130 164574240 186260408    +         2.2   16.5   3.5  -
SUPER_1              -          TR                   -                1      87   2370565   2370473   2370565   2370453 232197570    -         2.2   16.5   6.9  -
SUPER_9              -          TR                   -                2      92  19531891  19531785  19531892  19531773 168006354    -         2.5   16.3   1.1  -
SUPER_2              -          TR                   -               53     129 126277252 126277320 126277232 126277338 196641780    +         2.6   16.3   0.0  -
SUPER_6              -          TR                   -               30     140  71923905  71924034  71923892  71924055 179908808    +         2.7   16.2   5.7  -
SUPER_4              -          TR                   -                1      93  44884558  44884667  44884558  44884687 186260408    +         2.8   16.2   3.2  -
SUPER_8              -          TR                   -                2      84 110072928 110072819 110072929 110072799 171581147    -         2.8   16.1   2.1  -
SUPER_11             -          TR                   -               23     159 105866420 105866537 105866406 105866558 108827159    +         3.8   15.7   6.8  -
SUPER_11             -          TR                   -               50     142  75652772  75652865  75652759  75652893 108827159    +         3.8   15.7   1.0  -
SUPER_3              -          TR                   -                1      95  87355855  87355950  87355855  87355970 193613460    +           4   15.7   3.8  -
SUPER_10             -          TR                   -               49     141  19316330  19316420  19316315  19316449 163027031    +         4.3   15.6   1.0  -
SUPER_7              -          TR                   -               28     158  52562272  52562395  52562253  52562413 176134706    +         4.5   15.5   4.6  -
SUPER_5              -          TR                   -               49     141  68426840  68426750  68426853  68426721 181593437    -         4.6   15.5   1.0  -
SUPER_4              -          TR                   -                1      90 112925857 112925753 112925857 112925740 186260408    -         4.8   15.4   2.4  -
SUPER_3              -          TR                   -               32     130  22155853  22155989  22155834  22156020 193613460    +         5.1   15.3   3.4  -
SUPER_9              -          TR                   -               51     141   3215703   3215615   3215718   3215588 168006354    -         5.1   15.3   1.3  -
