# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                2     317 36553396 36553746 36553395 36553746 37972652    +     5.7e-25   94.8   0.5  -
SUPER_8              -          TR                   -                2     166 11111221 11111045 11111222 11111043 36712334    -     5.1e-09   42.4   1.3  -
SUPER_9              -          TR                   -                2      95 12813030 12813122 12813029 12813142 35197403    +        0.18   17.7   2.5  -
SUPER_6              -          TR                   -                2      96 15329447 15329351 15329448 15329330 37972652    -        0.24   17.2   1.5  -
SUPER_3              -          TR                   -               38     122 36840502 36840588 36840482 36840615 40682366    +        0.24   17.2   0.3  -
SUPER_8              -          TR                   -               38     122 10176907 10176821 10176927 10176794 36712334    -        0.24   17.2   0.3  -
SUPER_1              -          TR                   -                1     102 23167957 23168057 23167957 23168077 42379688    +        0.54   16.1   4.1  -
SUPER_6              -          TR                   -                2      93 15306875 15306783 15306876 15306762 37972652    -        0.58   16.0   1.3  -
SUPER_6              -          TR                   -                2      86 15317242 15317156 15317243 15317136 37972652    -        0.61   15.9   2.0  -
SUPER_4              -          TR                   -               38     122 36661341 36661427 36661321 36661449 39957061    +        0.79   15.5   0.6  -
SUPER_3              -          TR                   -                1     102 12382776 12382876 12382776 12382896 40682366    +        0.88   15.4   2.8  -
SUPER_6              -          TR                   -                1      95  5966564  5966457  5966564  5966421 37972652    -        0.89   15.4   1.5  -
SUPER_8              -          TR                   -                1     116 35699406 35699295 35699406 35699275 36712334    -         1.1   15.1   0.5  -
SUPER_4              -          TR                   -                4      90  5696659  5696574  5696661  5696553 39957061    -         1.1   15.1   2.3  -
SUPER_4              -          TR                   -                1     119  6752551  6752665  6752551  6752685 39957061    +         1.1   15.0   2.6  -
SUPER_9              -          TR                   -                1      95  8589339  8589432  8589339  8589452 35197403    +         1.2   15.0   2.0  -
SUPER_2              -          TR                   -                1      97 34788579 34788674 34788579 34788695 41869333    +         1.2   14.9   1.4  -
SUPER_6              -          TR                   -                1     102 36683424 36683524 36683424 36683542 37972652    +         1.7   14.4   1.9  -
SUPER_3              -          TR                   -                1      97 33869425 33869330 33869425 33869311 40682366    -           2   14.2   2.4  -
SUPER_9              -          TR                   -                1      93 12136372 12136281 12136372 12136261 35197403    -         2.1   14.1   2.2  -
SUPER_1              -          TR                   -                1      92   807327   807417   807327   807437 42379688    +         2.2   14.0   3.4  -
SUPER_9              -          TR                   -               90     142      711      765      686      783 35197403    +         2.3   14.0   0.2  -
SUPER_4              -          TR                   -                1     100  5375007  5374909  5375007  5374889 39957061    -         2.3   14.0   1.9  -
SUPER_4              -          TR                   -                1     110 37909417 37909513 37909417 37909531 39957061    +         2.4   14.0   2.9  -
SUPER_1              -          TR                   -                1      96 13806184 13806278 13806184 13806296 42379688    +         2.5   13.9   1.7  -
SUPER_7              -          TR                   -                1      88 30744792 30744878 30744792 30744902 37597983    +         2.5   13.9   4.2  -
SUPER_6              -          TR                   -                1      97 27865651 27865746 27865651 27865764 37972652    +         2.5   13.9   2.5  -
SUPER_5              -          TR                   -                2      99 24440001 24440097 24440000 24440117 38253528    +         2.9   13.7   1.6  -
SUPER_4              -          TR                   -                4      88  5692333  5692250  5692335  5692229 39957061    -           3   13.6   2.1  -
HAP2_SCAFFOLD_71     -          TR                   -                1      96     8613     8707     8613     8728    92531    +         3.2   13.5   1.4  -
SUPER_2              -          TR                   -                1      96 30624197 30624291 30624197 30624312 41869333    +         3.2   13.5   1.4  -
SUPER_4              -          TR                   -                1      96  6752317  6752411  6752317  6752431 39957061    +         3.5   13.4   2.8  -
SUPER_4              -          TR                   -                2     101 34841450 34841352 34841451 34841331 39957061    -         3.5   13.4   2.0  -
SUPER_3              -          TR                   -                1     102  1355370  1355270  1355370  1355250 40682366    -         3.6   13.4   3.2  -
SUPER_5              -          TR                   -                1      84 30604362 30604280 30604362 30604260 38253528    -         3.7   13.3   1.8  -
SUPER_2              -          TR                   -               25     102 30241447 30241541 30241427 30241556 41869333    +         3.8   13.3   1.5  -
SUPER_9              -          TR                   -                1     102  8253355  8253255  8253355  8253235 35197403    -         3.8   13.3   1.8  -
SUPER_4              -          TR                   -                1     102 26251215 26251114 26251215 26251102 39957061    -         3.9   13.2   1.5  -
