# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_8              -          TR                   -                2     313 11209793 11209481 11209794 11209477 55342837    -     1.8e-37  137.6   0.4  -
SUPER_21             -          TR                   -                1     312 13798212 13798521 13798212 13798526 39917608    +     6.3e-36  132.6   0.6  -
SUPER_23             -          TR                   -              135     193  5124522  5124456  5124542  5124450 38612906    -        0.19   19.4   1.3  -
SUPER_7              -          TR                   -               91     180  2543708  2543830  2543687  2543835 57932574    +        0.51   18.0   1.8  -
SUPER_14             -          TR                   -              156     191 11529958 11529918 11529958 11529904 49684655    -           1   17.0   3.3  -
SUPER_15             -          TR                   -               16     147 18441105 18441223 18441084 18441243 47060902    +         1.2   16.8   2.1  -
SUPER_2              -          TR                   -               67     142 67136732 67136641 67136753 67136618 68221843    -         1.4   16.6   5.3  -
SUPER_2              -          TR                   -              106     143  4621277  4621236  4621297  4621220 68221843    -         2.9   15.5   0.6  -
SUPER_12             -          TR                   -              156     194 46809391 46809342 46809395 46809339 51686657    -           3   15.4   4.0  -
SUPER_16             -          TR                   -              107     142 44338459 44338498 44338438 44338518 44988620    +         3.1   15.4   0.1  -
SUPER_16             -          TR                   -              106     151 14510777 14510729 14510798 14510713 44988620    -         4.5   14.9   0.8  -
SUPER_12             -          TR                   -              102     141 45636870 45636828 45636890 45636814 51686657    -         4.6   14.9   1.9  -
SUPER_5              -          TR                   -               13     122 58102603 58102716 58102598 58102736 60919833    +         5.3   14.7   4.8  -
SUPER_10             -          TR                   -              103     156 11291452 11291502 11291427 11291507 53470547    +         5.4   14.6   0.3  -
SUPER_3              -          TR                   -              107     142 37987162 37987123 37987183 37987106 67761470    -         5.7   14.5   1.5  -
SUPER_19             -          TR                   -               41     129  9423333  9423239  9423353  9423218 40573036    -         6.3   14.4   1.2  -
SUPER_2              -          TR                   -              106     155 26243005 26243051 26242985 26243057 68221843    +         6.4   14.4   0.3  -
SUPER_9              -          TR                   -              168     221  2397011  2396955  2397018  2396935 54077977    -         6.5   14.4   1.8  -
SUPER_16             -          TR                   -               32     200 33168444 33168269 33168463 33168267 44988620    -         6.9   14.3   8.1  -
SUPER_21             -          TR                   -              106     141 21708476 21708441 21708496 21708422 39917608    -         6.9   14.3   0.8  -
SUPER_18             -          TR                   -              106     153  4267646  4267601  4267666  4267589 43440290    -         7.3   14.2   0.7  -
SUPER_1              -          TR                   -              147     204 59988090 59988153 59988069 59988173 71166583    +         7.9   14.1   4.3  -
SUPER_4              -          TR                   -              107     156 32308904 32308953 32308884 32308956 66540115    +         8.1   14.1   0.4  -
SUPER_5              -          TR                   -               24     129 15270628 15270724 15270617 15270745 60919833    +         8.2   14.0   3.2  -
SUPER_1              -          TR                   -              105     155 47959911 47959863 47959927 47959853 71166583    -         9.1   13.9   0.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Convolvulus_arvensis/assembly/curated/daConArve2.1/daConArve2.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Convolvulus_arvensis.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Convolvulus_arvensis/assembly/curated/daConArve2.1/daConArve2.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:21:14 2024
# [ok]
