# target name        accession  query name           accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
SUPER_11             -          TR                   -              197     315  164622036  164621912  164622037  164621908  772677518    -     1.9e-07   42.5   4.7  -
SUPER_8              -          TR                   -              197     315  175340476  175340352  175340478  175340350  817723161    -     2.1e-07   42.4   3.3  -
SUPER_6              -          TR                   -              111     194  665387002  665386933  665387013  665386928  850457102    -       0.016   26.3   2.4  -
SUPER_8              -          TR                   -                1     128  175340673  175340553  175340673  175340527  817723161    -         0.3   22.1   1.4  -
SUPER_6              -          TR                   -              111     187   40568192   40568255   40568182   40568261  850457102    +        0.31   22.1   1.6  -
SUPER_5              -          TR                   -                7     135  349820133  349819963  349820133  349819949  917323440    -        0.47   21.5   0.0  -
SUPER_2              -          TR                   -              111     188  239639765  239639829  239639745  239639834 1022901297    +        0.49   21.5   1.1  -
SUPER_11             -          TR                   -                1     142  164622233  164622092  164622233  164622072  772677518    -        0.59   21.2   2.4  -
SUPER_13             -          TR                   -              103     188  574376090  574376184  574376073  574376192  765793897    +         0.6   21.2   4.1  -
SUPER_6              -          TR                   -               24     146  560284700  560284835  560284689  560284850  850457102    +        0.65   21.1   6.4  -
SUPER_16             -          TR                   -               40     238  191741420  191741207  191741441  191741189  745027920    -        0.96   20.5   1.6  -
SUPER_11             -          TR                   -              102     187  395102879  395102789  395102899  395102782  772677518    -         1.4   20.0   2.3  -
SUPER_6              -          TR                   -              112     187  304817252  304817314  304817241  304817320  850457102    +         1.4   20.0   1.4  -
SUPER_11             -          TR                   -               18     141  284505040  284505167  284505033  284505192  772677518    +         1.5   19.9   2.3  -
SUPER_9              -          TR                   -               35     141  594377282  594377181  594377304  594377161  817139115    -         1.5   19.9   2.4  -
SUPER_15             -          TR                   -              112     188   42767345   42767282   42767356   42767277  764473882    -         1.6   19.8   1.6  -
SUPER_6              -          TR                   -              111     188  297347164  297347101  297347184  297347096  850457102    -           2   19.5   0.9  -
SUPER_6              -          TR                   -              111     188   45375664   45375727   45375643   45375732  850457102    +           2   19.5   0.9  -
SUPER_15             -          TR                   -              111     188   29515355   29515292   29515370   29515287  764473882    -         2.2   19.3   1.1  -
SUPER_4              -          TR                   -               52     136  648794042  648793913  648794061  648793893  976125608    -         2.3   19.3   1.3  -
SUPER_15             -          TR                   -              105     186  272771822  272771754  272771844  272771747  764473882    -         2.4   19.2   2.5  -
SUPER_11             -          TR                   -               72     141  556725228  556725330  556725204  556725361  772677518    +         2.4   19.2   1.9  -
SUPER_16             -          TR                   -              112     188  520155488  520155551  520155468  520155556  745027920    +         2.8   19.0   1.6  -
SUPER_12             -          TR                   -               97     185   75843979   75843883   75843999   75843877  772908146    -           3   18.9   0.9  -
SUPER_4              -          TR                   -               28     157  640890911  640890780  640890929  640890777  976125608    -         3.5   18.7   4.0  -
SUPER_12             -          TR                   -              112     188  360652537  360652474  360652548  360652469  772908146    -         3.7   18.6   2.9  -
SUPER_4              -          TR                   -              112     186  169599846  169599785  169599862  169599778  976125608    -         3.9   18.5   2.2  -
SUPER_6              -          TR                   -              112     185  626939921  626939861  626939932  626939853  850457102    -         4.1   18.4   2.3  -
SUPER_3              -          TR                   -              104     196  365889421  365889517  365889406  365889520  981102465    +         4.2   18.4   0.4  -
SUPER_13             -          TR                   -              112     186  167674427  167674366  167674438  167674359  765793897    -         4.2   18.4   1.4  -
SUPER_1              -          TR                   -              112     185  407424980  407425040  407424960  407425048 1074544454    +         4.3   18.4   1.7  -
SUPER_2              -          TR                   -               14     137  443343336  443343456  443343329  443343479 1022901297    +         4.4   18.3   5.5  -
SUPER_6              -          TR                   -              105     190  649097977  649098066  649097957  649098070  850457102    +         4.6   18.3   2.2  -
SUPER_7              -          TR                   -              111     185  276178259  276178320  276178138  276178328  839193984    +         5.4   18.0   1.1  -
SUPER_2              -          TR                   -              112     187  140964238  140964176  140964258  140964170 1022901297    -         5.6   18.0   2.1  -
SUPER_1              -          TR                   -              103     158  707395894  707395941  707395879  707395949 1074544454    +         5.6   18.0   2.0  -
SUPER_14             -          TR                   -               79     123  761330765  761330813  761330701  761330819  761983751    +         5.6   18.0   2.4  -
SUPER_14             -          TR                   -              112     189  577684965  577685029  577684954  577685033  761983751    +         5.7   18.0   1.9  -
SUPER_4              -          TR                   -              112     187  407992525  407992587  407992504  407992593  976125608    +           6   17.9   0.9  -
SUPER_4              -          TR                   -              112     180  345407118  345407059  345407129  345407050  976125608    -           6   17.9   2.0  -
SUPER_14             -          TR                   -              112     185  164157951  164158012  164157940  164158020  761983751    +         6.2   17.9   1.9  -
SUPER_10             -          TR                   -              105     188   35382116   35382029   35382137   35382023  814406492    -         6.3   17.8   1.0  -
SUPER_16             -          TR                   -               99     198  592117185  592117312  592117164  592117313  745027920    +         6.3   17.8   2.2  -
SUPER_16             -          TR                   -              112     185  267000942  267000882  267000957  267000874  745027920    -         6.4   17.8   2.0  -
SUPER_12             -          TR                   -               24     159  408630110  408630255  408630092  408630261  772908146    +         7.1   17.7   5.9  -
SUPER_14             -          TR                   -               68     162  542729916  542729777  542729942  542729770  761983751    -         7.3   17.6   3.2  -
SUPER_5              -          TR                   -               59     131  388582892  388582808  388582926  388582788  917323440    -         7.3   17.6   0.3  -
SUPER_5              -          TR                   -              110     187  385795689  385795625  385795714  385795619  917323440    -         7.6   17.6   0.9  -
SUPER_8              -          TR                   -              112     187  563583418  563583355  563583430  563583349  817723161    -         7.7   17.5   2.7  -
SUPER_15             -          TR                   -              112     186  180728787  180728849  180728776  180728856  764473882    +         8.3   17.4   2.8  -
SUPER_11             -          TR                   -              112     186  476256231  476256170  476256242  476256163  772677518    -         8.6   17.4   2.7  -
SUPER_12             -          TR                   -              112     187  107479408  107479346  107479418  107479340  772908146    -         9.4   17.3   2.2  -
SUPER_16             -          TR                   -              112     187  601451134  601451072  601451150  601451066  745027920    -         9.6   17.2   1.4  -
SUPER_1              -          TR                   -              112     185  531699164  531699224  531699155  531699232 1074544454    +         9.7   17.2   1.8  -
SUPER_2              -          TR                   -              112     185 1010247029 1010246970 1010247049 1010246962 1022901297    -          10   17.2   1.9  -
SUPER_8              -          TR                   -              112     185  659310914  659310973  659310894  659310981  817723161    +          10   17.2   1.9  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Adonis_annua/assembly/curated/dmAdoAnnu1.1/dmAdoAnnu1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Adonis_annua.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Adonis_annua/assembly/curated/dmAdoAnnu1.1/dmAdoAnnu1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:48:02 2024
# [ok]
