# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     314  52008624  52008302  52008624  52008299  53565727    -     1.4e-31  116.8   1.5  -
SUPER_3              -          TR                   -                2     315    581190    581516    581189    581518  76796754    +       1e-28  107.4   2.6  -
SUPER_3              -          TR                   -               77     238  34327058  34326892  34327078  34326873  76796754    -     2.1e-13   57.2   0.5  -
SUPER_2              -          TR                   -               33     130  49500542  49500637  49500522  49500655  92899795    +        0.13   18.5   1.3  -
SUPER_1              -          TR                   -               24     130  54808658  54808549  54808672  54808529 130404575    -        0.25   17.6   2.9  -
SUPER_2              -          TR                   -                1     116  59259785  59259894  59259785  59259914  92899795    +        0.45   16.7   2.0  -
SUPER_1              -          TR                   -               68     130  38781701  38781770  38781678  38781790 130404575    +        0.45   16.7   0.8  -
SUPER_4              -          TR                   -                1     116   1015768   1015901   1015768   1015904  71366781    +        0.52   16.5   2.6  -
SUPER_1              -          TR                   -                1     117 127705772 127705906 127705772 127705908 130404575    +        0.62   16.2   2.5  -
SUPER_3              -          TR                   -                2     125  71025562  71025452  71025563  71025432  76796754    -        0.63   16.2   2.3  -
SUPER_1              -          TR                   -                1     116  83892958  83892849  83892958  83892834 130404575    -        0.65   16.2   3.3  -
SUPER_1              -          TR                   -                1     116  83893609  83893500  83893609  83893485 130404575    -        0.65   16.2   3.3  -
SUPER_2              -          TR                   -                1     116  46805535  46805668  46805535  46805671  92899795    +        0.68   16.1   3.0  -
SUPER_3              -          TR                   -                1     116  67876150  67876041  67876150  67876021  76796754    -        0.75   16.0   2.3  -
SUPER_3              -          TR                   -                1     116  67876813  67876704  67876813  67876684  76796754    -        0.75   16.0   2.3  -
SUPER_1              -          TR                   -                1     116  57629324  57629433  57629324  57629453 130404575    +        0.77   15.9   2.6  -
SUPER_1              -          TR                   -                1     116  57630029  57630138  57630029  57630158 130404575    +        0.77   15.9   2.6  -
SUPER_1              -          TR                   -                1     116   2006531   2006422   2006531   2006402 130404575    -        0.77   15.9   2.6  -
SUPER_1              -          TR                   -                1     116   2007100   2006991   2007100   2006971 130404575    -        0.77   15.9   2.6  -
SUPER_2              -          TR                   -                1     116  87495439  87495548  87495439  87495568  92899795    +        0.77   15.9   2.6  -
SUPER_2              -          TR                   -                1     116  87496104  87496213  87496104  87496233  92899795    +        0.77   15.9   2.6  -
SUPER_2              -          TR                   -                1     116  90148526  90148417  90148526  90148397  92899795    -        0.77   15.9   2.6  -
SUPER_5              -          TR                   -                1     116   7885653   7885762   7885653   7885782  55384767    +        0.77   15.9   2.6  -
SUPER_6              -          TR                   -                1     116   9393762   9393871   9393762   9393891  53565727    +        0.77   15.9   2.6  -
SUPER_6              -          TR                   -                1     116   9394430   9394539   9394430   9394559  53565727    +        0.77   15.9   2.6  -
SUPER_2              -          TR                   -                1      99  13186403  13186303  13186403  13186283  92899795    -        0.78   15.9   5.0  -
SUPER_6              -          TR                   -                1     116  47812595  47812704  47812595  47812724  53565727    +        0.81   15.9   2.9  -
SUPER_2              -          TR                   -                1     123  14742370  14742261  14742370  14742241  92899795    -        0.83   15.8   3.9  -
SUPER_3              -          TR                   -                1     116  29536514  29536405  29536514  29536390  76796754    -        0.83   15.8   2.7  -
SUPER_3              -          TR                   -                1     116  32103228  32103119  32103228  32103099  76796754    -        0.85   15.8   2.7  -
SUPER_1              -          TR                   -                1     116   3568581   3568472   3568581   3568452 130404575    -        0.86   15.8   2.7  -
SUPER_2              -          TR                   -                1     116  59258938  59259047  59258938  59259067  92899795    +        0.86   15.8   2.7  -
SUPER_2              -          TR                   -                1     116  59260543  59260652  59260543  59260672  92899795    +        0.86   15.8   2.7  -
SUPER_1              -          TR                   -                1     116 127319234 127319343 127319234 127319363 130404575    +         0.9   15.7   2.9  -
SUPER_6              -          TR                   -                1      98  25376629  25376727  25376629  25376744  53565727    +        0.93   15.7   4.0  -
SUPER_1              -          TR                   -              106     180  55427830  55427752  55427850  55427739 130404575    -        0.94   15.7   1.4  -
SUPER_4              -          TR                   -                5     130  38677663  38677542  38677663  38677517  71366781    -        0.94   15.7   2.3  -
SUPER_2              -          TR                   -                1     116  72408282  72408391  72408282  72408411  92899795    +         1.2   15.3   3.3  -
SUPER_1              -          TR                   -               38     129  64313172  64313086  64313191  64313066 130404575    -         1.5   15.0   2.6  -
SUPER_3              -          TR                   -                1     104  71027271  71027155  71027271  71027138  76796754    -         1.5   15.0   2.5  -
SUPER_3              -          TR                   -                1     115   4370165   4370273   4370165   4370293  76796754    +         1.5   15.0   2.9  -
SUPER_1              -          TR                   -                1     123 111767266 111767157 111767266 111767137 130404575    -         1.5   15.0   2.4  -
SUPER_5              -          TR                   -                1      99   7837243   7837338   7837243   7837358  55384767    +         1.6   14.9   2.9  -
SUPER_1              -          TR                   -                1     127  54787805  54787950  54787805  54787975 130404575    +         1.8   14.7   0.9  -
SUPER_5              -          TR                   -              119     181  27815119  27815177  27815118  27815188  55384767    +         1.9   14.7   0.3  -
SUPER_3              -          TR                   -                1     117   7872222   7872356   7872222   7872358  76796754    +         1.9   14.7   2.8  -
SUPER_4              -          TR                   -                1     117  44179102  44179236  44179102  44179238  71366781    +         1.9   14.7   2.8  -
SUPER_4              -          TR                   -                1     117  44179768  44179902  44179768  44179904  71366781    +         1.9   14.7   2.8  -
SUPER_6              -          TR                   -                1     117  13509082  13508948  13509082  13508928  53565727    -           2   14.6   4.7  -
SUPER_1              -          TR                   -                1     115  81046227  81046119  81046227  81046098 130404575    -           2   14.6   2.7  -
SUPER_1              -          TR                   -                1     116  84305277  84305386  84305277  84305406 130404575    +           2   14.6   3.3  -
SUPER_2              -          TR                   -                1     117  22149970  22150103  22149970  22150105  92899795    +         2.1   14.5   3.0  -
SUPER_5              -          TR                   -                1      95  29282256  29282165  29282256  29282144  55384767    -         2.1   14.5   3.1  -
SUPER_2              -          TR                   -               21     139  61436257  61436366  61436247  61436378  92899795    +         2.1   14.5   2.9  -
SUPER_1              -          TR                   -                1     116  99256198  99256065  99256198  99256062 130404575    -         2.1   14.5   2.3  -
SUPER_3              -          TR                   -                1     116   3887822   3887689   3887822   3887686  76796754    -         2.1   14.5   2.3  -
SUPER_3              -          TR                   -                1     116  60167804  60167671  60167804  60167668  76796754    -         2.1   14.5   2.3  -
SUPER_5              -          TR                   -                1     116   4568242   4568375   4568242   4568378  55384767    +         2.1   14.5   2.3  -
SUPER_3              -          TR                   -                1     102    665163    665264    665163    665291  76796754    +         2.2   14.5   3.0  -
SUPER_3              -          TR                   -                1     102    665832    665933    665832    665960  76796754    +         2.2   14.5   3.0  -
SUPER_6              -          TR                   -                1     102   7291345   7291446   7291345   7291473  53565727    +         2.2   14.5   3.0  -
SUPER_2              -          TR                   -                1     116  63847719  63847852  63847719  63847855  92899795    +         2.2   14.5   2.6  -
SUPER_2              -          TR                   -                1     116  63848399  63848532  63848399  63848535  92899795    +         2.2   14.5   2.6  -
SUPER_3              -          TR                   -                1     116  19377940  19377831  19377940  19377811  76796754    -         2.3   14.4   3.2  -
SUPER_6              -          TR                   -                1     113   6596670   6596564   6596670   6596545  53565727    -         2.5   14.3   2.7  -
SUPER_6              -          TR                   -                1      93  25376429  25376518  25376429  25376542  53565727    +         2.6   14.2   3.4  -
SUPER_5              -          TR                   -                1     116  42827668  42827535  42827668  42827532  55384767    -         2.9   14.1   2.5  -
SUPER_6              -          TR                   -                1     100   7290683   7290782   7290683   7290804  53565727    +           3   14.0   3.3  -
SUPER_6              -          TR                   -               68     131  16692891  16692840  16692911  16692821  53565727    -         3.1   14.0   0.5  -
SUPER_2              -          TR                   -                1      98  92144831  92144925  92144831  92144945  92899795    +         3.2   13.9   3.2  -
SUPER_6              -          TR                   -                1     103  10780441  10780321  10780441  10780305  53565727    -         3.4   13.8   5.0  -
SUPER_5              -          TR                   -               61     134  34951546  34951627  34951516  34951645  55384767    +         3.4   13.8   0.8  -
SUPER_5              -          TR                   -                1     116   7885124   7885233   7885124   7885253  55384767    +         3.5   13.8   2.7  -
SUPER_2              -          TR                   -                1     117  22150652  22150785  22150652  22150787  92899795    +         3.8   13.7   3.1  -
SUPER_1              -          TR                   -                1     117 129652507 129652641 129652507 129652643 130404575    +           4   13.6   2.8  -
SUPER_3              -          TR                   -               84     141  38775103  38775046  38775124  38775016  76796754    -           4   13.6   2.7  -
SUPER_1              -          TR                   -                2     102  20364776  20364677  20364777  20364657 130404575    -         4.2   13.5   4.1  -
SUPER_1              -          TR                   -               67     129  63510664  63510727  63510643  63510750 130404575    +         4.7   13.4   2.8  -
SUPER_3              -          TR                   -               70     128  10285566  10285615  10285548  10285637  76796754    +         4.9   13.3   1.1  -
SUPER_4              -          TR                   -               98     162  25933188  25933262  25933162  25933280  71366781    +         4.9   13.3   1.5  -
SUPER_5              -          TR                   -                1     117  27830243  27830377  27830243  27830379  55384767    +           5   13.3   3.7  -
SUPER_6              -          TR                   -                1     116  11007030  11007139  11007030  11007159  53565727    +         5.1   13.3   2.8  -
SUPER_6              -          TR                   -                1     116  11007697  11007806  11007697  11007826  53565727    +         5.1   13.3   2.8  -
SUPER_1              -          TR                   -              106     180  76592818  76592739  76592838  76592726 130404575    -         5.5   13.1   1.7  -
SUPER_2              -          TR                   -                1      94  66194536  66194444  66194536  66194424  92899795    -         5.6   13.1   4.8  -
SUPER_1              -          TR                   -              106     180  55430412  55430334  55430432  55430321 130404575    -         5.8   13.1   1.5  -
SUPER_1              -          TR                   -                1     117  65909613  65909479  65909613  65909477 130404575    -         5.8   13.1   2.4  -
SUPER_5              -          TR                   -                1     116  37413680  37413547  37413680  37413544  55384767    -         5.8   13.1   2.9  -
SUPER_5              -          TR                   -                1     116  37414368  37414235  37414368  37414232  55384767    -         5.8   13.1   2.9  -
SUPER_6              -          TR                   -              103     203   4470603   4470469   4470633   4470450  53565727    -         6.2   13.0   0.6  -
SUPER_1              -          TR                   -               22     141  23949153  23949033  23949164  23949013 130404575    -         6.4   12.9   3.0  -
SUPER_5              -          TR                   -              102     166  22248367  22248463  22248287  22248464  55384767    +         7.1   12.8   2.0  -
SUPER_4              -          TR                   -                1     117  49663952  49663819  49663952  49663817  71366781    -         7.1   12.8   3.3  -
SUPER_3              -          TR                   -                1      84   5444996   5445074   5444996   5445094  76796754    +         7.6   12.7   6.2  -
SUPER_1              -          TR                   -               50     130  36694203  36694130  36694220  36694083 130404575    -         7.8   12.6   4.3  -
SUPER_1              -          TR                   -               50     130  36701973  36701900  36701990  36701853 130404575    -         7.8   12.6   4.3  -
SUPER_4              -          TR                   -                1      92  54792002  54792094  54792002  54792114  71366781    +         7.9   12.6   2.5  -
SUPER_1              -          TR                   -                1      84 103603475 103603572 103603475 103603592 130404575    +           8   12.6   2.8  -
SUPER_2              -          TR                   -                1      95  74410806  74410713  74410806  74410692  92899795    -         8.2   12.6   4.6  -
SUPER_1              -          TR                   -               22     126   5769735   5769854   5769726   5769876 130404575    +         8.3   12.6   1.6  -
SUPER_3              -          TR                   -                1     117  36335824  36335958  36335824  36335960  76796754    +         8.3   12.6   2.9  -
SUPER_1              -          TR                   -               20     129  76405631  76405520  76405640  76405494 130404575    -         8.4   12.6   4.4  -
SUPER_5              -          TR                   -                1     117   1942187   1942321   1942187   1942323  55384767    +         8.5   12.5   4.3  -
SUPER_2              -          TR                   -              106     180  35577167  35577245  35577147  35577258  92899795    +         9.1   12.4   1.2  -
SUPER_3              -          TR                   -               84     142  52655276  52655199  52655286  52655183  76796754    -         9.8   12.3   0.6  -
SUPER_6              -          TR                   -                1      98  52721127  52721031  52721127  52721011  53565727    -         9.8   12.3   3.5  -
SUPER_4              -          TR                   -                1      84  42211453  42211550  42211453  42211570  71366781    +         9.9   12.3   2.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Lotus_pedunculatus/assembly/curated/drLotPedu3.1/drLotPedu3.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Lotus_pedunculatus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Lotus_pedunculatus/assembly/curated/drLotPedu3.1/drLotPedu3.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:13:05 2025
# [ok]
