# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     315  1411070  1410774  1411070  1410771 23690993    -     4.1e-23   88.0   1.9  -
SUPER_5              -          TR                   -                2     316 18034111 18034409 18034110 18034410 29105422    +     4.3e-23   87.9   1.6  -
SUPER_2              -          TR                   -                1     317 17733274 17732975 17733274 17732974 37743194    -     1.4e-22   86.2   0.9  -
SUPER_2              -          TR                   -              177     314 12200383 12200517 12200372 12200520 37743194    +     1.6e-05   30.2   2.9  -
SUPER_4              -          TR                   -               28     122 28040473 28040575 28040461 28040596 29338408    +        0.36   15.9   0.0  -
SUPER_2              -          TR                   -               82     163  1168373  1168457  1168352  1168476 37743194    +        0.72   14.9   2.9  -
SUPER_4              -          TR                   -              214     311  8249232  8249152  8249256  8249149 29338408    -        0.85   14.7   0.2  -
SUPER_4              -          TR                   -              147     196 24216483 24216543 24216463 24216563 29338408    +        0.98   14.5   0.0  -
SUPER_6              -          TR                   -               94     184  6610667  6610547  6610676  6610531 24085509    -         1.2   14.2   2.9  -
SUPER_2              -          TR                   -               80     130 11623136 11623182 11623132 11623202 37743194    +         1.7   13.7   1.3  -
SUPER_1              -          TR                   -              110     162 32068449 32068497 32068429 32068499 39948537    +         2.1   13.4   0.4  -
SUPER_5              -          TR                   -               97     163  5256891  5256818  5256911  5256815 29105422    -         2.9   13.0   1.5  -
SUPER_7              -          TR                   -               73     127  4168443  4168393  4168463  4168373 23690993    -         3.4   12.7   2.8  -
SUPER_1              -          TR                   -               72     123 27762146 27762082 27762167 27762062 39948537    -         3.6   12.7   1.1  -
SUPER_5              -          TR                   -               99     162 12813513 12813457 12813539 12813452 29105422    -         3.6   12.6   2.3  -
SUPER_6              -          TR                   -              141     180  6154790  6154839  6154770  6154852 24085509    +         4.2   12.4   0.0  -
SUPER_7              -          TR                   -              164     212 12350455 12350412 12350460 12350391 23690993    -         4.2   12.4   0.9  -
SUPER_2              -          TR                   -                4     141 26955478 26955633 26955477 26955653 37743194    +         5.4   12.1   2.0  -
SUPER_3              -          TR                   -               68     128 20106352 20106267 20106372 20106246 33798323    -         6.4   11.8   2.5  -
SUPER_1              -          TR                   -              109     162 14959087 14959143 14959065 14959149 39948537    +         7.2   11.6   0.9  -
SUPER_2              -          TR                   -               68     122 23918979 23919059 23918959 23919084 37743194    +         7.4   11.6   1.7  -
SUPER_2              -          TR                   -               68     122 21075870 21075954 21075850 21075974 37743194    +         7.5   11.6   1.6  -
SUPER_3              -          TR                   -               62     162 11503051 11502972 11503077 11502970 33798323    -         7.5   11.6   2.3  -
SUPER_3              -          TR                   -               41     124 18398753 18398843 18398732 18398859 33798323    +         9.3   11.3   1.1  -
SUPER_6              -          TR                   -               71     124  7127602  7127554  7127621  7127534 24085509    -         9.6   11.2   1.8  -
SUPER_4              -          TR                   -              150     203 24404349 24404399 24404328 24404420 29338408    +         9.7   11.2   1.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Fragaria_vesca/assembly/curated/drFraVesc1.1/drFraVesc1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Fragaria_vesca.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Fragaria_vesca/assembly/curated/drFraVesc1.1/drFraVesc1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:51:30 2024
# [ok]
