# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_24             -          TR                   -                1     305  8637245  8637551  8637245  8637566  9820257    +       2e-25   96.2   7.7  -
SUPER_3              -          TR                   -               70     220 13325039 13324895 13325060 13324872 17120886    -     6.4e-11   48.6   0.0  -
SUPER_24             -          TR                   -              185     305  8500012  8499896  8500032  8499881  9820257    -     9.1e-05   28.4   7.3  -
SUPER_15             -          TR                   -                2      96  4710147  4710273  4710146  4710289 12413131    +        0.01   21.7   1.9  -
SUPER_6              -          TR                   -                2      84 13101306 13101186 13101307 13101171 15878717    -       0.022   20.6   1.7  -
SUPER_4              -          TR                   -                2      83  6630840  6630963  6630839  6630984 17011685    +       0.072   18.9   2.3  -
SUPER_1              -          TR                   -                2      87 17547628 17547505 17547629 17547484 20625397    -       0.091   18.5   4.2  -
SUPER_6              -          TR                   -                2      84 13095320 13095201 13095321 13095194 15878717    -       0.098   18.4   2.2  -
SUPER_20             -          TR                   -                2      84  8966570  8966449  8966571  8966429 11580904    -        0.12   18.1   2.0  -
SUPER_6              -          TR                   -                2      84  1572692  1572810  1572691  1572830 15878717    +        0.13   18.1   3.2  -
SUPER_11             -          TR                   -                2      84  6089322  6089442  6089321  6089455 15389094    +        0.15   17.8   1.5  -
SUPER_1              -          TR                   -                2      84 18469663 18469783 18469662 18469801 20625397    +        0.15   17.8   2.6  -
SUPER_18             -          TR                   -                2      84  7101340  7101220  7101341  7101204 12073214    -        0.16   17.7   1.7  -
SUPER_15             -          TR                   -                2      85  9843803  9843683  9843804  9843666 12413131    -        0.19   17.5   1.4  -
SUPER_11             -          TR                   -                2      85 13534446 13534325 13534447 13534305 15389094    -        0.21   17.3   2.0  -
SUPER_16             -          TR                   -                2      84 11842583 11842463 11842584 11842444 12380752    -        0.24   17.1   2.4  -
SUPER_22             -          TR                   -                2      90  9408699  9408820  9408698  9408838 10998078    +        0.25   17.1   2.7  -
SUPER_4              -          TR                   -               69     122 12196815 12196750 12196834 12196730 17011685    -        0.25   17.1   1.5  -
SUPER_2              -          TR                   -                2      84 14817047 14816927 14817048 14816911 20119767    -        0.25   17.1   2.2  -
SUPER_25             -          TR                   -                2      84  8534150  8534272  8534149  8534282  9101084    +        0.26   17.0   2.0  -
SUPER_24             -          TR                   -                2      84  1667263  1667143  1667264  1667130  9820257    -        0.28   16.9   1.6  -
SUPER_25             -          TR                   -                2      84  8528293  8528413  8528292  8528426  9101084    +        0.28   16.9   1.6  -
SUPER_15             -          TR                   -                2      84  2688587  2688707  2688586  2688727 12413131    +        0.33   16.7   2.6  -
