# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     316 15308695 15309013 15308694 15309014 52200627    +     5.4e-39  141.1   3.4  -
SUPER_7              -          TR                   -                1      79 20877237 20877325 20877237 20877351 31740423    +        0.24   17.6   2.3  -
SUPER_6              -          TR                   -               70     195 16868457 16868329 16868479 16868301 33608676    -         0.4   16.8   6.9  -
SUPER_2              -          TR                   -                2      60 34069293 34069349 34069292 34069371 40501158    +        0.95   15.6   2.4  -
SUPER_10             -          TR                   -               34     121 22480446 22480380 22480465 22480360 29315090    -        0.95   15.6   0.9  -
SUPER_4              -          TR                   -               24     165 30182704 30182857 30182692 30182859 36207307    +         1.1   15.5   3.2  -
SUPER_13             -          TR                   -              149     197 20434675 20434726 20434655 20434728 26852619    +         1.3   15.2   0.0  -
SUPER_6              -          TR                   -               43     125 31091782 31091886 31091770 31091915 33608676    +         1.5   15.0   0.7  -
SUPER_3              -          TR                   -              181     260 22621525 22621453 22621531 22621432 38955736    -         1.5   15.0   0.9  -
SUPER_1              -          TR                   -                1      80 37311618 37311703 37311618 37311739 52200627    +         1.6   14.9   4.0  -
SUPER_5              -          TR                   -                1     102 15460347 15460234 15460347 15460217 33677447    -         1.7   14.8   2.5  -
SUPER_9              -          TR                   -                1      62 17852754 17852815 17852754 17852848 29581642    +         1.8   14.7   3.4  -
SUPER_6              -          TR                   -              201     317 23090449 23090567 23090429 23090567 33608676    +         1.8   14.7   1.0  -
SUPER_6              -          TR                   -              201     317 23296909 23297027 23296889 23297027 33608676    +         1.8   14.7   1.0  -
SUPER_10             -          TR                   -                1      87  7914224  7914317  7914224  7914336 29315090    +         1.8   14.7   2.5  -
SUPER_12             -          TR                   -               24     130 27164961 27165107 27164945 27165127 28770984    +         2.1   14.5   0.0  -
SUPER_2              -          TR                   -               90     197 27552572 27552440 27552611 27552438 40501158    -         2.2   14.4   5.0  -
SUPER_13             -          TR                   -               35     126 18746360 18746276 18746380 18746256 26852619    -         2.2   14.4   2.5  -
SUPER_4              -          TR                   -               50     130 26496073 26495993 26496085 26495970 36207307    -         2.2   14.4   0.2  -
SUPER_9              -          TR                   -              151     191 26768330 26768287 26768351 26768276 29581642    -         2.3   14.3   4.6  -
SUPER_3              -          TR                   -                3     157 27054537 27054713 27054536 27054719 38955736    +         2.3   14.3   0.6  -
SUPER_4              -          TR                   -               24     122 19640191 19640295 19640171 19640320 36207307    +         2.5   14.2   4.7  -
SUPER_8              -          TR                   -               67     133 16283390 16283326 16283415 16283306 30141077    -         2.6   14.2   0.5  -
SUPER_1              -          TR                   -              103     166 23834281 23834226 23834317 23834225 52200627    -         2.6   14.2   0.3  -
SUPER_6              -          TR                   -                1      99 17779107 17779016 17779107 17778996 33608676    -         2.7   14.1   1.9  -
SUPER_13             -          TR                   -                1      88 19239719 19239813 19239719 19239832 26852619    +         2.8   14.1   1.7  -
SUPER_4              -          TR                   -               39     131  9703737  9703633  9703751  9703613 36207307    -         2.9   14.0   0.4  -
SUPER_8              -          TR                   -                1      79 18593927 18594014 18593927 18594034 30141077    +         2.9   14.0   4.0  -
SUPER_6              -          TR                   -                1     113   977602   977707   977602   977719 33608676    +         3.1   13.9   2.5  -
SUPER_9              -          TR                   -                1      77  3512547  3512465  3512547  3512445 29581642    -         3.2   13.9   3.8  -
SUPER_12             -          TR                   -               20     119 25397335 25397451 25397322 25397465 28770984    +         3.5   13.8   3.8  -
SUPER_7              -          TR                   -               67     194 20284265 20284155 20284287 20284147 31740423    -         3.7   13.7   4.0  -
SUPER_7              -          TR                   -               50     142 24164565 24164724 24164552 24164749 31740423    +         3.9   13.6   2.0  -
SUPER_5              -          TR                   -                1      80 32720549 32720635 32720549 32720655 33677447    +           4   13.6   1.9  -
SUPER_7              -          TR                   -                1      79 14519179 14519264 14519179 14519284 31740423    +           4   13.6   1.6  -
SUPER_5              -          TR                   -                1      79    43971    44054    43971    44071 33677447    +         4.2   13.5   1.2  -
SUPER_4              -          TR                   -                4     161  2867375  2867183  2867378  2867181 36207307    -         4.2   13.5   6.5  -
SUPER_13             -          TR                   -                2      66  2099535  2099473  2099536  2099453 26852619    -         4.3   13.5   2.7  -
SUPER_14             -          TR                   -                4      95  3793002  3792911  3793005  3792900 23454494    -         4.5   13.4   3.1  -
SUPER_8              -          TR                   -               37     126  5556589  5556497  5556609  5556477 30141077    -         4.5   13.4   6.5  -
SUPER_8              -          TR                   -                1      92   468906   468822   468906   468801 30141077    -         4.5   13.4   1.3  -
SUPER_7              -          TR                   -                1      79 16407899 16407814 16407899 16407794 31740423    -         4.7   13.3   4.8  -
SUPER_1              -          TR                   -               17     128 46353760 46353867 46353753 46353878 52200627    +         4.8   13.3   7.4  -
SUPER_8              -          TR                   -                1     115 25555545 25555419 25555545 25555418 30141077    -         4.9   13.3   3.5  -
SUPER_4              -          TR                   -              182     213 11163639 11163607 11163659 11163587 36207307    -         5.2   13.2   0.0  -
SUPER_13             -          TR                   -                2      98 10524640 10524517 10524641 10524503 26852619    -         5.2   13.2   2.2  -
SUPER_5              -          TR                   -              148     194 23373776 23373730 23373796 23373726 33677447    -         5.4   13.2   2.2  -
SUPER_4              -          TR                   -                1      79 24657549 24657464 24657549 24657444 36207307    -         5.4   13.1   2.4  -
SUPER_2              -          TR                   -               20     102 27520310 27520223 27520318 27520203 40501158    -         5.4   13.1   4.8  -
SUPER_2              -          TR                   -               16      96 27645545 27645636 27645536 27645659 40501158    +         5.4   13.1   1.0  -
SUPER_1              -          TR                   -               32     142 20251986 20251840 20252007 20251819 52200627    -         5.6   13.1   4.8  -
SUPER_3              -          TR                   -                1      79 12651323 12651407 12651323 12651430 38955736    +         5.7   13.1   3.6  -
SUPER_4              -          TR                   -                1      79  7742022  7742106  7742022  7742126 36207307    +         5.9   13.0   4.3  -
SUPER_1              -          TR                   -                3     142 41689997 41690227 41689995 41690247 52200627    +           6   13.0   4.1  -
SUPER_4              -          TR                   -                1      99 15394007 15394098 15394007 15394119 36207307    +           6   13.0   4.8  -
SUPER_9              -          TR                   -                2      55 12949551 12949602 12949550 12949621 29581642    +         6.4   12.9   0.0  -
SUPER_8              -          TR                   -                1      79 27279957 27280041 27279957 27280063 30141077    +         6.4   12.9   1.2  -
SUPER_5              -          TR                   -                1      78 11388422 11388340 11388422 11388319 33677447    -         6.5   12.9   2.5  -
SUPER_13             -          TR                   -               80     162 24038497 24038420 24038517 24038417 26852619    -         6.5   12.9   0.0  -
SUPER_14             -          TR                   -               19      93 20614879 20614956 20614860 20614977 23454494    +         6.6   12.9   5.1  -
SUPER_4              -          TR                   -                1      87 35041670 35041762 35041670 35041777 36207307    +         6.7   12.8   2.7  -
SUPER_9              -          TR                   -                1     113  3447862  3447753  3447862  3447750 29581642    -         6.8   12.8   3.2  -
SUPER_13             -          TR                   -              103     166  4530744  4530803  4530728  4530804 26852619    +         6.8   12.8   3.6  -
SUPER_11             -          TR                   -                1      63  5291840  5291778  5291840  5291758 28780515    -         7.1   12.8   3.4  -
SUPER_11             -          TR                   -                1      58  4825868  4825925  4825868  4825946 28780515    +         7.1   12.8   4.0  -
SUPER_14             -          TR                   -               24     102 11032248 11032334 11032229 11032354 23454494    +         7.1   12.7   4.5  -
SUPER_8              -          TR                   -                1      48 14312458 14312505 14312458 14312536 30141077    +         7.5   12.7   3.2  -
SUPER_10             -          TR                   -                1      84  6964366  6964277  6964366  6964257 29315090    -         7.6   12.7   1.4  -
SUPER_1              -          TR                   -                1      49 50599447 50599401 50599447 50599383 52200627    -         7.6   12.6   3.2  -
SUPER_5              -          TR                   -                1      65  8882409  8882473  8882409  8882502 33677447    +         7.6   12.6   4.7  -
SUPER_1              -          TR                   -               25     129 23752478 23752575 23752464 23752595 52200627    +         7.9   12.6   5.0  -
SUPER_10             -          TR                   -                1      79 13476022 13476106 13476022 13476126 29315090    +           8   12.6   1.2  -
SUPER_13             -          TR                   -               25     121 17507264 17507344 17507246 17507364 26852619    +         8.1   12.6  10.4  -
SUPER_7              -          TR                   -                1      64  1148058  1148121  1148058  1148142 31740423    +         8.4   12.5   3.2  -
SUPER_12             -          TR                   -                1      68  9582809  9582736  9582809  9582716 28770984    -         8.5   12.5   4.3  -
SUPER_9              -          TR                   -               80     130 12698076 12698031 12698096 12697999 29581642    -         8.6   12.5   2.2  -
SUPER_5              -          TR                   -                1      84    43185    43273    43185    43292 33677447    +         8.7   12.5   1.4  -
SUPER_5              -          TR                   -                1      79 11830482 11830397 11830482 11830375 33677447    -         8.9   12.4   5.3  -
SUPER_9              -          TR                   -                2      66 11777829 11777891 11777828 11777911 29581642    +           9   12.4   0.0  -
SUPER_3              -          TR                   -              109     194 13480285 13480191 13480306 13480184 38955736    -         9.1   12.4   6.0  -
SUPER_6              -          TR                   -               67     163 26769336 26769482 26769310 26769486 33608676    +         9.1   12.4   2.1  -
SUPER_1              -          TR                   -               24     137 19037714 19037583 19037734 19037559 52200627    -         9.2   12.4   5.0  -
SUPER_10             -          TR                   -                2      59  4480323  4480380  4480322  4480406 29315090    +         9.2   12.4   2.2  -
SUPER_4              -          TR                   -               36     122 25442610 25442741 25442584 25442763 36207307    +         9.3   12.4   1.4  -
SUPER_3              -          TR                   -                1      84   817278   817189   817278   817175 38955736    -         9.4   12.4   1.4  -
SUPER_14             -          TR                   -               15     162 19499062 19498923 19499067 19498921 23454494    -         9.5   12.3   6.0  -
SUPER_3              -          TR                   -                1      79 14599781 14599865 14599781 14599885 38955736    +         9.5   12.3   4.2  -
SUPER_12             -          TR                   -              147     194 24267840 24267887 24267801 24267893 28770984    +         9.7   12.3   1.1  -
SUPER_1              -          TR                   -              183     251 17524811 17524744 17524826 17524723 52200627    -         9.9   12.3   3.9  -
SUPER_6              -          TR                   -               69     213 32485473 32485647 32485452 32485677 33608676    +         9.9   12.3   2.0  -
SUPER_10             -          TR                   -                1      96 22152980 22153068 22152980 22153090 29315090    +          10   12.3   3.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Alnus_cordata/assembly/curated/dhAlnCord1.1/dhAlnCord1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Alnus_cordata.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Alnus_cordata/assembly/curated/dhAlnCord1.1/dhAlnCord1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:20 2025
# [ok]
