# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     315  35610256  35610580  35610256  35610582 110225684    +     9.5e-36  131.3   1.9  -
SUPER_10             -          TR                   -              171     315  15808347  15808179  15808351  15808177  58024491    -     1.4e-11   52.1   4.8  -
SUPER_10             -          TR                   -              171     315  15867116  15866948  15867138  15866946  58024491    -     4.9e-11   50.2   3.1  -
SUPER_9              -          TR                   -               17     145  10696588  10696462  10696595  10696442  60517988    -        0.11   19.5   1.7  -
SUPER_2              -          TR                   -               68     204  33227118  33227283  33227098  33227303  93604460    +        0.12   19.4   0.0  -
SUPER_2              -          TR                   -               68     204  33225631  33225789  33225611  33225809  93604460    +        0.45   17.5   0.0  -
SUPER_2              -          TR                   -               24     122  86827142  86827307  86827129  86827327  93604460    +        0.48   17.4   0.0  -
SUPER_2              -          TR                   -               68     204  33224139  33224301  33224119  33224321  93604460    +        0.67   17.0   0.0  -
SUPER_9              -          TR                   -               68     163  17051730  17051633  17051750  17051624  60517988    -         1.1   16.2   4.6  -
SUPER_2              -          TR                   -                1      63  61738732  61738670  61738732  61738650  93604460    -         1.2   16.1   1.0  -
SUPER_6              -          TR                   -                1     118  14315674  14315542  14315674  14315525  66478648    -         1.5   15.8   2.5  -
SUPER_5              -          TR                   -                1      62  46734499  46734560  46734499  46734580  72024377    +         1.5   15.8   2.5  -
SUPER_3              -          TR                   -                1      76  10903746  10903829  10903746  10903831  90225265    +         1.7   15.6   5.2  -
SUPER_2              -          TR                   -                1      57  59624084  59624140  59624084  59624160  93604460    +         1.9   15.5   2.6  -
SUPER_1              -          TR                   -              152     196  85594842  85594889  85594822  85594909 110225684    +         1.9   15.5   1.9  -
SUPER_6              -          TR                   -               31     141  30229159  30229292  30229139  30229312  66478648    +         1.9   15.4   0.7  -
SUPER_12             -          TR                   -                1      77  10108262  10108344  10108262  10108364  43518406    +           2   15.4   2.9  -
SUPER_1              -          TR                   -               24     166  83616150  83616025  83616163  83616006 110225684    -         2.1   15.3   2.1  -
SUPER_8              -          TR                   -               45     148  12731957  12731847  12731986  12731836  61798043    -         2.1   15.3   4.5  -
SUPER_8              -          TR                   -                1      65  50707739  50707675  50707739  50707654  61798043    -         2.1   15.3   1.6  -
SUPER_3              -          TR                   -                4     135  39249691  39249563  39249698  39249543  90225265    -         2.3   15.2   1.4  -
SUPER_4              -          TR                   -               69     162  41744043  41744137  41744022  41744140  74896655    +         2.5   15.1   4.3  -
SUPER_3              -          TR                   -                1      62    304794    304855    304794    304876  90225265    +         2.6   15.0   1.2  -
SUPER_2              -          TR                   -                1      62  86332999  86332938  86332999  86332918  93604460    -         2.6   15.0   0.9  -
SUPER_5              -          TR                   -               28     134  26447586  26447481  26447602  26447461  72024377    -         2.7   14.9  11.0  -
SUPER_3              -          TR                   -                1      60  31944209  31944268  31944209  31944289  90225265    +         2.9   14.9   2.1  -
SUPER_11             -          TR                   -               21     169  15430184  15429978  15430204  15429978  51037926    -           3   14.8   4.8  -
SUPER_4              -          TR                   -                1      62  11370215  11370154  11370215  11370133  74896655    -         3.2   14.7   2.4  -
SUPER_4              -          TR                   -               71     161  44235112  44235021  44235133  44235016  74896655    -         3.3   14.7   5.1  -
