# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                2     317 20030349 20030035 20030350 20030035 31739555    -     7.7e-33  120.2   0.3  -
SUPER_6              -          TR                   -              166     204  6668126  6668166  6668125  6668195 32599865    +        0.12   17.8   5.1  -
SUPER_6              -          TR                   -              166     203  6664790  6664755  6664791  6664729 32599865    -        0.23   16.9   3.6  -
SUPER_4              -          TR                   -               30     125 22331771 22331858 22331754 22331878 33129258    +        0.32   16.4   0.9  -
SUPER_1              -          TR                   -              178     264 41929427 41929534 41929424 41929552 45242140    +         1.1   14.7   1.8  -
SUPER_1              -          TR                   -               48     130  3035441  3035513  3035414  3035533 45242140    +         1.2   14.5   3.1  -
SUPER_7              -          TR                   -              165     204 25142313 25142352 25142310 25142372 31739555    +         1.2   14.5   4.8  -
SUPER_4              -          TR                   -               70     124   938422   938471   938359   938490 33129258    +         1.3   14.4   1.5  -
SUPER_3              -          TR                   -               68     129 15750382 15750319 15750409 15750298 44838700    -         1.4   14.3   0.8  -
SUPER_3              -          TR                   -               74     138   315305   315357   315285   315377 44838700    +         1.9   13.9   2.1  -
SUPER_1              -          TR                   -               70     141 40906947 40906861 40906967 40906845 45242140    -         2.2   13.7   3.4  -
SUPER_1              -          TR                   -               55     132  6268568  6268644  6268527  6268664 45242140    +         2.3   13.6  13.0  -
SUPER_4              -          TR                   -              169     213  7193263  7193313  7193245  7193337 33129258    +         2.4   13.5   2.1  -
SUPER_4              -          TR                   -              103     169 15942636 15942720 15942616 15942726 33129258    +         2.4   13.5   5.9  -
SUPER_1              -          TR                   -              108     168 26385441 26385386 26385461 26385373 45242140    -         2.9   13.3   1.3  -
SUPER_3              -          TR                   -                1     116 26679170 26679008 26679170 26678991 44838700    -         3.4   13.0   4.1  -
SUPER_6              -          TR                   -               31     126 12016714 12016614 12016735 12016599 32599865    -         5.6   12.3   6.6  -
SUPER_6              -          TR                   -                1      53 29310491 29310439 29310491 29310408 32599865    -         6.2   12.2   3.0  -
SUPER_5              -          TR                   -               68     124 13671926 13671882 13671963 13671862 32611028    -           7   12.0   1.7  -
SUPER_5              -          TR                   -               20     131  4764158  4764246  4764150  4764267 32611028    +         7.5   11.9   1.9  -
SUPER_6              -          TR                   -               27     140 31893061 31892948 31893079 31892934 32599865    -           8   11.8   3.4  -
SUPER_2              -          TR                   -               90     193 18488521 18488619 18488495 18488624 48478265    +         8.1   11.8   2.5  -
SUPER_3              -          TR                   -               68     125 20999302 20999257 20999342 20999238 44838700    -         8.5   11.7   2.0  -
SUPER_6              -          TR                   -               25     141 21822087 21822194 21822068 21822210 32599865    +         8.7   11.7   3.5  -
SUPER_1              -          TR                   -              108     168 12720040 12720095 12720019 12720107 45242140    +         8.8   11.7   3.0  -
SUPER_1              -          TR                   -              103     190 29113679 29113593 29113720 29113587 45242140    -         8.9   11.7   3.3  -
SUPER_3              -          TR                   -               68     125  9769388  9769343  9769408  9769324 44838700    -         8.9   11.7   1.0  -
SUPER_2              -          TR                   -               30     141 30634428 30634524 30634407 30634542 48478265    +         9.1   11.6   4.9  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Filipendula_ulmaria/assembly/curated/drFilUlma1.ORIGINAL/drFilUlma1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Filipendula_ulmaria.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Filipendula_ulmaria/assembly/curated/drFilUlma1.ORIGINAL/drFilUlma1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:17:21 2025
# [ok]
