# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     315 15088934 15089250 15088933 15089255 53352176    +     2.2e-40  145.6   4.0  -
SUPER_3              -          TR                   -               23     131  4652501  4652635  4652485  4652656 38106423    +      0.0056   22.8   4.0  -
SUPER_7              -          TR                   -               77     141  8750554  8750495  8750574  8750475 30489098    -        0.15   18.1   0.0  -
SUPER_10             -          TR                   -                2     122  1497424  1497564  1497423  1497584 28963119    +        0.23   17.5   2.7  -
SUPER_8              -          TR                   -               22     130 28778060 28778204 28778042 28778220 30142392    +        0.25   17.4   0.0  -
SUPER_9              -          TR                   -               59     138 11737349 11737276 11737377 11737265 29143194    -        0.43   16.6   0.0  -
SUPER_2              -          TR                   -               39     131 20477105 20476974 20477122 20476954 39403858    -        0.49   16.4   0.1  -
SUPER_4              -          TR                   -               20     125 18495538 18495646 18495522 18495672 35742275    +        0.49   16.4   4.3  -
SUPER_3              -          TR                   -               14     130  7579996  7579872  7580016  7579851 38106423    -         0.5   16.4   0.0  -
SUPER_3              -          TR                   -               24     122 21591086 21590979 21591106 21590958 38106423    -        0.67   16.0   0.0  -
SUPER_11             -          TR                   -                2      59 14755710 14755655 14755711 14755640 27214496    -         0.7   15.9   0.5  -
SUPER_8              -          TR                   -               24     125 24924429 24924531 24924410 24924551 30142392    +         0.7   15.9   1.4  -
SUPER_10             -          TR                   -               24     165 17360154 17359945 17360168 17359943 28963119    -        0.93   15.5   1.2  -
SUPER_4              -          TR                   -                1     162 15266209 15266469 15266209 15266471 35742275    +         1.1   15.3   3.3  -
SUPER_1              -          TR                   -              150     196 40822556 40822604 40822536 40822607 53352176    +         1.1   15.2   1.2  -
SUPER_10             -          TR                   -                1      82 27630002 27629913 27630002 27629892 28963119    -         1.2   15.2   5.5  -
