# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                2     314  22179317  22179656  22179316  22179658  98987608    +     1.2e-13   58.8   6.6  -
SUPER_7              -          TR                   -               24     125  69696764  69696668  69696782  69696648  98987608    -       0.048   20.8   3.3  -
SUPER_2              -          TR                   -               24     125 104896924 104897021 104896912 104897041 130109640    +        0.23   18.5   1.6  -
SUPER_6              -          TR                   -               24     125  19913240  19913151  19913256  19913131 119776152    -        0.29   18.2   1.5  -
SUPER_6              -          TR                   -               26     128 119242027 119241950 119242049 119241932 119776152    -         0.3   18.2   3.3  -
SUPER_3              -          TR                   -               26     124   8338285   8338386   8338269   8338406 129061592    +        0.34   18.0   2.9  -
SUPER_6              -          TR                   -               29     124 112459805 112459709 112459820 112459689 119776152    -        0.35   18.0   3.5  -
SUPER_3              -          TR                   -               29     125 113921353 113921263 113921372 113921246 129061592    -        0.35   17.9   2.8  -
SUPER_4              -          TR                   -               23     124  12865104  12865008  12865121  12864988 121921648    -        0.35   17.9   0.9  -
SUPER_5              -          TR                   -               68     125 108746831 108746884 108746811 108746918 121366304    +         0.5   17.4   0.0  -
SUPER_1              -          TR                   -               68     126  50976547  50976600  50976509  50976618 159095547    +        0.52   17.4   2.3  -
SUPER_1              -          TR                   -               26     125  91447472  91447372  91447490  91447352 159095547    -        0.54   17.3   3.4  -
SUPER_7              -          TR                   -               69     125   2936165   2936112   2936243   2936093  98987608    -        0.57   17.2   3.3  -
SUPER_5              -          TR                   -               26     125  93035510  93035423  93035525  93035403 121366304    -        0.59   17.2   3.0  -
SUPER_3              -          TR                   -               27     124 120764814 120764903 120764795 120764923 129061592    +        0.61   17.2   4.0  -
SUPER_3              -          TR                   -               24     125 106385536 106385624 106385520 106385642 129061592    +        0.65   17.1   2.5  -
SUPER_1              -          TR                   -               29     126 142819613 142819712 142819593 142819722 159095547    +        0.65   17.0   4.1  -
SUPER_3              -          TR                   -               21     125 108699357 108699259 108699369 108699239 129061592    -         0.7   16.9   3.1  -
SUPER_4              -          TR                   -               26     125 100700785 100700878 100700767 100700898 121921648    +        0.74   16.9   0.3  -
SUPER_3              -          TR                   -               24     124  22673006  22673128  22672991  22673148 129061592    +        0.75   16.9   2.9  -
SUPER_3              -          TR                   -               26     125  39814782  39814868  39814765  39814888 129061592    +        0.79   16.8   2.3  -
SUPER_5              -          TR                   -               25     124  26995915  26995829  26995932  26995809 121366304    -        0.82   16.7   2.7  -
SUPER_1              -          TR                   -               25     125   2528170   2528069   2528190   2528049 159095547    -        0.82   16.7   3.4  -
SUPER_4              -          TR                   -               24     124  18814962  18815058  18814948  18815078 121921648    +        0.83   16.7   3.3  -
SUPER_3              -          TR                   -               24     125 102705982 102705887 102705998 102705867 129061592    -        0.84   16.7   3.6  -
SUPER_4              -          TR                   -               27     125   4743428   4743344   4743447   4743324 121921648    -        0.86   16.7   3.4  -
SUPER_4              -          TR                   -               26     124 113437277 113437178 113437294 113437158 121921648    -        0.88   16.6   5.0  -
SUPER_1              -          TR                   -               68     125 155318018 155318070 155317974 155318090 159095547    +        0.89   16.6   3.3  -
SUPER_1              -          TR                   -               26     124  27664949  27664857  27664967  27664837 159095547    -         0.9   16.6   5.0  -
SUPER_2              -          TR                   -               26     121 129521639 129521550 129521656 129521529 130109640    -        0.92   16.6   1.4  -
SUPER_1              -          TR                   -               29     131  41216268  41216378  41216247  41216392 159095547    +        0.92   16.6   1.8  -
SUPER_4              -          TR                   -                2      82  42066844  42066754  42066845  42066738 121921648    -        0.93   16.5   2.6  -
SUPER_4              -          TR                   -               25     125  38125125  38125029  38125140  38125009 121921648    -        0.96   16.5   2.4  -
SUPER_6              -          TR                   -               28     125   6891512   6891419   6891530   6891399 119776152    -        0.97   16.5   2.4  -
SUPER_1              -          TR                   -               26     124  31664039  31663954  31664057  31663934 159095547    -           1   16.4   2.0  -
SUPER_7              -          TR                   -               27     125  17967049  17967148  17967030  17967168  98987608    +           1   16.4   2.8  -
SUPER_1              -          TR                   -               28     125  63497911  63498004  63497894  63498024 159095547    +         1.1   16.3   2.5  -
SUPER_6              -          TR                   -               57     122  87845720  87845773  87845685  87845796 119776152    +         1.1   16.3   2.2  -
SUPER_4              -          TR                   -               28     129 108463186 108463282 108463166 108463298 121921648    +         1.2   16.2   4.5  -
SUPER_3              -          TR                   -               27     125   6533509   6533407   6533526   6533387 129061592    -         1.2   16.2   2.6  -
SUPER_7              -          TR                   -               25     125  15107133  15107046  15107150  15107026  98987608    -         1.2   16.2   2.0  -
SUPER_1              -          TR                   -               68     122  84005411  84005358  84005474  84005345 159095547    -         1.2   16.2   0.1  -
SUPER_3              -          TR                   -               26     125  15860820  15860734  15860837  15860714 129061592    -         1.2   16.1   2.0  -
SUPER_4              -          TR                   -               25     125  10618865  10618952  10618849  10618972 121921648    +         1.3   16.1   2.2  -
SUPER_1              -          TR                   -                1      67  17908979  17908915  17908979  17908902 159095547    -         1.3   16.0   0.8  -
SUPER_5              -          TR                   -               57     125 119085518 119085579 119085497 119085599 121366304    +         1.3   16.0   0.5  -
SUPER_4              -          TR                   -                1      61 100126808 100126750 100126808 100126730 121921648    -         1.3   16.0   4.0  -
SUPER_5              -          TR                   -               27     125   5677746   5677831   5677728   5677851 121366304    +         1.4   16.0   2.0  -
SUPER_5              -          TR                   -               28     124  88200084  88200167  88200073  88200187 121366304    +         1.4   16.0   1.2  -
SUPER_1              -          TR                   -               31     124 158447739 158447833 158447719 158447845 159095547    +         1.4   16.0   5.4  -
SUPER_5              -          TR                   -               32     125 108321569 108321659 108321547 108321679 121366304    +         1.4   15.9   3.7  -
SUPER_1              -          TR                   -               29     126 136285664 136285761 136285646 136285785 159095547    +         1.4   15.9   1.6  -
SUPER_3              -          TR                   -               44     124  87264478  87264555  87264453  87264575 129061592    +         1.5   15.9   0.0  -
SUPER_7              -          TR                   -               24     125  23475826  23475921  23475812  23475941  98987608    +         1.5   15.9   3.5  -
SUPER_4              -          TR                   -               29     132 109958947 109959053 109958928 109959069 121921648    +         1.5   15.9   2.6  -
SUPER_1              -          TR                   -               24     122  63990941  63990839  63990956  63990819 159095547    -         1.5   15.8   1.0  -
SUPER_1              -          TR                   -               24     124  12601069  12601163  12601053  12601183 159095547    +         1.6   15.8   2.3  -
SUPER_2              -          TR                   -               30     130  19564575  19564676  19564553  19564696 130109640    +         1.6   15.8   4.9  -
SUPER_7              -          TR                   -               24     124  22189854  22189955  22189840  22189975  98987608    +         1.6   15.8   2.6  -
SUPER_3              -          TR                   -               30     124  76010513  76010609  76010493  76010628 129061592    +         1.6   15.7   3.6  -
SUPER_1              -          TR                   -               26     124  38285475  38285390  38285493  38285370 159095547    -         1.7   15.7   2.4  -
SUPER_7              -          TR                   -               25     128   3335511   3335611   3335490   3335620  98987608    +         1.7   15.7   4.2  -
SUPER_1              -          TR                   -               28     125  24804356  24804256  24804374  24804236 159095547    -         1.7   15.7   3.5  -
SUPER_7              -          TR                   -               28     124  87147376  87147263  87147394  87147247  98987608    -         1.7   15.7   2.2  -
SUPER_1              -          TR                   -               24     125  51744376  51744267  51744389  51744250 159095547    -         1.7   15.6   5.9  -
SUPER_1              -          TR                   -               67     128  14730916  14730847  14730971  14730830 159095547    -         1.8   15.6   3.4  -
SUPER_6              -          TR                   -               27     125 100818626 100818532 100818643 100818512 119776152    -         1.8   15.6   2.6  -
SUPER_7              -          TR                   -               30     124   7393286   7393376   7393266   7393396  98987608    +         1.8   15.6   3.6  -
SUPER_4              -          TR                   -               31     157  57046647  57046516  57046667  57046513 121921648    -         1.8   15.6   3.6  -
SUPER_5              -          TR                   -               32     124  74778614  74778519  74778636  74778499 121366304    -         1.9   15.5   3.5  -
SUPER_1              -          TR                   -               68     125  43989024  43989079  43988950  43989099 159095547    +         1.9   15.5   3.8  -
SUPER_1              -          TR                   -               24     126 140596021 140596113 140596008 140596133 159095547    +         1.9   15.5   3.8  -
SUPER_1              -          TR                   -               28     125  44278081  44277992  44278101  44277972 159095547    -         1.9   15.5   3.7  -
SUPER_5              -          TR                   -               68     126  38526542  38526597  38526469  38526616 121366304    +           2   15.5   3.7  -
SUPER_3              -          TR                   -               22     125 113336275 113336373 113336262 113336393 129061592    +           2   15.5   1.9  -
SUPER_1              -          TR                   -               68     121  62902417  62902472  62902389  62902488 159095547    +           2   15.5   0.0  -
SUPER_6              -          TR                   -               29     125  17674858  17674782  17674878  17674762 119776152    -           2   15.4   1.4  -
SUPER_3              -          TR                   -               24     125  91688474  91688385  91688489  91688365 129061592    -           2   15.4   1.0  -
SUPER_7              -          TR                   -               25     124  39071254  39071151  39071270  39071131  98987608    -         2.1   15.4   2.4  -
SUPER_4              -          TR                   -               26     133  10912052  10911958  10912068  10911937 121921648    -         2.1   15.4   4.8  -
SUPER_6              -          TR                   -               25     123  37368581  37368680  37368565  37368698 119776152    +         2.1   15.4   2.6  -
SUPER_3              -          TR                   -               24     126 124089100 124089009 124089115 124088997 129061592    -         2.1   15.4   5.3  -
SUPER_2              -          TR                   -               24     124  12509042  12508955  12509054  12508935 130109640    -         2.2   15.3   2.9  -
SUPER_1              -          TR                   -               31     125  61318467  61318370  61318487  61318351 159095547    -         2.2   15.3   3.6  -
SUPER_3              -          TR                   -               31     132  19169628  19169732  19169608  19169751 129061592    +         2.2   15.3   3.2  -
SUPER_1              -          TR                   -               67     128   7296831   7296904   7296777   7296924 159095547    +         2.2   15.3   4.5  -
SUPER_7              -          TR                   -               37     123  80441154  80441064  80441174  80441046  98987608    -         2.2   15.3   0.7  -
SUPER_2              -          TR                   -                1      64  26685775  26685714  26685775  26685694 130109640    -         2.2   15.3   2.1  -
SUPER_7              -          TR                   -               30     124  80909161  80909252  80909142  80909272  98987608    +         2.3   15.3   4.6  -
SUPER_7              -          TR                   -               37     125  20539047  20539132  20539022  20539151  98987608    +         2.3   15.2   2.0  -
SUPER_7              -          TR                   -               28     125   9037676   9037766   9037656   9037786  98987608    +         2.3   15.2   2.9  -
SUPER_6              -          TR                   -               28     124  27063182  27063085  27063201  27063065 119776152    -         2.4   15.2   3.3  -
SUPER_1              -          TR                   -               28     124  23786695  23786612  23786714  23786592 159095547    -         2.4   15.2   1.9  -
SUPER_7              -          TR                   -               29     126  61319256  61319354  61319236  61319364  98987608    +         2.4   15.2   4.1  -
SUPER_3              -          TR                   -               67     125  93249293  93249220  93249352  93249200 129061592    -         2.4   15.2   3.2  -
SUPER_1              -          TR                   -               31     125  24117344  24117439  24117324  24117451 159095547    +         2.4   15.2   3.3  -
SUPER_7              -          TR                   -               69     130   4845385   4845443   4845310   4845462  98987608    +         2.4   15.2   4.0  -
SUPER_2              -          TR                   -               52     123 107125506 107125416 107125553 107125396 130109640    -         2.5   15.2   0.0  -
SUPER_5              -          TR                   -               65     124  14932551  14932488  14932572  14932468 121366304    -         2.5   15.1   0.3  -
SUPER_4              -          TR                   -               24     125  20957210  20957312  20957193  20957331 121921648    +         2.5   15.1   3.6  -
SUPER_2              -          TR                   -               26     125  47864996  47864887  47865012  47864867 130109640    -         2.5   15.1   3.6  -
SUPER_1              -          TR                   -                1      53  28350428  28350478  28350428  28350510 159095547    +         2.6   15.1   0.2  -
SUPER_4              -          TR                   -               23     121  56976992  56977105  56976977  56977125 121921648    +         2.6   15.1   3.7  -
SUPER_1              -          TR                   -                1      64  13678931  13678992  13678931  13679012 159095547    +         2.6   15.1   1.6  -
SUPER_1              -          TR                   -               24     125 157169469 157169565 157169455 157169585 159095547    +         2.6   15.1   2.9  -
SUPER_3              -          TR                   -               27     124 117661726 117661642 117661744 117661630 129061592    -         2.6   15.1   2.9  -
SUPER_1              -          TR                   -               29     124  36153353  36153246  36153372  36153226 159095547    -         2.6   15.1   3.4  -
SUPER_2              -          TR                   -               65     125 118988862 118988807 118988879 118988787 130109640    -         2.7   15.1   0.3  -
SUPER_3              -          TR                   -               24     124 103491847 103491940 103491832 103491960 129061592    +         2.7   15.0   3.5  -
SUPER_6              -          TR                   -               27     125 100633424 100633532 100633406 100633552 119776152    +         2.7   15.0   2.9  -
SUPER_1              -          TR                   -               27     125 154029963 154029871 154029982 154029851 159095547    -         2.7   15.0   2.4  -
SUPER_3              -          TR                   -               28     124  32509232  32509135  32509251  32509115 129061592    -         2.7   15.0   3.4  -
SUPER_5              -          TR                   -               30     125  48736974  48737070  48736956  48737087 121366304    +         2.7   15.0   2.9  -
SUPER_4              -          TR                   -                1      62  23301451  23301392  23301451  23301372 121921648    -         2.8   15.0   1.7  -
SUPER_5              -          TR                   -                1      62  98482776  98482835  98482776  98482858 121366304    +         2.8   15.0   2.4  -
SUPER_2              -          TR                   -               27     124   8990064   8990141   8990049   8990161 130109640    +         2.8   15.0   1.8  -
SUPER_2              -          TR                   -               30     125   8923869   8923780   8923890   8923760 130109640    -         2.8   15.0   2.5  -
SUPER_4              -          TR                   -               25     124  37882056  37882172  37882041  37882189 121921648    +         2.8   15.0   4.3  -
SUPER_3              -          TR                   -               28     124 128773998 128774087 128773979 128774107 129061592    +         2.8   15.0   4.1  -
SUPER_4              -          TR                   -               25     125   8073325   8073224   8073342   8073204 121921648    -         2.8   15.0   2.8  -
SUPER_6              -          TR                   -                1      62 119077642 119077583 119077642 119077563 119776152    -         2.8   15.0   2.3  -
SUPER_6              -          TR                   -               51     127  98196656  98196733  98196614  98196751 119776152    +         2.8   15.0   2.2  -
SUPER_2              -          TR                   -               22     124   9409640   9409521   9409652   9409501 130109640    -         2.8   14.9   2.4  -
SUPER_7              -          TR                   -               24     125   7741238   7741320   7741221   7741340  98987608    +         2.8   14.9   1.2  -
SUPER_1              -          TR                   -               30     124  38409902  38409807  38409918  38409788 159095547    -         2.9   14.9   2.9  -
SUPER_7              -          TR                   -               44     125  70523811  70523879  70523785  70523899  98987608    +         2.9   14.9   1.0  -
SUPER_6              -          TR                   -               34     122  52123202  52123127  52123221  52123105 119776152    -         2.9   14.9   5.3  -
SUPER_3              -          TR                   -               24     125 116711260 116711341 116711245 116711361 129061592    +         2.9   14.9   1.5  -
SUPER_6              -          TR                   -               16     124  26901414  26901319  26901420  26901299 119776152    -         2.9   14.9   3.3  -
SUPER_5              -          TR                   -               68     124   2886572   2886623   2886552   2886642 121366304    +         2.9   14.9   0.3  -
SUPER_2              -          TR                   -               68     129 124897556 124897498 124897633 124897482 130109640    -         2.9   14.9   3.2  -
SUPER_4              -          TR                   -               32     128   3076551   3076653   3076528   3076670 121921648    +         2.9   14.9   5.3  -
SUPER_3              -          TR                   -               29     125   9301293   9301397   9301272   9301416 129061592    +         2.9   14.9   4.6  -
SUPER_1              -          TR                   -               24     123  17765760  17765654  17765772  17765634 159095547    -           3   14.9   3.6  -
SUPER_1              -          TR                   -               68     123  18497055  18496996  18497132  18496982 159095547    -           3   14.9   3.8  -
SUPER_7              -          TR                   -               27     124  40413921  40413815  40413937  40413795  98987608    -           3   14.9   2.0  -
SUPER_7              -          TR                   -               30     125   1862099   1862003   1862119   1861983  98987608    -           3   14.9   3.4  -
SUPER_1              -          TR                   -               28     129  64931815  64931909  64931796  64931931 159095547    +           3   14.9   4.7  -
SUPER_7              -          TR                   -               29     124  77999476  77999572  77999455  77999592  98987608    +         3.1   14.8   3.6  -
SUPER_1              -          TR                   -               24     125  21472838  21472757  21472858  21472737 159095547    -         3.1   14.8   0.7  -
SUPER_1              -          TR                   -               23     125  81059422  81059518  81059409  81059538 159095547    +         3.1   14.8   1.6  -
SUPER_6              -          TR                   -               28     125 114975561 114975455 114975580 114975435 119776152    -         3.1   14.8   4.1  -
SUPER_5              -          TR                   -               67     125  94412780  94412728  94412811  94412709 121366304    -         3.1   14.8   0.0  -
SUPER_5              -          TR                   -               67     126  92772659  92772578  92772717  92772561 121366304    -         3.2   14.8   2.7  -
SUPER_6              -          TR                   -               25     125  85798107  85798018  85798122  85797998 119776152    -         3.2   14.8   1.8  -
SUPER_2              -          TR                   -               27     125 108203434 108203526 108203415 108203546 130109640    +         3.2   14.8   2.3  -
SUPER_5              -          TR                   -               28     130 109684042 109684154 109684024 109684174 121366304    +         3.2   14.8   5.0  -
SUPER_1              -          TR                   -               24     125   8030418   8030331   8030434   8030312 159095547    -         3.2   14.8   0.8  -
SUPER_1              -          TR                   -               27     125  34210907  34210998  34210889  34211014 159095547    +         3.2   14.8   3.3  -
SUPER_6              -          TR                   -               22     125 117555780 117555676 117555793 117555656 119776152    -         3.2   14.8   3.5  -
SUPER_2              -          TR                   -               24     125 129634784 129634881 129634769 129634901 130109640    +         3.3   14.7   1.5  -
SUPER_3              -          TR                   -               34     123  85423443  85423343  85423458  85423322 129061592    -         3.3   14.7   0.0  -
SUPER_4              -          TR                   -               28     124  25173292  25173195  25173311  25173175 121921648    -         3.3   14.7   2.9  -
SUPER_1              -          TR                   -               28     124 123946818 123946704 123946838 123946685 159095547    -         3.3   14.7   4.7  -
SUPER_3              -          TR                   -               25     125 116553720 116553816 116553705 116553836 129061592    +         3.4   14.7   2.6  -
SUPER_3              -          TR                   -               67     124 104183630 104183686 104183611 104183707 129061592    +         3.4   14.7   0.0  -
SUPER_2              -          TR                   -               28     125  11059320  11059221  11059340  11059201 130109640    -         3.4   14.7   3.0  -
SUPER_6              -          TR                   -               34     125 102771393 102771294 102771416 102771274 119776152    -         3.4   14.7   3.4  -
SUPER_1              -          TR                   -               26     125   9602108   9602222   9602091   9602242 159095547    +         3.4   14.7   4.1  -
SUPER_1              -          TR                   -               68     125  27067739  27067791  27067679  27067810 159095547    +         3.4   14.7   0.7  -
SUPER_1              -          TR                   -               29     125  63336541  63336645  63336520  63336665 159095547    +         3.4   14.7   3.4  -
SUPER_5              -          TR                   -               26     130 100699601 100699524 100699618 100699492 121366304    -         3.5   14.7   1.3  -
SUPER_5              -          TR                   -               26     125  14570779  14570680  14570796  14570660 121366304    -         3.5   14.7   2.3  -
SUPER_7              -          TR                   -               49     125  96190781  96190695  96190817  96190676  98987608    -         3.5   14.6   1.5  -
SUPER_2              -          TR                   -               24     124  64105277  64105362  64105262  64105382 130109640    +         3.6   14.6   2.5  -
SUPER_1              -          TR                   -               68     123  94154720  94154661  94154795  94154647 159095547    -         3.6   14.6   2.6  -
SUPER_2              -          TR                   -               28     125   8134140   8134035   8134160   8134015 130109640    -         3.6   14.6   3.4  -
SUPER_3              -          TR                   -               67     124  94197635  94197705  94197577  94197725 129061592    +         3.6   14.6   2.6  -
SUPER_5              -          TR                   -               26     124  77559932  77559838  77559948  77559818 121366304    -         3.6   14.6   4.4  -
SUPER_4              -          TR                   -               67     132  13918079  13918152  13918025  13918171 121921648    +         3.6   14.6   2.1  -
SUPER_5              -          TR                   -              102     125 108722650 108722700 108722564 108722720 121366304    +         3.6   14.6   4.5  -
SUPER_2              -          TR                   -               29     125  18932742  18932845  18932721  18932865 130109640    +         3.6   14.6   3.4  -
SUPER_1              -          TR                   -               35     124 145381271 145381167 145381298 145381148 159095547    -         3.6   14.6   3.6  -
