# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                2     312  1554972  1554640  1554973  1554639 20978783    -     5.1e-30  111.5   0.2  -
SUPER_7              -          TR                   -                2     180  1558799  1558618  1558800  1558609 20978783    -     2.7e-15   63.2   1.2  -
SUPER_1              -          TR                   -                2     121 16242290 16242421 16242289 16242444 26298896    +       0.046   19.8   7.0  -
SUPER_11             -          TR                   -               62     125 11530632 11530704 11530612 11530725 18818133    +        0.18   17.8   2.2  -
SUPER_18             -          TR                   -                2      99  2063554  2063650  2063553  2063670 15134107    +         0.2   17.7   1.2  -
SUPER_11             -          TR                   -                2     128  2559744  2559899  2559743  2559920 18818133    +        0.25   17.4   3.3  -
SUPER_11             -          TR                   -                2      98  5303535  5303444  5303536  5303435 18818133    -        0.34   16.9   1.8  -
SUPER_8              -          TR                   -                2     124 18951442 18951323 18951443 18951303 20263679    -        0.37   16.8   2.2  -
SUPER_9              -          TR                   -              144     194  8274450  8274502  8274429  8274507 19364984    +        0.55   16.2   2.0  -
SUPER_15             -          TR                   -               21     128 13604013 13604117 13604002 13604139 17198256    +        0.83   15.7   5.9  -
SUPER_10             -          TR                   -                2     118  3824810  3824694  3824811  3824693 19346129    -           1   15.4   1.9  -
SUPER_8              -          TR                   -                2     117 11843943 11844057 11843942 11844059 20263679    +         1.1   15.3   3.9  -
SUPER_2              -          TR                   -                4      90  7340896  7340811  7340898  7340790 24055558    -         1.2   15.1   1.9  -
SUPER_10             -          TR                   -                2     100 12515142 12515044 12515143 12515026 19346129    -         1.2   15.1   1.3  -
SUPER_13             -          TR                   -               78     125 17916801 17916843 17916759 17916847 18129432    +         1.6   14.7   5.4  -
SUPER_18             -          TR                   -                2      68  2060023  2060088  2060022  2060115 15134107    +         2.2   14.3   1.1  -
SUPER_19             -          TR                   -                2      84 12191365 12191284 12191366 12191264 14903890    -         2.7   14.0   1.9  -
SUPER_2              -          TR                   -                2      99 19948672 19948576 19948673 19948556 24055558    -         2.7   14.0   1.4  -
SUPER_7              -          TR                   -               21     126 19809112 19809008 19809121 19808988 20978783    -         3.1   13.8   5.7  -
SUPER_18             -          TR                   -                2     125   326845   326735   326846   326713 15134107    -         3.3   13.7   7.2  -
SUPER_6              -          TR                   -                2     102  9023651  9023552  9023652  9023535 21716340    -         3.3   13.7   1.9  -
SUPER_13             -          TR                   -                4      84 14324309 14324207 14324311 14324187 18129432    -         3.5   13.6   1.1  -
SUPER_2              -          TR                   -                2      90  7358028  7357939  7358029  7357920 24055558    -         3.7   13.5   1.3  -
SUPER_17             -          TR                   -                2     101 11210500 11210402 11210501 11210383 15676525    -         3.7   13.5   1.3  -
SUPER_2              -          TR                   -              105     191  5086730  5086624  5086751  5086616 24055558    -         3.9   13.5   0.2  -
SUPER_10             -          TR                   -               34     122  6757325  6757225  6757348  6757206 19346129    -           4   13.4   2.9  -
SUPER_15             -          TR                   -                4      92   118590   118501   118592   118481 17198256    -         4.1   13.4   1.2  -
SUPER_12             -          TR                   -               23     128  4390902  4391006  4390892  4391026 18604724    +         4.2   13.3   5.6  -
SUPER_13             -          TR                   -                2      99  7697819  7697723  7697820  7697703 18129432    -         4.3   13.3   1.6  -
SUPER_6              -          TR                   -                4      96 18984493 18984393 18984495 18984376 21716340    -         4.3   13.3   0.1  -
SUPER_3              -          TR                   -                2      80 13047847 13047749 13047848 13047729 23446568    -         4.4   13.3   1.7  -
SUPER_6              -          TR                   -               37     157 20072114 20071961 20072134 20071954 21716340    -         4.5   13.2   1.8  -
SUPER_6              -          TR                   -                2      94  3286363  3286454  3286362  3286474 21716340    +         4.6   13.2   6.9  -
SUPER_10             -          TR                   -               45     129 11624834 11624919 11624830 11624933 19346129    +         4.9   13.1   1.0  -
SUPER_9              -          TR                   -                4      64   914532   914590   914530   914638 19364984    +         5.2   13.0   2.3  -
SUPER_14             -          TR                   -                2      99 17774352 17774262 17774353 17774243 18079934    -         5.7   12.9   0.8  -
SUPER_10             -          TR                   -                2      99  9466841  9466937  9466840  9466957 19346129    +           6   12.8   2.4  -
SUPER_10             -          TR                   -                2      99  9516884  9516980  9516883  9517000 19346129    +           6   12.8   2.4  -
SUPER_10             -          TR                   -                2      99  9570743  9570839  9570742  9570859 19346129    +           6   12.8   2.4  -
SUPER_6              -          TR                   -              102     161  6953800  6953872  6953780  6953875 21716340    +         6.3   12.8   1.6  -
SUPER_18             -          TR                   -                2      90  9634693  9634780  9634692  9634803 15134107    +         6.4   12.7   0.2  -
SUPER_10             -          TR                   -                2      67  9449497  9449434  9449498  9449411 19346129    -         6.7   12.7   1.4  -
SUPER_10             -          TR                   -                2      67  9499547  9499484  9499548  9499461 19346129    -         6.7   12.7   1.4  -
