# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     315  32994134  32994460  32994134  32994462 100816232    +     1.7e-36  133.7   1.8  -
SUPER_10             -          TR                   -              171     315  14685906  14685738  14685926  14685736  54954984    -     5.2e-11   50.1   4.9  -
SUPER_10             -          TR                   -              171     315  14772175  14772007  14772195  14772005  54954984    -       6e-11   49.9   3.9  -
SUPER_10             -          TR                   -               54     194   4089067   4089200   4089047   4089201  54954984    +     3.3e-08   40.9   0.2  -
SUPER_10             -          TR                   -              177     315  14624057  14623893  14624078  14623891  54954984    -     2.6e-07   38.0   4.6  -
SUPER_4              -          TR                   -               34     169  52676977  52677109  52676960  52677129  69921773    +     0.00057   27.0   1.8  -
SUPER_3              -          TR                   -               27     131  60102056  60102157  60102042  60102175  89253841    +      0.0055   23.8   3.1  -
SUPER_11             -          TR                   -               19     165   5266664   5266817   5266654   5266821  53703759    +         0.5   17.3   3.1  -
SUPER_12             -          TR                   -               24     120  13853716  13853835  13853697  13853835  43991449    +        0.77   16.7   5.4  -
SUPER_1              -          TR                   -                1     125  88545011  88545162  88545011  88545184 100816232    +        0.95   16.4   4.0  -
SUPER_3              -          TR                   -               68     204  55250101  55249950  55250125  55249930  89253841    -        0.97   16.4   0.6  -
SUPER_6              -          TR                   -               67     136    590383    590464    590328    590489  63488181    +           1   16.3   5.0  -
SUPER_10             -          TR                   -               70     162  21962935  21962842  21962957  21962823  54954984    -           1   16.3   5.0  -
SUPER_5              -          TR                   -               34     131   9640874   9640757   9640893   9640737  69972664    -         1.2   16.1   2.9  -
SUPER_6              -          TR                   -                1      68  41499335  41499409  41499335  41499429  63488181    +         1.3   16.0   1.2  -
SUPER_12             -          TR                   -                1      62  26715387  26715448  26715387  26715470  43991449    +         1.7   15.6   2.1  -
SUPER_5              -          TR                   -               69     162  33315119  33315025  33315139  33315022  69972664    -         1.7   15.6   6.4  -
SUPER_9              -          TR                   -                1      62  50252815  50252754  50252815  50252734  58875806    -         1.7   15.6   1.9  -
SUPER_7              -          TR                   -                1      56  14329258  14329313  14329258  14329334  61557580    +           2   15.4   4.1  -
SUPER_1              -          TR                   -                1      62  80863770  80863831  80863770  80863851 100816232    +         2.1   15.3   2.2  -
