# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     315 32376122 32376448 32376122 32376450 98168673    +     1.1e-36  134.3   1.0  -
SUPER_6              -          TR                   -              171     315 39675852 39676020 39675832 39676022 54563945    +     4.5e-11   50.2   4.2  -
SUPER_6              -          TR                   -              171     315 39772247 39772415 39772227 39772417 54563945    +     1.5e-10   48.5   5.4  -
SUPER_6              -          TR                   -              177     315 39811267 39811430 39811246 39811432 54563945    +     9.9e-08   39.3   4.0  -
SUPER_8              -          TR                   -               29     169 18200219 18200082 18200232 18200062 68065914    -      0.0011   26.0   2.6  -
SUPER_5              -          TR                   -               27     130 60370512 60370612 60370492 60370628 89215487    +      0.0048   23.9   4.5  -
SUPER_1              -          TR                   -               67     137 54768260 54768350 54768206 54768374 55127264    +        0.96   16.3   6.3  -
SUPER_6              -          TR                   -               70     162 31813131 31813224 31813110 31813228 54563945    +           1   16.3   5.9  -
SUPER_8              -          TR                   -               42     141 44046696 44046814 44046677 44046834 68065914    +         1.2   16.0   2.1  -
SUPER_2              -          TR                   -                1      62 77142130 77142191 77142130 77142213 98168673    +         1.3   16.0   1.4  -
SUPER_9              -          TR                   -               96     166 35480427 35480495 35480416 35480498 56648912    +         1.5   15.7   1.9  -
SUPER_2              -          TR                   -                1      57 29863056 29863112 29863056 29863134 98168673    +         1.5   15.7   2.2  -
SUPER_2              -          TR                   -                1      57 77141670 77141726 77141670 77141747 98168673    +         1.6   15.6   1.9  -
SUPER_10             -          TR                   -               70     130  8891246  8891319  8891224  8891339 55958786    +         1.7   15.5   6.1  -
SUPER_7              -          TR                   -               69     162 38247684 38247778 38247664 38247782 50779627    +         1.9   15.4   4.7  -
SUPER_1              -          TR                   -                1      68 22606311 22606237 22606311 22606217 55127264    -           2   15.3   1.0  -
SUPER_11             -          TR                   -                1      55 42395671 42395617 42395671 42395595 56641698    -         2.2   15.2   1.5  -
SUPER_12             -          TR                   -                1      62 12101225 12101164 12101225 12101141 43614803    -         2.4   15.0   1.3  -
SUPER_6              -          TR                   -               70     166 32561292 32561389 32561272 32561392 54563945    +         2.4   15.0   3.8  -
SUPER_8              -          TR                   -                1      65 14978166 14978102 14978166 14978081 68065914    -         2.4   15.0   2.2  -
SUPER_4              -          TR                   -                1      92 53815336 53815239 53815336 53815224 86535673    -         2.5   15.0   1.3  -
SUPER_11             -          TR                   -                1      62 47613469 47613408 47613469 47613387 56641698    -         2.5   15.0   1.2  -
SUPER_2              -          TR                   -                1      62 77141945 77142006 77141945 77142026 98168673    +         2.7   14.9   1.1  -
SUPER_6              -          TR                   -               72     162 31812948 31813039 31812926 31813043 54563945    +           3   14.7   6.3  -
SUPER_10             -          TR                   -               70     165 33233878 33233974 33233857 33233983 55958786    +         3.1   14.7   6.1  -
SUPER_10             -          TR                   -               75     136   154505   154571   154478   154591 55958786    +         3.1   14.6   5.0  -
SUPER_8              -          TR                   -                1      62 14271563 14271502 14271563 14271480 68065914    -         3.2   14.6   3.4  -
SUPER_8              -          TR                   -               62     162 29238642 29238539 29238664 29238536 68065914    -         3.3   14.6   4.6  -
SUPER_6              -          TR                   -                2      65 17321998 17322061 17321997 17322081 54563945    +         3.4   14.6   2.9  -
SUPER_1              -          TR                   -              109     193 24944133 24944044 24944213 24944024 55127264    -         3.6   14.5   0.0  -
SUPER_2              -          TR                   -                1      62 21044597 21044536 21044597 21044516 98168673    -         3.6   14.5   0.9  -
SUPER_1              -          TR                   -                1      59 47308168 47308226 47308168 47308248 55127264    +         3.8   14.4   1.1  -
SUPER_1              -          TR                   -                1      60 47306103 47306162 47306103 47306184 55127264    +         3.8   14.4   1.1  -
SUPER_10             -          TR                   -               24     132 24651098 24651228 24651084 24651249 55958786    +         4.1   14.3   1.3  -
SUPER_11             -          TR                   -                1      62 37899504 37899443 37899504 37899423 56641698    -         4.2   14.2   2.9  -
SUPER_3              -          TR                   -                1      62 38020097 38020036 38020097 38020015 69042348    -         4.3   14.2   1.1  -
SUPER_6              -          TR                   -               68     122 42403956 42403894 42403976 42403874 54563945    -         4.3   14.2   1.8  -
SUPER_4              -          TR                   -                1      63 81711294 81711356 81711294 81711377 86535673    +         4.5   14.2   2.7  -
SUPER_8              -          TR                   -                1      62 14977890 14977829 14977890 14977809 68065914    -         4.5   14.1   1.5  -
SUPER_9              -          TR                   -                1      56 30501609 30501664 30501609 30501685 56648912    +         4.5   14.1   2.0  -
SUPER_9              -          TR                   -               70     162 39990029 39989936 39990050 39989932 56648912    -         4.6   14.1   6.3  -
SUPER_6              -          TR                   -               72     166 20491090 20490998 20491110 20490995 54563945    -         4.7   14.1   6.8  -
SUPER_5              -          TR                   -              148     189 47483941 47483898 47483961 47483891 89215487    -         4.8   14.1   1.5  -
SUPER_5              -          TR                   -              148     189 47524437 47524394 47524457 47524387 89215487    -         4.8   14.1   1.5  -
SUPER_3              -          TR                   -               30     125 58880606 58880716 58880591 58880739 69042348    +         4.9   14.0   1.5  -
SUPER_9              -          TR                   -                1      62 53971429 53971490 53971429 53971511 56648912    +         4.9   14.0   0.8  -
SUPER_5              -          TR                   -               68     158 55712365 55712255 55712389 55712234 89215487    -         4.9   14.0   0.9  -
SUPER_6              -          TR                   -                1      53  9430560  9430612  9430560  9430627 54563945    +           5   14.0   1.2  -
SUPER_3              -          TR                   -                1      62 38290333 38290272 38290333 38290248 69042348    -           5   14.0   1.6  -
SUPER_9              -          TR                   -                1      56 20069037 20069092 20069037 20069112 56648912    +         5.2   13.9   2.1  -
SUPER_5              -          TR                   -                1      61 64989310 64989370 64989310 64989391 89215487    +         5.4   13.9   1.0  -
SUPER_12             -          TR                   -                1      62 20260098 20260159 20260098 20260179 43614803    +         5.5   13.9   0.9  -
SUPER_12             -          TR                   -                1      55  6485958  6485904  6485958  6485884 43614803    -         5.5   13.8   2.7  -
SUPER_3              -          TR                   -               32     162 21942665 21942529 21942681 21942527 69042348    -         5.6   13.8   7.1  -
SUPER_5              -          TR                   -                1      62 50513072 50513011 50513072 50512989 89215487    -         5.6   13.8   1.4  -
SUPER_9              -          TR                   -               73     162 19214643 19214734 19214622 19214738 56648912    +         5.7   13.8   4.3  -
SUPER_7              -          TR                   -               50     141  2633404  2633290  2633423  2633270 50779627    -         5.7   13.8   2.5  -
SUPER_6              -          TR                   -               29     128     9698     9813     9683     9833 54563945    +         5.7   13.8   6.5  -
SUPER_10             -          TR                   -               57     141 34495208 34495117 34495235 34495098 55958786    -         5.8   13.8   5.1  -
SUPER_3              -          TR                   -                1      62 31206136 31206075 31206136 31206052 69042348    -         5.8   13.8   2.6  -
SUPER_1              -          TR                   -               70     138 24574285 24574364 24574265 24574384 55127264    +         5.8   13.8   2.9  -
SUPER_10             -          TR                   -                3      84 30779862 30779945 30779861 30779965 55958786    +         5.9   13.8   2.3  -
SUPER_2              -          TR                   -                1      62 66261383 66261444 66261383 66261464 98168673    +           6   13.7   3.0  -
SUPER_12             -          TR                   -                1      89 32580075 32580169 32580075 32580186 43614803    +         6.1   13.7   1.8  -
SUPER_8              -          TR                   -                1      84 37587473 37587384 37587473 37587364 68065914    -         6.2   13.7   3.3  -
SUPER_1              -          TR                   -                1      62 47310234 47310295 47310234 47310316 55127264    +         6.3   13.7   1.8  -
SUPER_5              -          TR                   -                1      61 19935806 19935746 19935806 19935678 89215487    -         6.5   13.6   3.3  -
SUPER_2              -          TR                   -                1      62 42555884 42555823 42555884 42555801 98168673    -         6.5   13.6   2.6  -
SUPER_2              -          TR                   -                1      58 73515154 73515211 73515154 73515232 98168673    +         6.6   13.6   1.9  -
SUPER_2              -          TR                   -                1      84 18581496 18581406 18581496 18581386 98168673    -         6.6   13.6   3.4  -
SUPER_8              -          TR                   -                1      62 58524526 58524587 58524526 58524609 68065914    +           7   13.5   4.0  -
SUPER_2              -          TR                   -               68     162 26620350 26620255 26620368 26620251 98168673    -         7.1   13.5   4.9  -
SUPER_4              -          TR                   -                4      97 61914028 61913935 61914029 61913913 86535673    -         7.1   13.5   4.7  -
SUPER_5              -          TR                   -                1      62 44819187 44819248 44819187 44819268 89215487    +         7.1   13.5   1.3  -
SUPER_6              -          TR                   -                1      62 26085784 26085723 26085784 26085703 54563945    -         7.3   13.5   2.9  -
SUPER_2              -          TR                   -                1      63 42838821 42838759 42838821 42838737 98168673    -         7.3   13.5   1.0  -
SUPER_2              -          TR                   -                1      59 45397468 45397526 45397468 45397547 98168673    +         7.4   13.4   1.4  -
SUPER_12             -          TR                   -                1      64 32499328 32499265 32499328 32499244 43614803    -         7.4   13.4   1.1  -
SUPER_3              -          TR                   -                1      62 36923066 36923005 36923066 36922985 69042348    -         7.5   13.4   1.2  -
SUPER_8              -          TR                   -              108     160 63578589 63578522 63578613 63578522 68065914    -         7.6   13.4   0.3  -
SUPER_4              -          TR                   -               73     128 43161852 43161782 43161872 43161762 86535673    -         7.6   13.4   1.7  -
SUPER_5              -          TR                   -                1      60 34898282 34898341 34898282 34898364 89215487    +         7.7   13.4   1.8  -
SUPER_1              -          TR                   -                1      61 47313121 47313181 47313121 47313202 55127264    +         7.8   13.4   1.8  -
SUPER_10             -          TR                   -                1      60 29699071 29699130 29699071 29699150 55958786    +         7.8   13.4   1.6  -
SUPER_5              -          TR                   -                1      62 47552129 47552068 47552129 47552048 89215487    -           8   13.3   1.5  -
SUPER_8              -          TR                   -                1      60  8229050  8228991  8229050  8228969 68065914    -           8   13.3   1.3  -
SUPER_5              -          TR                   -                1      62 44817371 44817432 44817371 44817454 89215487    +           8   13.3   1.7  -
SUPER_4              -          TR                   -               69     162 40724087 40723993 40724108 40723989 86535673    -           8   13.3   4.4  -
SUPER_5              -          TR                   -                1      62  1564814  1564753  1564814  1564731 89215487    -         8.1   13.3   0.7  -
SUPER_1              -          TR                   -                2      62    51822    51882    51821    51903 55127264    +         8.1   13.3   1.2  -
SUPER_1              -          TR                   -                1      62 20042534 20042595 20042534 20042618 55127264    +         8.1   13.3   1.1  -
SUPER_11             -          TR                   -                1      60  8475249  8475308  8475249  8475330 56641698    +         8.1   13.3   1.2  -
SUPER_4              -          TR                   -               71     162 20254129 20254037 20254150 20254017 86535673    -         8.2   13.3   5.6  -
SUPER_9              -          TR                   -                1      62  6143487  6143426  6143487  6143406 56648912    -         8.3   13.3   1.8  -
SUPER_2              -          TR                   -               24     128 10877075 10877173 10877055 10877195 98168673    +         8.4   13.3   5.2  -
