# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_12             -          TR                   -                1     316  95356255  95355933  95356255  95355928 109321231    -     1.9e-23   92.0   1.7  -
SUPER_4              -          TR                   -               68     165  26650695  26650800  26650676  26650802 139544967    +        0.01   24.0   0.6  -
SUPER_12             -          TR                   -               50     122 108558677 108558599 108558693 108558582 109321231    -        0.13   20.3   0.1  -
SUPER_14             -          TR                   -               18     147  57278507  57278372  57278516  57278357  93858413    -        0.71   17.9   3.7  -
SUPER_3              -          TR                   -                1     125  84392736  84392865  84392736  84392885 143024279    +        0.77   17.8   0.9  -
SCAFFOLD_100         -          TR                   -               62     122      4733      4671      4747      4656    296348    -         1.5   16.9   0.5  -
SUPER_11             -          TR                   -                2      85  81455748  81455659  81455749  81455637 110436873    -         1.6   16.7   1.3  -
SUPER_10             -          TR                   -                2      79  71383874  71383787  71383875  71383756 112284223    -         1.8   16.6   3.0  -
SUPER_2              -          TR                   -                2      80  98474264  98474166  98474265  98474140 147667653    -         3.2   15.8   3.5  -
SUPER_14             -          TR                   -                2      90  55237533  55237627  55237532  55237651  93858413    +         4.2   15.4   2.4  -
SUPER_12             -          TR                   -               68     125 108560918 108560869 108560942 108560849 109321231    -         4.4   15.3   2.8  -
SUPER_9              -          TR                   -                2      85  82380032  82379943  82380033  82379922 115358485    -         4.4   15.3   1.9  -
SUPER_12             -          TR                   -               57     108 108561992 108561897 108562011 108561869 109321231    -         4.7   15.2   0.2  -
SUPER_1              -          TR                   -              172     245  67118526  67118628  67118525  67118645 179532095    +         4.9   15.2   0.8  -
SUPER_9              -          TR                   -                2      86  82125136  82125046  82125137  82125026 115358485    -         5.5   15.0   2.3  -
SUPER_6              -          TR                   -                2      85  79579523  79579434  79579524  79579408 126181387    -         5.7   15.0   2.4  -
SUPER_1              -          TR                   -               68     180  37471271  37471408  37471248  37471416 179532095    +           6   14.9   3.9  -
SCAFFOLD_100         -          TR                   -               67     125      7045      6974      7074      6954    296348    -         7.8   14.5   2.5  -
SUPER_1              -          TR                   -              182     276 157249937 157249847 157249942 157249827 179532095    -         8.2   14.4   0.1  -
SUPER_1              -          TR                   -              171     249 105443958 105444067 105443957 105444087 179532095    +         8.7   14.4   0.4  -
SUPER_3              -          TR                   -                2      84  65091632  65091720  65091631  65091740 143024279    +         8.9   14.3   1.9  -
SUPER_12             -          TR                   -               69     122 108560843 108560907 108560826 108560930 109321231    +         9.1   14.3   1.9  -
SCAFFOLD_100         -          TR                   -               63     111      8122      8021      8144      8002    296348    -         9.5   14.2   1.5  -
SUPER_10             -          TR                   -                2      65  71397640  71397577  71397641  71397526 112284223    -         9.8   14.2   4.7  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Ulmus_glabra/assembly/curated/drUlmGlab3.1/drUlmGlab3.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Ulmus_glabra.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Ulmus_glabra/assembly/curated/drUlmGlab3.1/drUlmGlab3.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:18:46 2025
# [ok]
