# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_12             -          TR                   -                1     251  59539820  59539509  59539820  59539488 179823984    -     6.6e-11   51.5   5.4  -
SUPER_1              -          TR                   -                2     317  91005345  91005686  91005344  91005686 254279466    +     8.4e-10   47.9   2.6  -
SUPER_3              -          TR                   -                2     301  83012990  83013338  83012989  83013356 229880680    +     4.2e-07   39.1   2.8  -
SUPER_3              -          TR                   -               61     134 191477397 191477466 191477379 191477473 229880680    +       0.065   22.0   0.3  -
SUPER_9              -          TR                   -              175     275  37593868  37593751  37593874  37593730 189642332    -       0.091   21.5   0.4  -
SUPER_14             -          TR                   -              175     276 145176379 145176498 145176373 145176518 167008461    +        0.15   20.8   0.2  -
SUPER_9              -          TR                   -               66     130 137586383 137586321 137586408 137586303 189642332    -        0.15   20.8   0.4  -
SUPER_11             -          TR                   -               62     130 157355453 157355385 157355472 157355365 182631858    -        0.15   20.8   0.1  -
SUPER_13             -          TR                   -               51     131 125031336 125031230 125031370 125031211 167886975    -        0.19   20.5   0.7  -
SUPER_12             -          TR                   -              105     238 157564345 157564494 157564324 157564531 179823984    +        0.34   19.7   0.0  -
SUPER_6              -          TR                   -               30     130 178798827 178798945 178798809 178798966 206533211    +        0.34   19.7   3.1  -
SUPER_3              -          TR                   -               66     130  12426442  12426381  12426465  12426363 229880680    -         1.1   17.9   0.0  -
SUPER_5              -          TR                   -               62     130 111709244 111709303 111709225 111709314 219071506    +         1.5   17.5   0.0  -
SUPER_9              -          TR                   -               29     129 163634212 163634334 163634198 163634354 189642332    +         2.1   17.0   3.4  -
SUPER_13             -          TR                   -                1     142  45766139  45766307  45766139  45766325 167886975    +         2.3   16.9   0.5  -
SUPER_1              -          TR                   -               66     130 177004573 177004629 177004556 177004650 254279466    +         2.8   16.6   0.0  -
SUPER_9              -          TR                   -               27     141 131525935 131526064 131525914 131526084 189642332    +         3.1   16.5   7.0  -
SUPER_6              -          TR                   -              152     226  48597840  48597908  48597819  48597924 206533211    +         3.2   16.5   0.4  -
SUPER_7              -          TR                   -              165     213  35421206  35421255  35421186  35421286 206348452    +         3.3   16.4   2.4  -
SUPER_2              -          TR                   -               68     140 142173771 142173863 142173741 142173883 232518572    +         3.4   16.4   2.8  -
SUPER_9              -          TR                   -                1     100  46879203  46879301  46879203  46879318 189642332    +         3.4   16.4   1.3  -
SUPER_5              -          TR                   -                1      51 208081151 208081199 208081151 208081220 219071506    +         3.6   16.3   0.2  -
SUPER_6              -          TR                   -               31     126 163294145 163294271 163294137 163294292 206533211    +         3.8   16.2   2.6  -
SUPER_7              -          TR                   -                7     128  87802326  87802470  87802326  87802491 206348452    +         3.9   16.2   3.5  -
SUPER_9              -          TR                   -               69     141  14005337  14005395  14005316  14005419 189642332    +         5.3   15.7   0.2  -
SUPER_9              -          TR                   -                1      95  74765979  74766095  74765979  74766115 189642332    +         5.9   15.6   0.0  -
SUPER_10             -          TR                   -               39     141  53276183  53276064  53276203  53276044 185387988    -           6   15.6   4.5  -
SUPER_6              -          TR                   -               31     126  78260457  78260581  78260451  78260602 206533211    +         6.2   15.5   2.6  -
SUPER_3              -          TR                   -               65     129  13106332  13106390  13106312  13106409 229880680    +         6.6   15.4   0.0  -
SUPER_7              -          TR                   -               90     170  27346823  27346738  27346857  27346738 206348452    -         6.7   15.4   0.3  -
SUPER_3              -          TR                   -               68     141 171994268 171994363 171994246 171994383 229880680    +           8   15.2   4.7  -
SUPER_4              -          TR                   -               27     127  43482471  43482346  43482483  43482326 229829743    -           8   15.2   4.2  -
SUPER_10             -          TR                   -               71     142 146063119 146063210 146063096 146063230 185387988    +         8.1   15.1   3.4  -
SUPER_6              -          TR                   -               71     141   4845667   4845756   4845644   4845776 206533211    +         9.4   14.9   4.0  -
SUPER_11             -          TR                   -               33     128 143531206 143531087 143531223 143531066 182631858    -         9.5   14.9   4.9  -
SUPER_3              -          TR                   -                1      84  16318312  16318231  16318312  16318211 229880680    -         9.7   14.9   0.8  -
SUPER_3              -          TR                   -               14     130 176286541 176286724 176286534 176286744 229880680    +         9.9   14.9   0.0  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/monocots/Polypogon_viridis/assembly/curated/lpPolViri1.1/lpPolViri1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Polypogon_viridis.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/monocots/Polypogon_viridis/assembly/curated/lpPolViri1.1/lpPolViri1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:16:33 2025
# [ok]
