# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_11             -          TR                   -                1     316 22235218 22235540 22235218 22235541 30575047    +     4.6e-42  152.2   0.8  -
SUPER_12             -          TR                   -                2     162  2566436  2566614  2566435  2566634 30535930    +        0.15   19.2   0.0  -
SUPER_11             -          TR                   -                2     122 15332137 15332288 15332136 15332315 30575047    +        0.23   18.6   0.9  -
SUPER_29             -          TR                   -               28     130 23007156 23007258 23007140 23007276 23776414    +        0.29   18.3   2.6  -
SUPER_8              -          TR                   -                2     162 29185896 29186081 29185895 29186101 31699893    +         0.3   18.2   0.8  -
SUPER_13             -          TR                   -                2     123 16731102 16730944 16731103 16730923 30474557    -        0.54   17.4   1.5  -
SUPER_2              -          TR                   -                2     124 13901690 13901849 13901689 13901873 37364438    +         1.1   16.4   0.9  -
SUPER_13             -          TR                   -                2     163 25176480 25176665 25176479 25176685 30474557    +         1.2   16.3   0.2  -
SUPER_17             -          TR                   -               66     143  9700176  9700256  9700151  9700270 29313903    +         1.2   16.3   2.0  -
SUPER_13             -          TR                   -               26     127 28310788 28310901 28310773 28310921 30474557    +         1.4   16.1   5.6  -
SUPER_32             -          TR                   -                2     114 19325634 19325745 19325633 19325765 20420392    +         1.7   15.8   1.4  -
SUPER_20             -          TR                   -                2      84 17635250 17635340 17635249 17635360 28671124    +         2.2   15.4   2.7  -
SUPER_17             -          TR                   -                2     163 19298770 19298584 19298771 19298564 29313903    -         2.3   15.3   0.9  -
SUPER_3              -          TR                   -                2     163 33506168 33505982 33506169 33505980 35128234    -         2.7   15.1   0.0  -
SUPER_28             -          TR                   -                2     142 19144744 19144935 19144743 19144955 24184688    +         2.8   15.0   1.6  -
SUPER_16             -          TR                   -                2      65 28876373 28876436 28876372 28876453 29331030    +         2.8   15.0   2.6  -
SUPER_15             -          TR                   -                2     139 21482090 21481921 21482091 21481900 29421908    -         2.9   15.0   0.1  -
SUPER_11             -          TR                   -                2     122  4829799  4829956  4829798  4829976 30575047    +         3.2   14.9   0.8  -
SUPER_11             -          TR                   -                2     116 16839617 16839504 16839618 16839485 30575047    -         3.2   14.9   0.0  -
SUPER_29             -          TR                   -                2      96  1889262  1889358  1889261  1889438 23776414    +         3.6   14.7   5.8  -
SUPER_4              -          TR                   -                4      63 25004947 25004888 25004950 25004865 35067666    -         3.7   14.7   5.7  -
SUPER_12             -          TR                   -               59     157  8638230  8638313  8638211  8638333 30535930    +         4.1   14.5   0.1  -
