# target name        accession  query name           accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     315   14504743   14505093   14504742   14505094 1127959451    +     1.1e-15   68.7   6.6  -
SUPER_1              -          TR                   -               68     141  555297411  555297486  555297391  555297506 1127959451    +        0.17   22.1   1.4  -
SUPER_5              -          TR                   -               67     137  262392757  262392833  262392737  262392851  967807955    +        0.56   20.5   2.1  -
SUPER_4              -          TR                   -               74     133  925247209  925247268  925247183  925247288 1019676980    +        0.58   20.4   0.3  -
SUPER_5              -          TR                   -               61     135    9394579    9394509    9394600    9394491  967807955    -        0.71   20.1   1.4  -
SUPER_5              -          TR                   -               67     130   39714623   39714690   39714603   39714710  967807955    +           1   19.6   0.0  -
SUPER_2              -          TR                   -               30     127  514238814  514238702  514238833  514238682 1087409829    -         1.1   19.5   1.5  -
SUPER_7              -          TR                   -               59     130  114553991  114553924  114554010  114553904  700411051    -         1.9   18.7   0.0  -
SUPER_6              -          TR                   -               70     131   18412029   18411969   18412047   18411955  838786986    -         2.2   18.5   2.2  -
SUPER_1              -          TR                   -               67     131  308786733  308786794  308786713  308786814 1127959451    +         2.2   18.5   4.2  -
SUPER_3              -          TR                   -               69     131 1021437030 1021436978 1021437050 1021436958 1046485798    -         2.3   18.5   0.4  -
SUPER_3              -          TR                   -               67     131  661301014  661301078  661300994  661301098 1046485798    +         2.4   18.4   3.7  -
SUPER_6              -          TR                   -               34     165  301433891  301433758  301433911  301433756  838786986    -         2.5   18.3   2.5  -
SUPER_5              -          TR                   -               24     134    9191747    9191851    9191734    9191876  967807955    +         2.5   18.3   7.5  -
SUPER_9              -          TR                   -               68     131   44752651   44752590   44752670   44752570  569897023    -         2.8   18.2   3.7  -
SUPER_7              -          TR                   -               59     131  114563530  114563463  114563553  114563444  700411051    -         2.8   18.2   0.0  -
SUPER_4              -          TR                   -               71     137  122833863  122833803  122833876  122833781 1019676980    -         2.9   18.1   2.6  -
SUPER_9              -          TR                   -               71     130   30032174   30032228   30032159   30032248  569897023    +           3   18.1   0.0  -
SUPER_5              -          TR                   -               71     132  919496613  919496560  919496635  919496540  967807955    -         3.7   17.8   2.5  -
SUPER_2              -          TR                   -               68     131   23101575   23101633   23101555   23101653 1087409829    +         4.3   17.6   0.6  -
SUPER_9              -          TR                   -               68     129  550269988  550269926  550270016  550269907  569897023    -         4.4   17.5   0.0  -
SUPER_5              -          TR                   -               51     134  822694383  822694307  822694418  822694286  967807955    -         4.9   17.4   2.7  -
SUPER_3              -          TR                   -               67     130  661310751  661310805  661310733  661310825 1046485798    +           5   17.4   0.0  -
