# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_26             -          TR                   -                2     303  23859806  23860123  23859805  23860130  88858452    +     2.1e-24   96.0   3.7  -
SUPER_6              -          TR                   -                2     303  30860419  30860733  30860418  30860740 122141301    +     2.3e-24   95.8   6.1  -
SUPER_19             -          TR                   -                2     303  28036179  28036494  28036178  28036502 102847450    +     1.7e-23   93.0   5.8  -
SUPER_19             -          TR                   -                2     301  28050461  28050774  28050460  28050783 102847450    +     2.2e-23   92.6   5.3  -
SUPER_6              -          TR                   -                2     303  30849735  30850052  30849734  30850060 122141301    +       2e-22   89.4   6.8  -
SUPER_19             -          TR                   -                2     303  18855774  18855458  18855775  18855451 102847450    -     8.3e-20   80.9   4.6  -
SUPER_6              -          TR                   -                2     221  30817164  30817389  30817163  30817415 122141301    +     1.3e-16   70.4   8.6  -
SUPER_19             -          TR                   -                2     159  28057683  28057839  28057682  28057845 102847450    +     4.5e-06   35.8   9.1  -
SUPER_19             -          TR                   -              160     303  27952355  27952516  27952351  27952523 102847450    +     0.00027   30.0   1.8  -
SUPER_17             -          TR                   -                2     120  65176945  65176826  65176946  65176816 106092238    -      0.0082   25.1   0.6  -
SUPER_22             -          TR                   -                2     128  46744841  46744968  46744840  46744983  97238659    +       0.069   22.1   1.0  -
SUPER_5              -          TR                   -               19     138 105737129 105737003 105737136 105736984 123388345    -       0.074   22.0   5.5  -
SUPER_6              -          TR                   -                2     161  30867768  30867924  30867767  30867927 122141301    +       0.077   21.9   9.6  -
SUPER_6              -          TR                   -                1     102  15697941  15698035  15697941  15698055 122141301    +       0.098   21.6   0.0  -
SUPER_25             -          TR                   -                1     102   8539258   8539164   8539258   8539144  89791380    -        0.11   21.4   2.6  -
SUPER_22             -          TR                   -                2     102  10827419  10827512  10827418  10827532  97238659    +        0.11   21.3   3.1  -
SUPER_19             -          TR                   -                1     102  13916083  13915989  13916083  13915971 102847450    -        0.18   20.7   0.2  -
SUPER_17             -          TR                   -                2     128 100659087 100659213 100659086 100659228 106092238    +        0.19   20.6   1.5  -
SUPER_2              -          TR                   -                1     102  46916447  46916541  46916447  46916561 143343712    +         0.2   20.5   3.0  -
SUPER_18             -          TR                   -                2     105 101675463 101675559 101675462 101675579 104724084    +        0.24   20.3   1.2  -
SUPER_21             -          TR                   -                1     102    717049    717143    717049    717163  98542401    +        0.26   20.2   2.3  -
SUPER_25             -          TR                   -                1     102   8552519   8552425   8552519   8552405  89791380    -        0.28   20.1   3.4  -
SUPER_27             -          TR                   -                1     102  65127194  65127100  65127194  65127080  83548751    -        0.33   19.8   4.0  -
SUPER_22             -          TR                   -                2      84  42980702  42980627  42980703  42980607  97238659    -        0.34   19.8   1.0  -
SUPER_10             -          TR                   -                2      87 105770947 105771025 105770946 105771047 118122824    +         0.4   19.5   1.6  -
SUPER_17             -          TR                   -                1     102  52574997  52575091  52574997  52575111 106092238    +        0.44   19.4   2.6  -
SUPER_2              -          TR                   -                2     102  16912793  16912886  16912792  16912906 143343712    +        0.46   19.4   0.4  -
SUPER_27             -          TR                   -                1     102  57342880  57342786  57342880  57342766  83548751    -        0.52   19.2   3.7  -
SUPER_2              -          TR                   -                1     101 131720055 131720148 131720055 131720169 143343712    +        0.54   19.1   0.7  -
SUPER_25             -          TR                   -                1     102  61592741  61592647  61592741  61592627  89791380    -        0.55   19.1   3.7  -
SUPER_6              -          TR                   -                4     102  15686914  15687005  15686913  15687025 122141301    +        0.56   19.1   0.5  -
SUPER_2              -          TR                   -                1     116  51192232  51192110  51192232  51192110 143343712    -        0.57   19.0   2.1  -
SUPER_27             -          TR                   -                1     102  69171319  69171225  69171319  69171205  83548751    -        0.73   18.7   2.7  -
SUPER_14             -          TR                   -                1     102  80320401  80320495  80320401  80320515 109366910    +        0.74   18.7   1.2  -
SUPER_27             -          TR                   -                1     117  16327244  16327361  16327244  16327381  83548751    +        0.75   18.7   1.5  -
