# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                1     314  3749205  3748858  3749205  3748857 30692203    -     2.3e-10   47.1   0.3  -
SUPER_7              -          TR                   -                1     313 23967539 23967885 23967539 23967886 27055457    +     8.5e-10   45.3   1.2  -
SUPER_4              -          TR                   -              154     193 10580103 10580148 10580082 10580154 28455720    +         0.2   17.8   2.9  -
SUPER_3              -          TR                   -               46     124  2906187  2906071  2906210  2906052 29036219    -        0.73   16.0   3.1  -
SUPER_13             -          TR                   -               67     173 20582681 20582532 20582702 20582522 23771811    -         1.1   15.4   2.4  -
SUPER_6              -          TR                   -               34     133 13391644 13391755 13391625 13391773 27168385    +         1.2   15.3   0.2  -
SUPER_8              -          TR                   -              143     194 16452566 16452509 16452590 16452501 26579757    -         1.6   14.9   6.3  -
SUPER_2              -          TR                   -               38     141  8191271  8191388  8191256  8191413 29795361    +         1.6   14.8   1.1  -
SUPER_5              -          TR                   -              158     194 14405662 14405707 14405660 14405714 27387977    +         1.8   14.7   3.7  -
SUPER_6              -          TR                   -               34     129  4615805  4615713  4615823  4615693 27168385    -         2.1   14.5   0.7  -
SUPER_17             -          TR                   -               34     130 14812916 14812815 14812935 14812795 22821742    -         2.3   14.3   0.1  -
SUPER_4              -          TR                   -               73     130  3702217  3702273  3702196  3702293 28455720    +         2.3   14.3   0.4  -
SUPER_1              -          TR                   -               68     157 22923892 22923796 22923912 22923794 30692203    -         2.4   14.3   0.5  -
SUPER_1              -          TR                   -               47     130 25069851 25069939 25069827 25069959 30692203    +         2.8   14.1   0.7  -
SUPER_17             -          TR                   -              171     296  2870587  2870474  2870592  2870454 22821742    -         3.2   13.9   6.0  -
SUPER_9              -          TR                   -                1      65 24994863 24994927 24994863 24994953 26218481    +         3.4   13.8   1.6  -
SUPER_3              -          TR                   -               39     141  6579109  6578999  6579129  6578984 29036219    -         3.7   13.7   1.2  -
SUPER_12             -          TR                   -               60     130 10027563 10027499 10027588 10027474 24033610    -         3.9   13.6   4.2  -
SUPER_8              -          TR                   -               70     141  8830571  8830645  8830549  8830662 26579757    +         4.1   13.5   0.4  -
SUPER_9              -          TR                   -               55     130 20923120 20923195 20923087 20923215 26218481    +         4.3   13.5   2.5  -
SUPER_16             -          TR                   -              183     246 22951408 22951345 22951418 22951325 23087913    -         5.1   13.2   2.7  -
SUPER_3              -          TR                   -               35     131 27863708 27863816 27863689 27863836 29036219    +         5.2   13.2   0.8  -
SUPER_15             -          TR                   -              165     215 22811480 22811423 22811500 22811402 23255449    -         5.4   13.1   0.4  -
SUPER_2              -          TR                   -               35     134  8516052  8515957  8516078  8515934 29795361    -         5.6   13.1   0.8  -
SUPER_5              -          TR                   -               41     131  2216630  2216527  2216651  2216507 27387977    -         5.6   13.1   1.6  -
SUPER_5              -          TR                   -               33     130 20163899 20164001 20163882 20164021 27387977    +         5.9   13.0   0.7  -
SUPER_2              -          TR                   -               46     137 21346055 21346162 21346031 21346182 29795361    +         5.9   13.0   1.3  -
SUPER_1              -          TR                   -                1      55 22852348 22852294 22852348 22852269 30692203    -         5.9   13.0   3.3  -
SUPER_9              -          TR                   -               35     130 25526236 25526136 25526255 25526116 26218481    -           6   13.0   0.3  -
SUPER_9              -          TR                   -               40     130 20923206 20923126 20923231 20923105 26218481    -         6.3   12.9   0.8  -
SUPER_15             -          TR                   -               68     157 19521979 19522074 19521959 19522076 23255449    +         6.5   12.9   0.7  -
SUPER_10             -          TR                   -              171     295 16777215 16777327 16777210 16777346 25488914    +         6.9   12.8   5.7  -
SUPER_9              -          TR                   -                1     102  5184071  5183978  5184071  5183961 26218481    -         6.9   12.8   4.6  -
SUPER_1              -          TR                   -               67     136  9343928  9344009  9343887  9344024 30692203    +         7.3   12.7   1.9  -
SUPER_6              -          TR                   -               37     156 13175248 13175381 13175228 13175400 27168385    +         7.8   12.6   2.0  -
SUPER_16             -          TR                   -                2      60  5369605  5369661  5369604  5369681 23087913    +         7.9   12.6   2.6  -
SUPER_8              -          TR                   -                1      55 19185350 19185296 19185350 19185272 26579757    -         8.1   12.6   4.7  -
SUPER_10             -          TR                   -               69     133 21543825 21543766 21543846 21543746 25488914    -         8.2   12.5   0.7  -
SUPER_1              -          TR                   -               58     130 23007644 23007724 23007610 23007744 30692203    +         8.5   12.5   0.2  -
SUPER_5              -          TR                   -                1      55 21165107 21165161 21165107 21165184 27387977    +         8.8   12.4   2.5  -
SUPER_3              -          TR                   -                1      54 26964369 26964316 26964369 26964294 29036219    -         8.8   12.4   2.3  -
SUPER_2              -          TR                   -                1      56   793932   793877   793932   793852 29795361    -         9.2   12.4   2.6  -
SUPER_5              -          TR                   -                1      56 21839795 21839850 21839795 21839875 27387977    +         9.2   12.4   2.6  -
SUPER_2              -          TR                   -                1      46 22271092 22271047 22271092 22271023 29795361    -         9.3   12.4   6.4  -
SUPER_5              -          TR                   -                1      55 24100346 24100400 24100346 24100422 27387977    +         9.4   12.3   2.5  -
SUPER_1              -          TR                   -                1      55 17991216 17991162 17991216 17991137 30692203    -         9.6   12.3   2.6  -
SUPER_1              -          TR                   -                1      55 22851998 22851944 22851998 22851919 30692203    -         9.6   12.3   2.6  -
SUPER_10             -          TR                   -                1      55 21833400 21833346 21833400 21833321 25488914    -         9.6   12.3   2.6  -
