# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -               24     204  1280451  1280625  1280434  1280651 35523924    +     2.6e-07   37.1   1.1  -
SUPER_7              -          TR                   -               35     166 11165665 11165512 11165686 11165508 24781397    -     0.00089   25.4   3.3  -
SUPER_19             -          TR                   -               24     129 13049504 13049402 13049520 13049381 16957264    -       0.013   21.6   4.3  -
SUPER_7              -          TR                   -               24     123  5781767  5781662  5781781  5781642 24781397    -       0.048   19.7   5.0  -
SUPER_11             -          TR                   -               76     165 14264714 14264599 14264734 14264595 20044415    -       0.075   19.1   1.3  -
SUPER_13             -          TR                   -               20     163 14213113 14213259 14213105 14213267 19572699    +       0.076   19.1   9.7  -
SUPER_4              -          TR                   -               47     130 12402074 12401939 12402102 12401919 25662992    -       0.098   18.7   1.6  -
SUPER_15             -          TR                   -               79     162  4588092  4587997  4588112  4587995 18046598    -         0.1   18.7   6.7  -
SUPER_15             -          TR                   -               68     141  2603207  2603281  2603177  2603301 18046598    +        0.12   18.5   0.5  -
SUPER_1              -          TR                   -              103     163 34655107 34655047 34655123 34655036 35523924    -        0.13   18.3   1.6  -
SUPER_3              -          TR                   -               27     126 24355069 24355165 24355051 24355186 26723202    +        0.23   17.5   2.1  -
SUPER_13             -          TR                   -               63     141 18362970 18363049 18362950 18363079 19572699    +        0.24   17.5   2.3  -
SUPER_11             -          TR                   -               27     122 18130258 18130342 18130247 18130362 20044415    +        0.27   17.3   0.2  -
SUPER_9              -          TR                   -               28     122  2080046  2079963  2080057  2079943 20232413    -        0.35   16.9   1.3  -
SUPER_1              -          TR                   -               72     173 30790018 30790122 30789980 30790135 35523924    +        0.36   16.9   2.5  -
SUPER_1              -          TR                   -               91     163 34655271 34655199 34655288 34655196 35523924    -        0.39   16.8   2.6  -
SUPER_5              -          TR                   -               90     163  2028627  2028718  2028607  2028721 25230462    +        0.47   16.5   2.3  -
SUPER_6              -          TR                   -               27     122  1273016  1272929  1273028  1272910 24968750    -        0.51   16.4   1.1  -
SUPER_2              -          TR                   -               25     129 25436473 25436662 25436460 25436679 33126581    +        0.53   16.3   3.0  -
SUPER_7              -          TR                   -               48     122 15528109 15528193 15528087 15528212 24781397    +        0.56   16.2   0.3  -
SUPER_17             -          TR                   -               63     124   582043   581987   582063   581967 17338928    -        0.61   16.1   0.0  -
SUPER_4              -          TR                   -               68     130  6218722  6218656  6218748  6218636 25662992    -        0.64   16.1   5.2  -
SUPER_14             -          TR                   -               28     121 18743536 18743618 18743524 18743639 18914180    +        0.71   15.9   0.6  -
SUPER_9              -          TR                   -               68     141   650407   650479   650387   650503 20232413    +        0.71   15.9   2.8  -
SUPER_7              -          TR                   -               71     163 19082895 19082828 19082925 19082825 24781397    -        0.75   15.8   1.6  -
SUPER_2              -          TR                   -               28     122 14438465 14438381 14438478 14438362 33126581    -        0.79   15.8   1.5  -
SUPER_9              -          TR                   -               65     141 17040874 17040948 17040827 17040968 20232413    +        0.84   15.7   8.3  -
SUPER_1              -          TR                   -               76     140 10143330 10143266 10143350 10143246 35523924    -        0.85   15.7   2.3  -
SUPER_15             -          TR                   -               28     121  5617614  5617699  5617602  5617720 18046598    +        0.85   15.7   0.5  -
SUPER_7              -          TR                   -               42     142 17778868 17778968 17778835 17778988 24781397    +        0.92   15.5   2.6  -
SUPER_6              -          TR                   -               28     121 18891675 18891591 18891686 18891571 24968750    -        0.95   15.5   0.6  -
SUPER_15             -          TR                   -               28     127  7084809  7084910  7084798  7084924 18046598    +           1   15.4   2.1  -
SUPER_11             -          TR                   -               74     143 10004009 10004073 10003977 10004093 20044415    +         1.1   15.3   1.2  -
SUPER_4              -          TR                   -               71     141  9498730  9498634  9498753  9498615 25662992    -         1.1   15.3   0.7  -
SUPER_15             -          TR                   -               67     138  9147151  9147079  9147179  9147059 18046598    -         1.1   15.3   2.7  -
SUPER_9              -          TR                   -               73     134 17546967 17546917 17546990 17546895 20232413    -         1.2   15.2   0.2  -
SUPER_1              -          TR                   -              100     163 34655186 34655123 34655199 34655120 35523924    -         1.2   15.2   1.8  -
SUPER_2              -          TR                   -               68     142 10807216 10807306 10807185 10807326 33126581    +         1.3   15.1   0.3  -
