# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                1     312 50606116 50606425 50606116 50606429 72203476    +     1.7e-26  100.4   7.2  -
SUPER_7              -          TR                   -               91     260  2813672  2813485  2813693  2813464 69097852    -     9.2e-09   42.2  10.4  -
SUPER_3              -          TR                   -                1     129  2659617  2659785  2659617  2659805 73878147    +       0.013   22.0   0.0  -
SUPER_6              -          TR                   -                1     141 66786676 66786536 66786676 66786516 69416741    -       0.055   20.0   5.0  -
SUPER_1              -          TR                   -                1      97 72438705 72438794 72438705 72438814 76780317    +       0.084   19.4   2.2  -
SUPER_3              -          TR                   -                1      93 37891679 37891769 37891679 37891789 73878147    +       0.095   19.2   2.0  -
SUPER_8              -          TR                   -                1      94  3484822  3484908  3484822  3484928 64266948    +        0.13   18.7   3.1  -
SUPER_5              -          TR                   -                1      97 53712573 53712662 53712573 53712682 72203476    +        0.37   17.3   1.3  -
SUPER_2              -          TR                   -                1     104 68014659 68014563 68014659 68014543 76021087    -        0.37   17.3   2.3  -
SUPER_1              -          TR                   -                1      94 65377255 65377169 65377255 65377148 76780317    -        0.41   17.1   1.1  -
SUPER_3              -          TR                   -                1      93 69481682 69481767 69481682 69481787 73878147    +        0.44   17.0   1.9  -
SUPER_7              -          TR                   -                1     102  8389532  8389433  8389532  8389413 69097852    -        0.46   16.9   2.9  -
SUPER_5              -          TR                   -                1      96 66558294 66558382 66558294 66558402 72203476    +        0.58   16.6   2.0  -
SUPER_3              -          TR                   -                3      93 37883638 37883550 37883640 37883529 73878147    -        0.63   16.5   2.7  -
SUPER_5              -          TR                   -                3      93 52833510 52833598 52833508 52833619 72203476    +        0.63   16.5   2.7  -
SUPER_4              -          TR                   -                1      96 26080111 26080023 26080111 26080003 73078136    -        0.67   16.4   1.0  -
SUPER_1              -          TR                   -                1      97 10839697 10839786 10839697 10839806 76780317    +        0.73   16.3   1.1  -
SUPER_5              -          TR                   -                1      97 51008088 51007999 51008088 51007979 72203476    -        0.79   16.2   1.0  -
HAP1_SCAFFOLD_626    -          TR                   -                1     102    22820    22919    22820    22937    34373    +        0.81   16.1   3.4  -
SUPER_2              -          TR                   -                1     102 55965967 55965868 55965967 55965850 76021087    -        0.81   16.1   3.4  -
SUPER_4              -          TR                   -                1      96 29784577 29784665 29784577 29784684 73078136    +        0.87   16.0   1.0  -
SUPER_4              -          TR                   -                1     102 29788264 29788357 29788264 29788377 73078136    +         1.1   15.7   1.8  -
SUPER_1              -          TR                   -               11     120 28313323 28313215 28313328 28313195 76780317    -         1.1   15.7   4.9  -
SUPER_1              -          TR                   -              167     224 56713727 56713780 56713707 56713799 76780317    +         1.1   15.7   5.0  -
SUPER_7              -          TR                   -                1      87 65927835 65927751 65927835 65927727 69097852    -         1.1   15.7   2.4  -
SUPER_2              -          TR                   -                1      93 22975137 22975052 22975137 22975032 76021087    -         1.1   15.7   0.8  -
SUPER_2              -          TR                   -                1      95 73495856 73495769 73495856 73495748 76021087    -         1.2   15.6   0.8  -
SUPER_6              -          TR                   -                1      98  8492415  8492505  8492415  8492525 69416741    +         1.3   15.5   1.6  -
SUPER_2              -          TR                   -                1      96 72729970 72730058 72729970 72730078 76021087    +         1.3   15.5   1.9  -
SUPER_3              -          TR                   -                1      92 21156507 21156596 21156507 21156616 73878147    +         1.3   15.5   1.3  -
SUPER_7              -          TR                   -                1      97 52751295 52751206 52751295 52751186 69097852    -         1.4   15.4   1.6  -
SUPER_6              -          TR                   -                1      95  9180340  9180253  9180340  9180233 69416741    -         1.4   15.3   2.1  -
SUPER_4              -          TR                   -                1      93 17714307 17714392 17714307 17714413 73078136    +         1.5   15.3   2.0  -
SUPER_4              -          TR                   -                1     102 20805305 20805399 20805305 20805419 73078136    +         1.5   15.3   1.8  -
SUPER_6              -          TR                   -                1     102 36779316 36779222 36779316 36779209 69416741    -         1.5   15.2   2.0  -
SUPER_5              -          TR                   -                1      96 51007612 51007524 51007612 51007504 72203476    -         1.6   15.2   1.2  -
SUPER_7              -          TR                   -                1     102 51820211 51820117 51820211 51820097 69097852    -         1.6   15.2   1.8  -
SUPER_8              -          TR                   -                1     102 63002076 63002175 63002076 63002195 64266948    +         1.7   15.1   2.4  -
SUPER_8              -          TR                   -                1      94 22774269 22774183 22774269 22774163 64266948    -         1.7   15.1   0.9  -
SUPER_7              -          TR                   -                1      96  4756304  4756216  4756304  4756196 69097852    -         1.8   15.0   1.0  -
SUPER_2              -          TR                   -                1      96 28285120 28285208 28285120 28285230 76021087    +         1.9   14.9   0.6  -
SUPER_7              -          TR                   -                1      94 17882486 17882577 17882486 17882597 69097852    +           2   14.9   1.5  -
SUPER_3              -          TR                   -                1      96  5684307  5684395  5684307  5684415 73878147    +         2.2   14.7   1.9  -
SUPER_1              -          TR                   -                1     114 62383496 62383602 62383496 62383603 76780317    +         2.4   14.6   2.7  -
SUPER_4              -          TR                   -                1      80 21083112 21083033 21083112 21083005 73078136    -         2.4   14.6   0.3  -
SUPER_1              -          TR                   -                1     109 57058220 57058119 57058220 57058098 76780317    -         2.6   14.5   3.1  -
SUPER_2              -          TR                   -                1      92 72250898 72250982 72250898 72251003 76021087    +         2.8   14.3   1.8  -
SUPER_5              -          TR                   -                1      95 64118167 64118080 64118167 64118060 72203476    -         2.9   14.3   1.2  -
SUPER_5              -          TR                   -                1      96 50020985 50021073 50020985 50021093 72203476    +         3.1   14.2   1.9  -
SUPER_7              -          TR                   -                1      96 17278662 17278574 17278662 17278554 69097852    -         3.1   14.2   2.0  -
SUPER_7              -          TR                   -                1     120 53224320 53224475 53224320 53224496 69097852    +         3.2   14.2   3.0  -
SUPER_6              -          TR                   -                1     102 20289243 20289149 20289243 20289129 69416741    -         3.5   14.1   3.0  -
SUPER_1              -          TR                   -                1      95 57291537 57291624 57291537 57291645 76780317    +         3.5   14.1   2.4  -
SUPER_5              -          TR                   -                1      97 13487931 13488020 13487931 13488040 72203476    +         3.5   14.0   2.4  -
SUPER_1              -          TR                   -                2      97  4736855  4736943  4736854  4736964 76780317    +         3.8   14.0   1.5  -
SUPER_3              -          TR                   -                1      91 59316710 59316793 59316710 59316815 73878147    +         3.9   13.9   0.6  -
SUPER_5              -          TR                   -               17     138 19666537 19666674 19666532 19666694 72203476    +         3.9   13.9   2.1  -
SUPER_4              -          TR                   -               35     129 43802979 43802872 43802997 43802857 73078136    -         4.2   13.8   2.4  -
SUPER_6              -          TR                   -               24     141 12098915 12099067 12098900 12099079 69416741    +         4.3   13.8   1.7  -
SUPER_4              -          TR                   -                1      95  4823504  4823591  4823504  4823612 73078136    +         4.3   13.7   0.4  -
SUPER_7              -          TR                   -                1      94 50504240 50504326 50504240 50504347 69097852    +         4.4   13.7   2.1  -
SUPER_1              -          TR                   -                1     101 62383269 62383362 62383269 62383376 76780317    +         4.8   13.6   2.3  -
SUPER_6              -          TR                   -               26     141 39657020 39657162 39657002 39657174 69416741    +         4.8   13.6   3.7  -
SUPER_4              -          TR                   -                1     101 23906142 23906235 23906142 23906256 73078136    +         4.8   13.6   2.0  -
SUPER_1              -          TR                   -                1     103 70234438 70234343 70234438 70234323 76780317    -         4.9   13.6   2.1  -
SUPER_3              -          TR                   -                1      95 69561530 69561443 69561530 69561422 73878147    -         4.9   13.6   0.9  -
SUPER_5              -          TR                   -                1     102    76132    76038    76132    76021 72203476    -         4.9   13.6   1.8  -
SUPER_3              -          TR                   -                1     102  4737552  4737458  4737552  4737438 73878147    -         5.2   13.5   2.4  -
SUPER_1              -          TR                   -                1     102  4952642  4952548  4952642  4952528 76780317    -         5.3   13.5   2.0  -
SUPER_4              -          TR                   -                1     102 53740009 53740103 53740009 53740116 73078136    +         5.3   13.5   1.9  -
SUPER_7              -          TR                   -               36     155 62518338 62518208 62518358 62518188 69097852    -         5.3   13.5   3.8  -
SUPER_2              -          TR                   -                1     101 73851007 73851100 73851007 73851115 76021087    +         5.3   13.5   2.2  -
