# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_18             -          TR                   -                2     313  8667995  8668310  8667975  8668312 24998426    +     3.3e-36  132.5   2.2  -
SUPER_2              -          TR                   -               34     314 20600738 20601022 20600713 20601024 30729522    +       6e-36  131.6   2.4  -
SUPER_4              -          TR                   -              123     193 10810621 10810687 10810608 10810691 30171920    +        0.05   20.3   5.0  -
SUPER_10             -          TR                   -               24     154  1694716  1694570  1694728  1694554 27138886    -        0.21   18.2   2.2  -
SUPER_7              -          TR                   -               35     141  6308320  6308217  6308342  6308197 29285871    -        0.52   16.9   2.6  -
SUPER_23             -          TR                   -                1     113 18512348 18512230 18512348 18512225 22863946    -           1   15.9   1.9  -
SUPER_5              -          TR                   -               31     124 18629411 18629320 18629429 18629300 29961039    -         1.1   15.9   2.7  -
SUPER_10             -          TR                   -                1     102  4771688  4771581  4771688  4771533 27138886    -         1.4   15.6   0.8  -
SUPER_20             -          TR                   -                1     117  1969342  1969464  1969342  1969466 24240577    +         1.9   15.1   0.7  -
SUPER_4              -          TR                   -                1     107   393809   393919   393809   393930 30171920    +         1.9   15.0   0.9  -
SUPER_23             -          TR                   -                1     102   731924   732018   731924   732038 22863946    +         2.1   14.9   2.8  -
SUPER_8              -          TR                   -                1     117 18012664 18012786 18012664 18012806 27911086    +         2.7   14.6   1.1  -
SUPER_11             -          TR                   -                1     117  3347683  3347805  3347683  3347807 26955770    +         3.1   14.4   1.0  -
SUPER_10             -          TR                   -                1     102  4771911  4771804  4771911  4771791 27138886    -         3.2   14.3   1.7  -
SUPER_7              -          TR                   -                1      86   202673   202764   202673   202787 29285871    +         3.7   14.1   1.2  -
SUPER_19             -          TR                   -              171     241 20458627 20458693 20458607 20458698 24244701    +         3.8   14.1   4.6  -
SUPER_16             -          TR                   -                1     119 25083801 25083925 25083801 25083935 25870228    +         3.8   14.1   0.5  -
SUPER_19             -          TR                   -                1      92  7117343  7117246  7117343  7117227 24244701    -         4.1   14.0   2.1  -
SUPER_22             -          TR                   -                1     117  4494917  4494795  4494917  4494792 23302370    -         4.1   14.0   1.7  -
SUPER_14             -          TR                   -                1      88 19172919 19172826 19172919 19172808 26419627    -         4.5   13.8   2.9  -
SUPER_10             -          TR                   -               68     130  4235406  4235332  4235429  4235306 27138886    -         4.6   13.8   1.9  -
SUPER_11             -          TR                   -                2      84   540334   540422   540333   540443 26955770    +         4.7   13.8   0.7  -
SUPER_11             -          TR                   -                1      84  3348499  3348588  3348499  3348608 26955770    +         5.1   13.7   0.4  -
SUPER_8              -          TR                   -                1      92  3122506  3122409  3122506  3122391 27911086    -         5.2   13.7   2.1  -
SUPER_23             -          TR                   -               67     167  8923819  8923918  8923800  8923922 22863946    +         5.2   13.6   2.4  -
SUPER_2              -          TR                   -               24     129   863893   863990   863882   864016 30729522    +         5.7   13.5   2.8  -
SUPER_14             -          TR                   -                1     116  6252730  6252855  6252730  6252875 26419627    +         5.9   13.5   1.0  -
SUPER_15             -          TR                   -                3     102  4286715  4286807  4286713  4286825 26192410    +         6.1   13.4   2.5  -
SUPER_22             -          TR                   -              172     239  2711138  2711068  2711158  2711061 23302370    -         6.3   13.4   7.9  -
SUPER_12             -          TR                   -                1     102 26352535 26352441 26352535 26352423 26842264    -         6.5   13.3   2.0  -
SUPER_15             -          TR                   -                1     116   343416   343537   343416   343539 26192410    +         6.7   13.3   1.2  -
SUPER_15             -          TR                   -                1     102  2504932  2505026  2504932  2505046 26192410    +           7   13.2   1.6  -
SUPER_24             -          TR                   -               24     203  3186927  3187131  3186916  3187151 21639016    +         7.3   13.2   3.5  -
SUPER_8              -          TR                   -                1     106 24043592 24043481 24043592 24043469 27911086    -         7.5   13.1   1.0  -
SUPER_19             -          TR                   -               56     128 23973197 23973291 23973165 23973311 24244701    +         7.5   13.1   0.2  -
SUPER_24             -          TR                   -               45     169  8523751  8523625  8523762  8523624 21639016    -         7.8   13.1   2.2  -
SUPER_17             -          TR                   -                1     123  5068670  5068784  5068670  5068804 25015465    +         8.3   13.0   0.2  -
SUPER_8              -          TR                   -                1     117  3220251  3220373  3220251  3220374 27911086    +         8.7   12.9   1.6  -
SUPER_17             -          TR                   -                1     117 24703295 24703173 24703295 24703172 25015465    -           9   12.9   1.1  -
SUPER_23             -          TR                   -               24     127 17995350 17995246 17995364 17995226 22863946    -         9.3   12.8   5.0  -
SUPER_8              -          TR                   -                2      89 11701143 11701050 11701144 11701030 27911086    -         9.5   12.8   1.6  -
SUPER_3              -          TR                   -                1     117 27391407 27391529 27391407 27391530 30449585    +         9.7   12.8   1.3  -
SUPER_3              -          TR                   -                1     117 24837366 24837244 24837366 24837224 30449585    -         9.8   12.7   1.6  -
SUPER_15             -          TR                   -                1      96 12933507 12933608 12933507 12933625 26192410    +         9.8   12.7   1.8  -
SUPER_3              -          TR                   -                2      84  5636909  5636991  5636908  5637015 30449585    +         9.9   12.7   1.3  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Myrica_gale/assembly/curated/dhMyrGale1.1/dhMyrGale1.1.primary.fa.gz
