# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -               73     214 57317119 57316986 57317144 57316927 67724493    -     0.00072   25.9   1.2  -
SUPER_2              -          TR                   -               76     144 66016074 66015985 66016095 66015971 78038214    -        0.28   17.4   1.2  -
SUPER_2              -          TR                   -              157     253 68060783 68060685 68060830 68060666 78038214    -         1.3   15.1   1.2  -
SUPER_4              -          TR                   -              132     204  2723401  2723320  2723422  2723302 67659723    -         1.5   15.0   2.0  -
SCAFFOLD_33          -          TR                   -               34     122   199170   199032   199189   199012   414606    -         1.7   14.8   0.0  -
SCAFFOLD_33          -          TR                   -               33     123   197190   197096   197208   197076   414606    -         1.7   14.8   1.1  -
SUPER_5              -          TR                   -              108     174  2345122  2345045  2345144  2345040 63223530    -         1.7   14.8   2.8  -
SUPER_1              -          TR                   -               68     161 85150491 85150398 85150511 85150374 98952058    -           2   14.6   0.2  -
SUPER_1              -          TR                   -              103     157 67097127 67097173 67097107 67097193 98952058    +         2.2   14.4   1.3  -
SUPER_5              -          TR                   -               97     166 61843648 61843719 61843627 61843723 63223530    +         2.4   14.3   0.1  -
SUPER_6              -          TR                   -              108     180 15285464 15285557 15285437 15285566 62501492    +         2.4   14.3   0.0  -
SUPER_5              -          TR                   -               67     132 17553894 17553963 17553863 17553986 63223530    +         2.4   14.3   0.0  -
SUPER_6              -          TR                   -               48     124 10832327 10832248 10832354 10832228 62501492    -         3.5   13.8   0.0  -
SUPER_4              -          TR                   -              109     166    25762    25818    25743    25822 67659723    +         3.7   13.7   0.0  -
SUPER_4              -          TR                   -              109     166    49485    49541    49466    49545 67659723    +         3.7   13.7   0.0  -
SUPER_4              -          TR                   -              109     166    73209    73265    73190    73269 67659723    +         3.7   13.7   0.0  -
SUPER_2              -          TR                   -               75     122 17422248 17422300 17422226 17422320 78038214    +         3.8   13.6   0.1  -
SUPER_1              -          TR                   -              103     163 22923640 22923705 22923620 22923706 98952058    +         3.9   13.6   3.1  -
SUPER_5              -          TR                   -               53     124 34034516 34034600 34034491 34034620 63223530    +         5.1   13.2   2.0  -
SUPER_1              -          TR                   -              105     148 97568666 97568713 97568636 97568730 98952058    +         5.3   13.2   1.9  -
SUPER_5              -          TR                   -               92     140  5486265  5486312  5486243  5486332 63223530    +         5.4   13.2   1.5  -
SUPER_6              -          TR                   -               24     120 32109370 32109471 32109356 32109484 62501492    +         5.6   13.1   0.5  -
SUPER_1              -          TR                   -               59     132 33326255 33326315 33326235 33326335 98952058    +         6.3   12.9   2.6  -
SUPER_2              -          TR                   -               92     160 69150858 69150793 69150869 69150790 78038214    -         6.8   12.8   1.0  -
SUPER_1              -          TR                   -                5     122 46668520 46668394 46668520 46668370 98952058    -         7.1   12.8   4.8  -
SUPER_2              -          TR                   -               59     130 43617074 43617157 43617039 43617179 78038214    +         7.1   12.7   0.7  -
SUPER_2              -          TR                   -              102     141 23932082 23932131 23932035 23932151 78038214    +         7.1   12.7   0.8  -
SUPER_3              -          TR                   -               68     131  5356017  5355959  5356037  5355945 67724493    -         7.3   12.7   1.2  -
SUPER_1              -          TR                   -               24     122 19259760 19259848 19259742 19259868 98952058    +         8.7   12.5   1.4  -
SUPER_4              -          TR                   -               35     137 46478754 46478862 46478735 46478882 67659723    +         8.8   12.5   1.7  -
SUPER_2              -          TR                   -               68     127 56476652 56476702 56476631 56476732 78038214    +           9   12.4   0.0  -
SUPER_4              -          TR                   -               24     165 54729516 54729380 54729531 54729360 67659723    -         9.1   12.4   1.3  -
SUPER_4              -          TR                   -               44     139   305564   305666   305536   305686 67659723    +         9.5   12.3   0.2  -
SUPER_2              -          TR                   -               95     160 69264334 69264396 69264321 69264399 78038214    +         9.8   12.3   0.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Hylocomiadelphus_triquetrus/assembly/curated/cbHylTriq8.1/cbHylTriq8.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Hylocomiadelphus_triquetrus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/non-vascular-plants/Hylocomiadelphus_triquetrus/assembly/curated/cbHylTriq8.1/cbHylTriq8.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:15:17 2025
# [ok]
