# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          TR                   -                2     314 15436506 15436171 15436507 15436168 71099383    -     5.9e-14   59.4   9.4  -
SUPER_2              -          TR                   -                5     313 14581322 14580984 14581326 14580981 59314247    -       0.044   20.4  12.5  -
SUPER_7              -          TR                   -                1     103 38080738 38080635 38080738 38080612 41485961    -        0.14   18.7   1.8  -
SUPER_11             -          TR                   -                1      92  5044904  5045006  5044904  5045028 39478074    +        0.19   18.3   6.0  -
SUPER_8              -          TR                   -                1      93  1409734  1409615  1409734  1409594 41258344    -        0.36   17.4   4.7  -
SUPER_3              -          TR                   -                1      90 37915532 37915414 37915532 37915394 46934036    -        0.41   17.2   2.8  -
SUPER_11             -          TR                   -                1      99  5050914  5051042  5050914  5051060 39478074    +        0.41   17.2   7.4  -
SUPER_7              -          TR                   -                1      90  3680043  3680160  3680043  3680179 41485961    +        0.52   16.9   3.5  -
SUPER_8              -          TR                   -                1      90  1415652  1415535  1415652  1415517 41258344    -        0.54   16.8   3.6  -
SUPER_2              -          TR                   -                1      85 51756290 51756174 51756290 51756154 59314247    -        0.59   16.7   3.9  -
SUPER_3              -          TR                   -                1      92 37909478 37909360 37909478 37909346 46934036    -        0.62   16.6   2.5  -
SUPER_3              -          TR                   -                1      92 26470354 26470236 26470354 26470225 46934036    -        0.63   16.6   3.4  -
SUPER_7              -          TR                   -                2      62 33721366 33721424 33721365 33721439 41485961    +        0.94   16.0   2.3  -
SUPER_4              -          TR                   -                1      63 39926155 39926095 39926155 39926075 45112419    -         1.1   15.7   1.5  -
SUPER_5              -          TR                   -                1      63 43023890 43023950 43023890 43023971 44531370    +         1.2   15.6   1.2  -
SUPER_8              -          TR                   -                1      63   302133   302193   302133   302214 41258344    +         1.2   15.6   1.2  -
SUPER_9              -          TR                   -                3      65  4139618  4139558  4139619  4139538 40890308    -         1.3   15.6   2.1  -
SUPER_5              -          TR                   -                1      63 24677462 24677522 24677462 24677542 44531370    +         1.3   15.6   1.7  -
SUPER_6              -          TR                   -                1      63 37946787 37946727 37946787 37946708 41664732    -         1.6   15.2   1.4  -
SUPER_6              -          TR                   -                1      63 37947079 37947019 37947079 37947001 41664732    -         1.8   15.1   1.5  -
SUPER_8              -          TR                   -                1      63 26513152 26513092 26513152 26513071 41258344    -         1.8   15.1   2.8  -
SUPER_3              -          TR                   -                1     102 28751407 28751544 28751407 28751557 46934036    +         1.8   15.1   2.3  -
SUPER_7              -          TR                   -                1      63 32333664 32333724 32333664 32333744 41485961    +         1.9   15.1   2.4  -
SUPER_7              -          TR                   -                1      63 32333949 32334009 32333949 32334029 41485961    +         1.9   15.0   1.7  -
SUPER_13             -          TR                   -                1      95  8283276  8283372  8283276  8283392 36693681    +         1.9   15.0   3.9  -
SUPER_10             -          TR                   -                1      63 10823025 10822965 10823025 10822945 40407561    -         1.9   15.0   1.1  -
SUPER_6              -          TR                   -                1      63 22714866 22714926 22714866 22714947 41664732    +         2.1   14.9   0.7  -
SUPER_2              -          TR                   -                1      64 44040717 44040656 44040717 44040636 59314247    -         2.2   14.8   0.8  -
SUPER_6              -          TR                   -                1      63 15737916 15737976 15737916 15737997 41664732    +         2.2   14.8   0.8  -
SUPER_10             -          TR                   -                1      63 11580075 11580015 11580075 11579994 40407561    -         2.2   14.8   0.7  -
SUPER_1              -          TR                   -                1      63 67609170 67609110 67609170 67609089 71099383    -         2.2   14.8   0.4  -
SUPER_5              -          TR                   -                1      63 43024173 43024233 43024173 43024256 44531370    +         2.3   14.7   0.9  -
SUPER_4              -          TR                   -                1      60 39926436 39926379 39926436 39926358 45112419    -         2.4   14.7   2.8  -
SUPER_8              -          TR                   -                1      63 10267882 10267822 10267882 10267802 41258344    -         2.4   14.7   2.0  -
SUPER_8              -          TR                   -                1      63 10268164 10268104 10268164 10268084 41258344    -         2.4   14.7   2.0  -
SUPER_6              -          TR                   -                1      63 29039268 29039328 29039268 29039349 41664732    +         2.6   14.6   0.8  -
SUPER_6              -          TR                   -                1      63 29026411 29026351 29026411 29026330 41664732    -         2.6   14.6   0.8  -
SUPER_2              -          TR                   -                1      62 36425383 36425442 36425383 36425453 59314247    +         2.6   14.6   2.6  -
SUPER_1              -          TR                   -                1      64 53822623 53822684 53822623 53822698 71099383    +         2.7   14.5   1.3  -
SUPER_1              -          TR                   -                1      63 35115674 35115614 35115674 35115594 71099383    -         2.8   14.5   1.5  -
SUPER_2              -          TR                   -                1      62 32184298 32184357 32184298 32184377 59314247    +         2.8   14.5   1.9  -
SUPER_12             -          TR                   -                2      63  6123982  6123923  6123983  6123902 37950023    -         2.8   14.5   0.9  -
SUPER_2              -          TR                   -                2      63 33637971 33638030 33637970 33638051 59314247    +         2.8   14.5   0.9  -
SUPER_2              -          TR                   -                2      63 33638254 33638313 33638253 33638334 59314247    +         2.8   14.5   0.9  -
SUPER_10             -          TR                   -                1      59  3276223  3276167  3276223  3276147 40407561    -         2.8   14.5   1.8  -
SUPER_9              -          TR                   -                1      87 22536932 22536812 22536932 22536793 40890308    -         2.8   14.4   1.8  -
SUPER_6              -          TR                   -                1      63 29026694 29026634 29026694 29026613 41664732    -         2.9   14.4   1.0  -
SUPER_7              -          TR                   -                1      63  7203795  7203735  7203795  7203714 41485961    -         2.9   14.4   1.0  -
SUPER_10             -          TR                   -                1      63  5122698  5122638  5122698  5122617 40407561    -         3.1   14.3   1.8  -
SUPER_2              -          TR                   -                1      63 44041000 44040940 44041000 44040920 59314247    -         3.1   14.3   1.2  -
SUPER_3              -          TR                   -               71     141 29279501 29279432 29279524 29279412 46934036    -         3.2   14.3   4.3  -
SUPER_4              -          TR                   -                1      63 32138197 32138257 32138197 32138269 45112419    +         3.2   14.3   1.6  -
SUPER_3              -          TR                   -                1      63 33354029 33354089 33354029 33354109 46934036    +         3.3   14.2   1.2  -
SUPER_1              -          TR                   -                1      63  4826246  4826186  4826246  4826166 71099383    -         3.3   14.2   1.7  -
SUPER_8              -          TR                   -                2      63 26558371 26558312 26558372 26558291 41258344    -         3.3   14.2   1.1  -
SUPER_9              -          TR                   -                1      63 40837473 40837413 40837473 40837390 40890308    -         3.4   14.2   2.1  -
SUPER_14             -          TR                   -                1      63  2976685  2976625  2976685  2976605 30588128    -         3.5   14.2   2.1  -
SUPER_2              -          TR                   -                1      63  4670083  4670023  4670083  4670003 59314247    -         3.5   14.2   2.1  -
SUPER_6              -          TR                   -                1      63  8809800  8809860  8809800  8809880 41664732    +         3.5   14.2   2.1  -
SUPER_2              -          TR                   -                1      63 40385728 40385668 40385728 40385647 59314247    -         3.5   14.2   0.1  -
SUPER_2              -          TR                   -                1      61 45720332 45720390 45720332 45720403 59314247    +         3.6   14.1   3.4  -
SUPER_5              -          TR                   -                1      63 27720006 27719946 27720006 27719925 44531370    -         3.6   14.1   1.0  -
SUPER_3              -          TR                   -                1      64 46807374 46807435 46807374 46807455 46934036    +         3.7   14.1   0.3  -
SUPER_11             -          TR                   -                1      63  3752425  3752365  3752425  3752353 39478074    -         3.8   14.0   1.5  -
SUPER_1              -          TR                   -                1      63 18012317 18012257 18012317 18012236 71099383    -           4   14.0   1.0  -
SUPER_11             -          TR                   -                1      63  8224622  8224682  8224622  8224692 39478074    +           4   14.0   1.1  -
SUPER_12             -          TR                   -                2      62  6123658  6123716  6123657  6123736 37950023    +         4.1   13.9   1.3  -
SUPER_12             -          TR                   -                1      63 18191860 18191920 18191860 18191941 37950023    +         4.1   13.9   0.3  -
