# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                1     316  57699771  57700093  57699771  57700095  97228067    +     1.3e-37  137.3   4.7  -
SUPER_6              -          TR                   -                3     213    356821    356615    356823    356595  94529594    -     1.4e-09   45.3   4.6  -
SUPER_7              -          TR                   -               25     227  28837271  28837060  28837285  28837040  93882647    -       0.015   22.2   7.6  -
SUPER_5              -          TR                   -                1     124  11932615  11932716  11932615  11932741  95098796    +       0.036   21.0   1.9  -
SUPER_1              -          TR                   -               67     140   3424877   3424789   3424933   3424769 103002381    -       0.048   20.6   7.9  -
SUPER_4              -          TR                   -               24     252  36989482  36989207  36989495  36989184  95356091    -       0.048   20.6   5.6  -
SUPER_1              -          TR                   -                1     129  36057453  36057559  36057453  36057580 103002381    +        0.07   20.0   2.1  -
SUPER_6              -          TR                   -               24     287  61610852  61610553  61610865  61610542  94529594    -       0.077   19.9   4.6  -
SUPER_6              -          TR                   -               24     287  61628329  61628030  61628342  61628019  94529594    -       0.077   19.9   4.6  -
SUPER_4              -          TR                   -               24     224  38250969  38250736  38250982  38250716  95356091    -       0.096   19.6   5.5  -
SUPER_5              -          TR                   -               21     145   7332986   7333123   7332978   7333143  95098796    +        0.11   19.4  10.4  -
SUPER_8              -          TR                   -                1      98  60180230  60180140  60180230  60180122  80629338    -        0.14   19.0   1.6  -
SUPER_3              -          TR                   -               25     237  51313920  51313670  51313938  51313650  95768331    -        0.15   18.9   5.5  -
SUPER_2              -          TR                   -                1      95  76881768  76881855  76881768  76881875  97228067    +        0.16   18.9   0.9  -
SUPER_7              -          TR                   -                1      96  76144441  76144529  76144441  76144549  93882647    +        0.18   18.7   0.6  -
SUPER_6              -          TR                   -                1      95  52456059  52456151  52456059  52456171  94529594    +        0.19   18.6   1.5  -
SUPER_2              -          TR                   -                1      96  33718401  33718313  33718401  33718291  97228067    -        0.22   18.4   0.5  -
SUPER_1              -          TR                   -               65     141  25147084  25147169  25147043  25147181 103002381    +        0.22   18.4   5.7  -
SUPER_7              -          TR                   -               68     130  88547647  88547704  88547583  88547724  93882647    +        0.23   18.4   6.7  -
SUPER_1              -          TR                   -               24     208  45973674  45973869  45973661  45973890 103002381    +        0.24   18.3   5.8  -
SUPER_6              -          TR                   -                1     131  63305083  63304945  63305083  63304922  94529594    -        0.26   18.2   1.9  -
SUPER_5              -          TR                   -                1      95  90883662  90883575  90883662  90883552  95098796    -        0.27   18.1   1.8  -
SUPER_3              -          TR                   -                1     131   6609624   6609732   6609624   6609751  95768331    +        0.28   18.1   1.6  -
SUPER_3              -          TR                   -                1     131   6660043   6660151   6660043   6660170  95768331    +        0.28   18.1   1.6  -
SUPER_3              -          TR                   -                1     131   6666081   6666189   6666081   6666208  95768331    +        0.28   18.1   1.6  -
SUPER_3              -          TR                   -               36     208  20551075  20550888  20551096  20550867  95768331    -        0.29   18.0   7.3  -
SUPER_7              -          TR                   -               50     210  25514943  25515107  25514923  25515151  93882647    +        0.29   18.0   6.0  -
SUPER_3              -          TR                   -               67     140  12134027  12133939  12134083  12133919  95768331    -        0.31   17.9   8.6  -
SUPER_5              -          TR                   -               24     122  83063606  83063498  83063617  83063472  95098796    -        0.34   17.8   5.1  -
SUPER_7              -          TR                   -               32     208  32117931  32118111  32117910  32118132  93882647    +        0.41   17.5   8.8  -
SUPER_7              -          TR                   -               32     208  32123319  32123499  32123298  32123520  93882647    +        0.41   17.5   8.8  -
SUPER_5              -          TR                   -                1     101   9343837   9343930   9343837   9343950  95098796    +        0.42   17.5   0.8  -
SUPER_3              -          TR                   -                1     138   7093243   7093358   7093243   7093376  95768331    +        0.44   17.4   2.8  -
SUPER_2              -          TR                   -                1      96  62023989  62023901  62023989  62023880  97228067    -        0.47   17.3   0.2  -
SUPER_5              -          TR                   -               68     130  80843169  80843225  80843149  80843245  95098796    +        0.48   17.3   2.2  -
HAP1_SCAFFOLD_107    -          TR                   -                1     133     21053     21163     21053     21183    179943    +        0.48   17.3   0.4  -
HAP1_SCAFFOLD_107    -          TR                   -                1     133    169637    169747    169637    169767    179943    +        0.48   17.3   0.4  -
SUPER_3              -          TR                   -                1     133   6817013   6817123   6817013   6817143  95768331    +        0.48   17.3   0.4  -
SUPER_3              -          TR                   -                1     133   7011477   7011587   7011477   7011607  95768331    +        0.48   17.3   0.4  -
SUPER_3              -          TR                   -                1     133   7174980   7175090   7174980   7175110  95768331    +        0.48   17.3   0.4  -
SUPER_1              -          TR                   -                1     102   7848052   7847958   7848052   7847938 103002381    -        0.52   17.2   0.7  -
SUPER_5              -          TR                   -               33     204  68612511  68612689  68612489  68612710  95098796    +        0.52   17.2  11.2  -
SUPER_7              -          TR                   -               24     208  41745887  41745700  41745900  41745679  93882647    -        0.55   17.1   8.1  -
SUPER_4              -          TR                   -                1      96   9264292   9264204   9264292   9264184  95356091    -        0.57   17.1   0.3  -
SUPER_3              -          TR                   -                1      98  87240188  87240278  87240188  87240298  95768331    +        0.57   17.0   0.5  -
SUPER_1              -          TR                   -                1      96   2599508   2599596   2599508   2599619 103002381    +        0.58   17.0   0.5  -
SUPER_7              -          TR                   -               70     130  80254162  80254107  80254191  80254082  93882647    -        0.62   16.9   0.9  -
SUPER_7              -          TR                   -               33     243  19021477  19021239  19021499  19021217  93882647    -        0.64   16.9   6.5  -
SUPER_6              -          TR                   -                1     101  46476715  46476808  46476715  46476824  94529594    +        0.64   16.9   1.3  -
SUPER_3              -          TR                   -               68     139  14752527  14752604  14752497  14752617  95768331    +        0.69   16.8   1.3  -
SUPER_5              -          TR                   -                1      97    955477    955388    955477    955365  95098796    -         0.7   16.7   1.6  -
SUPER_2              -          TR                   -                1      95  16588894  16588807  16588894  16588786  97228067    -        0.72   16.7   1.0  -
SUPER_4              -          TR                   -                1     129  62185779  62185674  62185779  62185653  95356091    -        0.72   16.7   2.2  -
SUPER_4              -          TR                   -               30     127  88539369  88539477  88539350  88539498  95356091    +        0.84   16.5   0.0  -
SUPER_7              -          TR                   -                1      96  58976011  58976099  58976011  58976119  93882647    +        0.86   16.5   1.2  -
SUPER_1              -          TR                   -               24     136  85446672  85446799  85446660  85446818 103002381    +        0.91   16.4   6.4  -
SUPER_3              -          TR                   -                1      94  68320858  68320944  68320858  68320964  95768331    +        0.93   16.4   0.3  -
SUPER_4              -          TR                   -                1      96  11941377  11941465  11941377  11941485  95356091    +        0.93   16.3   1.0  -
SUPER_5              -          TR                   -               33     209  68602511  68602693  68602489  68602714  95098796    +        0.93   16.3  10.7  -
SUPER_2              -          TR                   -               71     141   3920410   3920479   3920389   3920491  97228067    +           1   16.2   1.5  -
SUPER_1              -          TR                   -                1      96  85666439  85666527  85666439  85666547 103002381    +           1   16.2   1.4  -
SUPER_7              -          TR                   -                1     139  10352221  10352103  10352221  10352081  93882647    -           1   16.2   0.7  -
SUPER_2              -          TR                   -                2      96  43455957  43455870  43455958  43455850  97228067    -         1.1   16.2   1.3  -
SUPER_2              -          TR                   -               30     214  38467595  38467401  38467615  38467367  97228067    -         1.1   16.1   7.4  -
SUPER_3              -          TR                   -                1      95  87240400  87240487  87240400  87240508  95768331    +         1.1   16.1   1.0  -
SUPER_2              -          TR                   -               30     205  30450960  30450778  30450979  30450732  97228067    -         1.2   16.0   9.1  -
SUPER_1              -          TR                   -                1      96  17349215  17349303  17349215  17349323 103002381    +         1.2   16.0   0.2  -
SUPER_7              -          TR                   -               24     204  70310321  70310144  70310336  70310124  93882647    -         1.2   15.9   8.2  -
SUPER_7              -          TR                   -                1      96  36668126  36668214  36668126  36668235  93882647    +         1.3   15.8   0.5  -
SUPER_3              -          TR                   -                1     139   7196481   7196651   7196481   7196664  95768331    +         1.4   15.8   0.5  -
SUPER_4              -          TR                   -               22     131  91582480  91582339  91582490  91582316  95356091    -         1.4   15.7   7.2  -
SUPER_5              -          TR                   -               24     208  56800314  56800119  56800329  56800098  95098796    -         1.5   15.7   8.2  -
SUPER_2              -          TR                   -                1      96  65408375  65408463  65408375  65408483  97228067    +         1.5   15.6   1.0  -
SUPER_2              -          TR                   -              142     225  38502007  38501928  38502027  38501910  97228067    -         1.5   15.6   7.9  -
SUPER_2              -          TR                   -               31     204  32433098  32432928  32433120  32432908  97228067    -         1.6   15.6   8.3  -
SUPER_2              -          TR                   -               31     204  32443065  32442895  32443087  32442875  97228067    -         1.6   15.6   8.3  -
SUPER_7              -          TR                   -               31     204  51841264  51841094  51841286  51841074  93882647    -         1.6   15.6   8.3  -
SUPER_7              -          TR                   -               31     204  51851235  51851065  51851257  51851045  93882647    -         1.6   15.6   8.3  -
SUPER_6              -          TR                   -               32     208  44067940  44067754  44067961  44067733  94529594    -         1.7   15.5  10.0  -
