# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                2     313  17423482  17423159  17423483  17423158 103461716    -     1.8e-16   69.2   3.2  -
SUPER_3              -          TR                   -                2     312 110544683 110544999 110544682 110545000 164539761    +     1.3e-15   66.4   5.7  -
SUPER_6              -          TR                   -                2     312  81420123  81420437  81420122  81420439 103577270    +     1.3e-09   46.7   4.2  -
SUPER_9              -          TR                   -                2     312  89566827  89567102  89566826  89567103  91982210    +     2.8e-09   45.6   5.8  -
SUPER_9              -          TR                   -               23     163  32999350  32999529  32999338  32999548  91982210    +       0.012   23.9   2.7  -
SUPER_7              -          TR                   -               24     131  81216950  81216822  81216970  81216802 103461716    -         0.4   18.8   1.0  -
SUPER_11             -          TR                   -               68     166  14031709  14031578  14031729  14031560  81903174    -         1.2   17.3   0.0  -
SUPER_17             -          TR                   -               27     126  64126065  64126170  64126050  64126200  67437591    +         1.6   16.9   8.7  -
SUPER_2              -          TR                   -                1     122 172997261 172997422 172997261 172997446 179922144    +         1.7   16.8   1.4  -
SUPER_13             -          TR                   -               36     133   5784444   5784559   5784425   5784579  78864857    +         3.1   15.9   2.9  -
SUPER_14             -          TR                   -                1     113  76650699  76650837  76650699  76650849  78650027    +         3.8   15.6   1.5  -
SUPER_8              -          TR                   -               24     124  86286310  86286429  86286301  86286450 100140836    +         3.9   15.6   2.8  -
SUPER_5              -          TR                   -               25     125   1429395   1429515   1429383   1429538 121844453    +         4.1   15.5   2.8  -
SUPER_6              -          TR                   -               24     129  91632653  91632768  91632638  91632789 103577270    +         5.2   15.2   6.0  -
SUPER_2              -          TR                   -              183     248  46268742  46268622  46268749  46268602 179922144    -         5.6   15.1   3.5  -
SUPER_4              -          TR                   -              144     181  90083560  90083514  90083582  90083486 148832010    -         6.7   14.8   0.4  -
SUPER_5              -          TR                   -              182     247  98074624  98074744  98074616  98074764 121844453    +         6.8   14.8   3.5  -
SUPER_2              -          TR                   -               37     129  34635104  34635192  34635085  34635230 179922144    +         7.5   14.7   3.4  -
SUPER_2              -          TR                   -              182     248 128463677 128463556 128463683 128463536 179922144    -         8.3   14.5   3.6  -
SUPER_6              -          TR                   -              145     185  33036150  33036186  33036131  33036197 103577270    +         9.1   14.4   1.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Arctium_minus/assembly/curated/daArcMinu1.old/daArcMinu1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Arctium_minus.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Arctium_minus/assembly/curated/daArcMinu1.old/daArcMinu1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 09:45:53 2024
# [ok]
