# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     315  8992286  8991966  8992286  8991965 33946586    -     2.5e-40  145.3   4.3  -
SUPER_6              -          TR                   -                1     315  8963996  8963676  8963996  8963675 33946586    -       3e-40  145.1   3.8  -
SUPER_7              -          TR                   -                1     315 19189861 19190181 19189861 19190182 33098800    +     5.8e-40  144.1   4.0  -
SUPER_7              -          TR                   -                2     315  1625826  1626145  1625825  1626146 33098800    +     1.2e-39  143.1   3.6  -
SUPER_6              -          TR                   -                1     315  9017430  9017110  9017430  9017109 33946586    -     1.2e-36  133.2   4.3  -
SUPER_1              -          TR                   -                2     314 40009247 40008934 40009248 40008929 47050055    -     3.4e-26   98.9   5.3  -
SUPER_6              -          TR                   -                1     141  8402236  8402102  8402236  8402082 33946586    -     3.3e-05   30.0   4.9  -
SUPER_6              -          TR                   -               35     161  4358169  4358053  4358184  4358049 33946586    -        0.04   19.9   5.9  -
SUPER_8              -          TR                   -              159     209 18982309 18982257 18982316 18982237 32235147    -        0.37   16.7   0.2  -
scaffold_132         -          TR                   -              114     190    14320    14201    14340    14189    20294    -           3   13.7   1.6  -
scaffold_46          -          TR                   -              114     190    44807    44688    44827    44676    67997    -           3   13.7   1.6  -
SUPER_5              -          TR                   -               43     129 36328880 36328778 36328893 36328757 36447058    -         3.1   13.7   0.0  -
SUPER_6              -          TR                   -                1      67  9980704  9980640  9980704  9980613 33946586    -         5.5   12.9   1.2  -
SUPER_7              -          TR                   -               71     164 11042920 11043029 11042898 11043036 33098800    +         5.9   12.8   4.1  -
SUPER_6              -          TR                   -                1      68 33222535 33222464 33222535 33222441 33946586    -         6.2   12.7   1.4  -
SUPER_6              -          TR                   -              148     191 25125134 25125180 25125113 25125187 33946586    +         6.3   12.7   3.2  -
SUPER_10             -          TR                   -              136     197 14326293 14326231 14326310 14326213 29046804    -         6.5   12.7   3.1  -
SUPER_2              -          TR                   -               26     135 15662601 15662495 15662617 15662475 46764959    -         6.5   12.7   3.3  -
SUPER_2              -          TR                   -                1      64 23356336 23356397 23356336 23356419 46764959    +         6.8   12.6   1.5  -
SUPER_10             -          TR                   -                1      56 25876234 25876181 25876234 25876152 29046804    -         7.2   12.5   1.5  -
SUPER_8              -          TR                   -                1      66 14173996 14173933 14173996 14173905 32235147    -         7.3   12.5   1.6  -
SUPER_1              -          TR                   -              142     193 18500293 18500348 18500270 18500359 47050055    +         7.5   12.5   0.9  -
SUPER_2              -          TR                   -              184     246 25961272 25961190 25961277 25961170 46764959    -         7.5   12.4   2.6  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Lycopus_europaeus/assembly/curated/daLycEuro1.1/daLycEuro1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Lycopus_europaeus.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Lycopus_europaeus/assembly/curated/daLycEuro1.1/daLycEuro1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:14:53 2025
# [ok]
