# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -                3     312 27948553 27948872 27948551 27948875 64340872    +     9.2e-35  127.4   2.3  -
SUPER_3              -          TR                   -                1     125 39785234 39785084 39785234 39785064 65251853    -        0.21   17.9   0.8  -
SUPER_3              -          TR                   -                2      75  3202630  3202559  3202631  3202538 65251853    -        0.63   16.3   0.5  -
SUPER_7              -          TR                   -                1      66 22562086 22562149 22562086 22562161 49555074    +        0.73   16.2   1.5  -
SUPER_8              -          TR                   -                1      55 30099766 30099712 30099766 30099691 49274693    -        0.94   15.8   3.1  -
SUPER_2              -          TR                   -              135     194 61622474 61622418 61622495 61622399 64340872    -        0.95   15.8   0.2  -
SUPER_8              -          TR                   -                2      93 11504034 11503924 11504035 11503917 49274693    -           1   15.6   1.5  -
SUPER_4              -          TR                   -                2      71 50783314 50783246 50783315 50783226 64809343    -         1.4   15.2   1.5  -
SUPER_3              -          TR                   -                2      75  3201016  3200945  3201017  3200923 65251853    -         1.5   15.1   1.0  -
SUPER_5              -          TR                   -                1      66 22640026 22639963 22640026 22639951 63482825    -         1.6   15.0   2.3  -
SUPER_4              -          TR                   -                2      68 50782990 50782925 50782991 50782908 64809343    -         1.7   14.9   1.5  -
SUPER_3              -          TR                   -                1      66 38367037 38366973 38367037 38366961 65251853    -         1.8   14.8   1.6  -
SUPER_5              -          TR                   -                1     127  7685153  7685001  7685153  7684980 63482825    -         1.9   14.8   0.6  -
SUPER_7              -          TR                   -                1      55 25667742 25667690 25667742 25667669 49555074    -         2.1   14.7   0.8  -
HAP1_SCAFFOLD_113    -          TR                   -                1      55    50435    50487    50435    50508    65000    +         2.1   14.6   0.7  -
SUPER_6              -          TR                   -                1      57 34054409 34054463 34054409 34054483 61572196    +         2.2   14.6   0.7  -
SUPER_4              -          TR                   -                1      55 20456211 20456263 20456211 20456282 64809343    +         2.2   14.5   0.7  -
SUPER_8              -          TR                   -                1      55 36747377 36747429 36747377 36747449 49274693    +         2.4   14.5   0.7  -
HAP1_SCAFFOLD_113    -          TR                   -                1      55    50842    50894    50842    50915    65000    +         2.4   14.5   0.8  -
SUPER_6              -          TR                   -                1      55 34053436 34053384 34053436 34053363 61572196    -         2.4   14.5   0.8  -
SUPER_7              -          TR                   -                1      55 39773527 39773475 39773527 39773454 49555074    -         2.4   14.5   0.8  -
SUPER_6              -          TR                   -                1      66 25698840 25698777 25698840 25698757 61572196    -         2.5   14.4   0.8  -
SUPER_6              -          TR                   -                1      65 25698523 25698461 25698523 25698442 61572196    -         2.5   14.4   0.9  -
SUPER_1              -          TR                   -                1      66 28100378 28100315 28100378 28100303 84646085    -         2.5   14.4   1.3  -
SUPER_2              -          TR                   -                1      66 29378193 29378130 29378193 29378111 64340872    -         2.6   14.4   1.7  -
SUPER_7              -          TR                   -                1      66  5973253  5973190  5973253  5973169 49555074    -         2.6   14.3   0.9  -
SUPER_1              -          TR                   -               38     134 29473507 29473373 29473530 29473355 84646085    -         2.6   14.3   1.6  -
SUPER_6              -          TR                   -                1      97 26321701 26321795 26321701 26321818 61572196    +         2.6   14.3   1.8  -
SUPER_6              -          TR                   -                1      56 34053788 34053841 34053788 34053856 61572196    +         2.7   14.3   0.9  -
SUPER_6              -          TR                   -                1      66 19974361 19974298 19974361 19974280 61572196    -         2.7   14.3   1.1  -
SUPER_6              -          TR                   -                1      66 19974044 19973981 19974044 19973969 61572196    -         2.8   14.2   1.0  -
SUPER_7              -          TR                   -                1      66  5973569  5973506  5973569  5973494 49555074    -         2.8   14.2   1.0  -
