# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     313 20599788 20600105 20599788 20600108 47808789    +     2.7e-31  115.6   5.7  -
SUPER_6              -          TR                   -                1     303 20432311 20432002 20432311 20431989 47808789    -     1.8e-30  112.8   6.6  -
SUPER_6              -          TR                   -               31     312 20437632 20437343 20437644 20437339 47808789    -     2.2e-25   96.1   6.6  -
SUPER_6              -          TR                   -                1     162 20573852 20574013 20573852 20574022 47808789    +     2.8e-08   40.0   6.3  -
SUPER_6              -          TR                   -              214     313 20430071 20429975 20430091 20429971 47808789    -     0.00011   28.3   6.1  -
SUPER_1              -          TR                   -                1      97 67012344 67012433 67012344 67012453 70614540    +        0.04   19.8   0.6  -
SUPER_5              -          TR                   -                1      98 11931585 11931495 11931585 11931475 48388245    -        0.12   18.3   0.9  -
SUPER_6              -          TR                   -                1      97 44791400 44791311 44791400 44791291 47808789    -        0.24   17.3   0.9  -
SUPER_6              -          TR                   -                1     162 14914216 14914377 14914216 14914382 47808789    +        0.31   16.9  10.0  -
SUPER_4              -          TR                   -                1      92 17650499 17650588 17650499 17650609 48478819    +        0.36   16.7   4.3  -
SUPER_6              -          TR                   -                1      96 35759974 35760062 35759974 35760082 47808789    +        0.54   16.1   2.4  -
SUPER_1              -          TR                   -                1     120 52365097 52365194 52365097 52365201 70614540    +        0.58   16.0   3.2  -
SUPER_1              -          TR                   -                1      99 58039889 58039980 58039889 58039999 70614540    +        0.84   15.5   0.7  -
SUPER_6              -          TR                   -                1     115 18298890 18298997 18298890 18299001 47808789    +         1.1   15.1   3.4  -
SUPER_1              -          TR                   -                1     131 46423935 46424067 46423935 46424087 70614540    +         1.3   14.9   5.0  -
SUPER_5              -          TR                   -                1     102 43894854 43894953 43894854 43894965 48388245    +         1.6   14.6   1.3  -
SUPER_7              -          TR                   -                1      98 23620895 23620985 23620895 23621000 43367994    +         1.6   14.6   1.7  -
SUPER_6              -          TR                   -              239     313 20574554 20574637 20574550 20574641 47808789    +         1.9   14.3   8.7  -
SUPER_7              -          TR                   -                1      98 14151146 14151056 14151146 14151035 43367994    -         1.9   14.3   3.1  -
SUPER_7              -          TR                   -                2      95  3168113  3168027  3168114  3168006 43367994    -         1.9   14.3   2.1  -
SUPER_1              -          TR                   -                1      84  9019120  9019201  9019120  9019231 70614540    +         1.9   14.3   3.1  -
SUPER_5              -          TR                   -                1      90 32187634 32187716 32187634 32187738 48388245    +         2.1   14.1   2.6  -
SUPER_1              -          TR                   -                1      83  9018732  9018812  9018732  9018843 70614540    +         2.4   14.0   3.7  -
SUPER_6              -          TR                   -                1     102 32869449 32869543 32869449 32869563 47808789    +         2.4   14.0   1.9  -
SUPER_7              -          TR                   -                1      97 31166188 31166277 31166188 31166293 43367994    +         2.6   13.9   0.7  -
SUPER_1              -          TR                   -                2      98 64984919 64985008 64984918 64985028 70614540    +         2.6   13.9   2.1  -
SUPER_2              -          TR                   -                1      82  5250330  5250421  5250330  5250443 61038207    +         3.1   13.6   2.7  -
SUPER_1              -          TR                   -                1      97 21132358 21132269 21132358 21132257 70614540    -         3.3   13.5   1.9  -
SUPER_2              -          TR                   -                1      99 13158015 13158106 13158015 13158126 61038207    +         3.4   13.5   2.1  -
SUPER_3              -          TR                   -                1     101 32311499 32311592 32311499 32311612 51642661    +         3.5   13.4   2.4  -
SUPER_5              -          TR                   -                1      84 40923600 40923519 40923600 40923490 48388245    -         3.8   13.3   2.8  -
SUPER_6              -          TR                   -                1      95 11063788 11063875 11063788 11063895 47808789    +         3.9   13.3   1.9  -
