# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -                1     316 101145057 101145411 101145057 101145412 192744493    +     5.9e-23   90.6   4.3  -
SUPER_3              -          TR                   -               38     312 111496595 111496909 111496575 111496911 260056005    +     3.2e-05   32.4   5.2  -
SUPER_7              -          TR                   -               40     241 111983500 111983737 111983480 111983757 192744493    +       0.015   23.6   4.2  -
SUPER_1              -          TR                   -               24     131  59716115  59716240  59716095  59716260 290143414    +        0.47   18.7   0.3  -
SUPER_9              -          TR                   -               24     132  75988623  75988754  75988603  75988776 123918971    +        0.67   18.3   1.3  -
SUPER_4              -          TR                   -                2      65  39941585  39941646  39941584  39941666 256210049    +        0.67   18.2   2.4  -
SUPER_1              -          TR                   -                2      65  66296396  66296457  66296395  66296478 290143414    +        0.83   17.9   3.1  -
SUPER_3              -          TR                   -               24     131  30158293  30158163  30158312  30158139 260056005    -        0.87   17.9   0.1  -
SUPER_4              -          TR                   -                2      64  41926408  41926348  41926409  41926337 256210049    -        0.98   17.7   2.1  -
SUPER_5              -          TR                   -               67     130 126939509 126939431 126939533 126939418 251765351    -         1.3   17.3   2.0  -
SUPER_7              -          TR                   -              116     180 190535182 190535260 190535162 190535280 192744493    +         1.4   17.2   5.3  -
SUPER_8              -          TR                   -                2      64   4149674   4149734   4149673   4149753 188111421    +         1.8   16.8   1.2  -
SUPER_2              -          TR                   -               15     131 199419004 199418865 199419010 199418839 283983168    -         1.9   16.7   0.0  -
SUPER_8              -          TR                   -                1      83  23277355  23277263  23277355  23277244 188111421    -         1.9   16.7   4.4  -
SUPER_1              -          TR                   -                1      68 270284162 270284092 270284162 270284064 290143414    -         3.2   16.0   2.4  -
SUPER_5              -          TR                   -               71     134  80363445  80363359  80363468  80363338 251765351    -         3.3   16.0   1.7  -
SUPER_8              -          TR                   -                1      84  23272245  23272152  23272245  23272132 188111421    -         3.7   15.8   3.9  -
SUPER_7              -          TR                   -               28     125 188961373 188961244 188961391 188961223 192744493    -           4   15.7   3.7  -
SUPER_3              -          TR                   -               67     131  97524325  97524251  97524350  97524238 260056005    -         5.8   15.2   2.6  -
SUPER_2              -          TR                   -                2      77 193417848 193417770 193417849 193417748 283983168    -         6.2   15.1   3.4  -
SUPER_2              -          TR                   -                2      77 193420160 193420082 193420161 193420060 283983168    -         6.2   15.1   3.4  -
SUPER_9              -          TR                   -               36     126  77453382  77453261  77453402  77453243 123918971    -         6.4   15.0   3.5  -
SUPER_1              -          TR                   -                2      65  66240171  66240232  66240170  66240246 290143414    +         6.9   14.9   3.1  -
SUPER_8              -          TR                   -                2      67  94796356  94796293  94796357  94796273 188111421    -         7.3   14.8   3.8  -
SUPER_3              -          TR                   -               24     130 258346431 258346554 258346421 258346568 260056005    +         7.8   14.7   0.8  -
SUPER_9              -          TR                   -                1      55  79634213  79634265  79634213  79634288 123918971    +         7.9   14.7   0.9  -
SUPER_3              -          TR                   -               28     118 166173153 166173065 166173169 166173016 260056005    -           8   14.7   1.8  -
SUPER_7              -          TR                   -                1     101  35498087  35498189  35498087  35498206 192744493    +         8.3   14.7   0.1  -
SUPER_5              -          TR                   -              160     203 238684114 238684067 238684117 238684047 251765351    -         8.4   14.6   1.3  -
SUPER_6              -          TR                   -               19     132 134489572 134489408 134489579 134489388 235887405    -           9   14.5   6.3  -
SUPER_1              -          TR                   -                2      57  84315972  84316025  84315971  84316035 290143414    +         9.2   14.5   4.0  -
SUPER_2              -          TR                   -                2      68 193415536 193415467 193415537 193415437 283983168    -         9.3   14.5   3.6  -
SUPER_5              -          TR                   -               58     134 241253608 241253701 241253589 241253721 251765351    +         9.5   14.5   3.0  -
SUPER_7              -          TR                   -                1      80 182905341 182905243 182905341 182905221 192744493    -         9.6   14.5   4.9  -
SUPER_9              -          TR                   -                1      54  79639722  79639773  79639722  79639795 123918971    +         9.9   14.4   1.1  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Matricaria_discoidea/assembly/curated/daMatDisc1.1/daMatDisc1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Matricaria_discoidea.tbl --dna --cpu 10 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Matricaria_discoidea/assembly/curated/daMatDisc1.1/daMatDisc1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Thu Oct 17 16:25:37 2024
# [ok]
