# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     316 57012308 57012628 57012308 57012629 67006741    +     3.2e-33  122.5   9.3  -
SUPER_5              -          TR                   -                1     315 31629849 31629508 31629849 31629506 67913137    -       2e-31  116.6   7.1  -
SUPER_3              -          TR                   -               94     242 25930402 25930567 25930361 25930587 71718272    +     6.7e-16   65.6   5.7  -
SUPER_8              -          TR                   -                1     120 14342582 14342470 14342582 14342450 62961867    -       0.003   24.1   2.0  -
SUPER_5              -          TR                   -                1     121 34171965 34172075 34171965 34172095 67913137    +       0.018   21.5   8.6  -
SUPER_3              -          TR                   -                1     121 63371229 63371350 63371229 63371370 71718272    +        0.04   20.4   0.9  -
SUPER_5              -          TR                   -                1      95 66162845 66162758 66162845 66162738 67913137    -       0.057   19.9   0.5  -
SUPER_5              -          TR                   -                1      95 66163056 66162969 66163056 66162949 67913137    -       0.057   19.9   0.5  -
SUPER_2              -          TR                   -                1      98 58902817 58902907 58902817 58902922 73454271    +        0.17   18.3   1.1  -
SUPER_8              -          TR                   -                1     102 57767664 57767758 57767664 57767778 62961867    +        0.23   17.9   3.0  -
SUPER_7              -          TR                   -                1      92 65169846 65169930 65169846 65169944 66128679    +        0.26   17.7   1.4  -
SUPER_3              -          TR                   -               49     159 18296266 18296131 18296281 18296126 71718272    -        0.27   17.7   3.2  -
SUPER_1              -          TR                   -                1      98  4729270  4729360  4729270  4729375 91320517    +        0.28   17.7   2.8  -
SUPER_2              -          TR                   -                1      99 70631193 70631102 70631193 70631079 73454271    -        0.28   17.6   1.1  -
SUPER_3              -          TR                   -                1      89 63371024 63371110 63371024 63371130 71718272    +        0.33   17.4   1.0  -
SUPER_7              -          TR                   -                1     102 13102475 13102569 13102475 13102589 66128679    +        0.33   17.4   3.9  -
SUPER_1              -          TR                   -                1      98 86026897 86026807 86026897 86026792 91320517    -        0.34   17.4   1.1  -
SUPER_3              -          TR                   -                1      99 18001793 18001702 18001793 18001686 71718272    -        0.35   17.4   2.4  -
SUPER_5              -          TR                   -                1     115  1720430  1720542  1720430  1720543 67913137    +        0.49   16.8   1.9  -
SUPER_1              -          TR                   -                1     102 16111336 16111430 16111336 16111444 91320517    +         0.5   16.8   2.5  -
SUPER_5              -          TR                   -                1      95  5203349  5203436  5203349  5203453 67913137    +         0.5   16.8   1.8  -
SUPER_4              -          TR                   -                1      94 55196996 55197082 55196996 55197103 69616069    +         0.5   16.8   1.0  -
SUPER_7              -          TR                   -                1      98 23057083 23057173 23057083 23057193 66128679    +        0.51   16.8   1.6  -
SUPER_7              -          TR                   -                1      98 23056879 23056969 23056879 23056984 66128679    +        0.51   16.8   1.6  -
SUPER_1              -          TR                   -                1      97 14683951 14683862 14683951 14683846 91320517    -        0.52   16.8   1.3  -
SUPER_5              -          TR                   -                1      84 59843840 59843921 59843840 59843959 67913137    +        0.58   16.6   3.1  -
SUPER_1              -          TR                   -               73     130 42291844 42291777 42291871 42291757 91320517    -        0.62   16.5   3.5  -
SUPER_7              -          TR                   -                1     111 46236625 46236522 46236625 46236505 66128679    -        0.67   16.4   1.6  -
SUPER_4              -          TR                   -                1     101 65921884 65921791 65921884 65921770 69616069    -        0.72   16.3   2.3  -
SUPER_6              -          TR                   -               68     189 66444783 66444645 66444807 66444640 67006741    -        0.82   16.1   4.2  -
SUPER_6              -          TR                   -                1      64  5656728  5656667  5656728  5656651 67006741    -        0.83   16.1   4.0  -
SUPER_8              -          TR                   -                1      95 57703056 57702969 57703056 57702951 62961867    -        0.88   16.0   1.3  -
SUPER_6              -          TR                   -                1      98 34995429 34995519 34995429 34995538 67006741    +        0.91   16.0   1.4  -
SUPER_3              -          TR                   -                1      92 63731075 63731159 63731075 63731180 71718272    +        0.94   15.9   0.2  -
SUPER_7              -          TR                   -                1      95 16837235 16837142 16837235 16837125 66128679    -        0.99   15.8   1.4  -
SUPER_6              -          TR                   -                1      99  6554415  6554324  6554415  6554304 67006741    -        0.99   15.8   5.6  -
SUPER_4              -          TR                   -                2     101 61907245 61907153 61907246 61907138 69616069    -         1.1   15.7   1.8  -
SUPER_6              -          TR                   -                1      92 60851250 60851160 60851250 60851141 67006741    -         1.1   15.7   2.1  -
SUPER_7              -          TR                   -                2      81 53855303 53855388 53855302 53855404 66128679    +         1.1   15.7   1.9  -
SUPER_6              -          TR                   -                1      93 25623600 25623685 25623600 25623705 67006741    +         1.1   15.7   0.2  -
SUPER_7              -          TR                   -                1      93 62869286 62869201 62869286 62869182 66128679    -         1.1   15.7   1.6  -
SUPER_4              -          TR                   -                1      96 59264367 59264279 59264367 59264262 69616069    -         1.2   15.6   1.2  -
SUPER_5              -          TR                   -                1      81 16794978 16795064 16794978 16795079 67913137    +         1.3   15.5   0.9  -
SUPER_1              -          TR                   -                1      98 86995027 86994937 86995027 86994918 91320517    -         1.3   15.4   2.9  -
SUPER_5              -          TR                   -                1      98 21250047 21249956 21250047 21249933 67913137    -         1.4   15.4   1.0  -
SUPER_6              -          TR                   -                1      84 17722087 17721994 17722087 17721974 67006741    -         1.4   15.4   3.0  -
SUPER_7              -          TR                   -                1      95 45075997 45076084 45075997 45076105 66128679    +         1.4   15.4   1.7  -
SUPER_7              -          TR                   -                2      95  6021315  6021401  6021314  6021418 66128679    +         1.4   15.4   2.5  -
SUPER_7              -          TR                   -                1      96 44411627 44411539 44411627 44411520 66128679    -         1.4   15.4   1.5  -
SUPER_8              -          TR                   -                1      96 15412892 15412980 15412892 15412998 62961867    +         1.4   15.4   1.5  -
SUPER_3              -          TR                   -                1      99 61727267 61727176 61727267 61727162 71718272    -         1.5   15.3   0.9  -
SUPER_5              -          TR                   -                1      83 64202617 64202698 64202617 64202718 67913137    +         1.5   15.2   2.5  -
SUPER_4              -          TR                   -                1      96  4970008  4969920  4970008  4969898 69616069    -         1.6   15.2   1.5  -
SUPER_7              -          TR                   -                1      73  2908185  2908259  2908185  2908278 66128679    +         1.7   15.1   3.8  -
SUPER_3              -          TR                   -                1      96  9626505  9626595  9626505  9626612 71718272    +         1.7   15.1   1.1  -
