# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SCAFFOLD_11          -          TR                   -                1     315  95070742  95070421  95070742  95070415 107148989    -     1.3e-23   92.6   1.8  -
SCAFFOLD_5           -          TR                   -               68     165  98771888  98771783  98771908  98771782 124765033    -       0.023   22.9   0.5  -
SCAFFOLD_18          -          TR                   -               64     122    851999    852055    851979    852077   2420377    +         0.2   19.8   0.0  -
SCAFFOLD_2           -          TR                   -                1     125  85360113  85360242  85360113  85360262 143858915    +         0.8   17.8   0.9  -
SCAFFOLD_10          -          TR                   -                2      76  42454205  42454289  42454204  42454319 109998858    +        0.98   17.5   2.4  -
SCAFFOLD_14          -          TR                   -               17     150  34442177  34442312  34442168  34442324  90809433    +         1.2   17.2   2.8  -
SCAFFOLD_12          -          TR                   -                2      87  75990823  75990732  75990824  75990711 105772284    -         1.5   16.9   1.0  -
SCAFFOLD_10          -          TR                   -               68     164   9471519   9471404   9471549   9471401 109998858    -         1.6   16.8   5.6  -
SCAFFOLD_15          -          TR                   -               63     128  12785269  12785183  12785294  12785172  13073090    -         1.9   16.6   1.6  -
SCAFFOLD_24          -          TR                   -               68     122    837589    837502    837608    837478   1619059    -         1.9   16.6   0.0  -
SCAFFOLD_24          -          TR                   -               68     122    402327    402246    402351    402226   1619059    -         1.9   16.6   0.4  -
SCAFFOLD_18          -          TR                   -               68     125    849666    849715    849640    849741   2420377    +         2.4   16.3   2.6  -
SCAFFOLD_3           -          TR                   -                2      80  95055585  95055487  95055586  95055461 143761983    -         3.4   15.8   3.5  -
SCAFFOLD_7           -          TR                   -               40     190  85980220  85980046  85980240  85980041 120386338    -         3.6   15.7   0.0  -
SCAFFOLD_7           -          TR                   -                2     108  42394526  42394638  42394525  42394650 120386338    +         3.7   15.6   2.1  -
SCAFFOLD_9           -          TR                   -                2      85  79489236  79489147  79489237  79489126 111884603    -         4.7   15.3   2.0  -
SCAFFOLD_6           -          TR                   -               74     167  47011045  47011153  47011025  47011156 121013505    +         4.8   15.3   1.7  -
SCAFFOLD_1           -          TR                   -              172     245 111004523 111004625 111004522 111004642 173526728    +         4.8   15.3   0.7  -
H_46                 -          TR                   -               67     125      2361      2294      2390      2289    534144    -         5.2   15.1   3.1  -
SCAFFOLD_9           -          TR                   -                2      86  79223133  79223043  79223134  79223023 111884603    -         5.7   15.0   2.3  -
SCAFFOLD_1           -          TR                   -               68     180 142488130 142487993 142488150 142487985 173526728    -         6.5   14.8   3.9  -
SCAFFOLD_1           -          TR                   -              171     247  74382690  74382583  74382691  74382562 173526728    -         6.9   14.8   0.6  -
SCAFFOLD_3           -          TR                   -                2      57  95058401  95058346  95058402  95058305 143761983    -         7.2   14.7   3.7  -
SCAFFOLD_6           -          TR                   -               70     122 116929782 116929728 116929799 116929698 121013505    -         7.8   14.6   0.4  -
SCAFFOLD_5           -          TR                   -               28     102  93867202  93867130  93867221  93867111 124765033    -         8.3   14.5   4.1  -
SCAFFOLD_1           -          TR                   -               42     156  88558576  88558732  88558555  88558735 173526728    +         8.4   14.5   3.4  -
SCAFFOLD_11          -          TR                   -               17     102   6385078   6385157   6385066   6385173 107148989    +         9.1   14.4   1.6  -
SCAFFOLD_2           -          TR                   -                2      84  66148441  66148529  66148440  66148549 143858915    +         9.2   14.3   1.9  -
SCAFFOLD_9           -          TR                   -              110     178  33826839  33826935  33826817  33826943 111884603    +         9.9   14.2   1.2  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Ulmus_glabra/assembly/curated/drUlmGlab3.1/drUlmGlab3.hap2.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout Ulmus_glabra.tbl --dna --cpu 10 TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Ulmus_glabra/assembly/curated/drUlmGlab3.1/drUlmGlab3.hap2.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection
# Date:            Fri May  3 11:33:57 2024
# [ok]
