# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_10             -          TR                   -                2     312 26365616 26365950 26365615 26365951 40748006    +     1.8e-33  123.2   2.5  -
SUPER_10             -          TR                   -               13     138 23957665 23957544 23957670 23957524 40748006    -       0.012   22.0   3.0  -
SUPER_2              -          TR                   -               35     138 35440565 35440464 35440585 35440444 52013894    -        0.05   20.0   4.8  -
SUPER_2              -          TR                   -               12     129  8389963  8390091  8389957  8390112 52013894    +         1.8   14.9   0.0  -
SUPER_10             -          TR                   -              105     165  3443916  3443970  3443895  3443971 40748006    +         1.9   14.8   1.6  -
SUPER_8              -          TR                   -                1     100 21007377 21007278 21007377 21007257 44447413    -         2.6   14.4   3.8  -
SUPER_2              -          TR                   -               69     132 24343498 24343447 24343520 24343427 52013894    -         2.8   14.3   2.1  -
SUPER_10             -          TR                   -                6     122 30350455 30350312 30350455 30350288 40748006    -         2.8   14.2   2.2  -
SUPER_3              -          TR                   -               68     123  7432814  7432709  7432844  7432690 50872931    -         3.3   14.0   2.1  -
SUPER_9              -          TR                   -                1      95 10735133 10735227 10735133 10735248 41581200    +         3.5   13.9   4.4  -
SUPER_6              -          TR                   -                2      98 45016870 45016779 45016871 45016760 45994941    -         4.4   13.6   1.4  -
SUPER_4              -          TR                   -               70     133  8549164  8549077  8549183  8549057 50151812    -         4.5   13.6   1.8  -
SUPER_6              -          TR                   -                1      62 44434711 44434772 44434711 44434789 45994941    +         4.6   13.5   0.9  -
SUPER_6              -          TR                   -               76     158 44485055 44485174 44485036 44485176 45994941    +         4.8   13.5   0.9  -
SUPER_1              -          TR                   -                1      84 13864558 13864641 13864558 13864661 57565723    +         5.5   13.3   6.1  -
SUPER_8              -          TR                   -                1      97 19519586 19519490 19519586 19519470 44447413    -         6.1   13.1   5.0  -
SUPER_5              -          TR                   -              190     249 30062909 30062848 30062921 30062829 48602513    -         6.3   13.1   1.9  -
SUPER_9              -          TR                   -               40     130 23112435 23112554 23112414 23112573 41581200    +         7.1   12.9   0.0  -
SUPER_3              -          TR                   -                1      99  3972890  3973019  3972890  3973030 50872931    +         7.2   12.9   0.3  -
SUPER_2              -          TR                   -              108     180 36120993 36121080 36120977 36121095 52013894    +         7.7   12.8   0.6  -
SUPER_6              -          TR                   -                1      93 44029941 44029854 44029941 44029835 45994941    -         7.8   12.8   2.7  -
SUPER_1              -          TR                   -                1      95 25935445 25935351 25935445 25935329 57565723    -         8.1   12.7   2.3  -
SUPER_2              -          TR                   -              161     202  7191432  7191390  7191452  7191370 52013894    -         8.3   12.7   0.6  -
SUPER_5              -          TR                   -              109     170 15745874 15745822 15745895 15745821 48602513    -         8.5   12.7   2.0  -
SUPER_1              -          TR                   -              198     314 33953476 33953344 33953480 33953341 57565723    -         8.9   12.6   0.3  -
SUPER_1              -          TR                   -                2     100 16337678 16337804 16337677 16337820 57565723    +           9   12.6   1.9  -
SUPER_5              -          TR                   -                1      96 46475307 46475402 46475307 46475421 48602513    +         9.8   12.5   2.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      ../original_data/TR.hmm
# Target file:     /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_uliginosum/assembly/curated/daGalUlig1.1/daGalUlig1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout ../working/TR_tbl_outputs/Galium_uliginosum.tbl --dna --cpu 20 ../original_data/TR.hmm /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_uliginosum/assembly/curated/daGalUlig1.1/daGalUlig1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch123/tol/teams/blaxter/users/mb39/ARU/tr_detection/src
# Date:            Fri Apr 18 20:13:27 2025
# [ok]
